"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0.941,0.923,0.943,0.941,0.956,0.948,0.917,0.931,0.95,0.936,0.93
"2",0,0,0.96,0.952,0.959,0.952,0.942,0.95,0.951,0.961,0.948,0.969
"3",0,0,0,0.939,0.935,0.932,0.932,0.948,0.951,0.938,0.935,0.955
"4",0,0,0,0,0.959,0.948,0.959,0.955,0.963,0.953,0.978,0.958
"5",0,0,0,0,0,0.953,0.935,0.952,0.952,0.944,0.947,0.942
"6",0,0,0,0,0,0,0.965,0.927,0.932,0.974,0.942,0.936
"7",0,0,0,0,0,0,0,0.936,0.944,0.974,0.963,0.948
"8",0,0,0,0,0,0,0,0,0.975,0.931,0.954,0.956
"9",0,0,0,0,0,0,0,0,0,0.938,0.958,0.956
"10",0,0,0,0,0,0,0,0,0,0,0.95,0.951
"11",0,0,0,0,0,0,0,0,0,0,0,0.96
"12",0,0,0,0,0,0,0,0,0,0,0,0
