"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0.95,0.933,0.941,0.953,0.951,0.942,0.935,0.932,0.938,0.945,0.936
"2",0,0,0.956,0.929,0.96,0.962,0.944,0.961,0.958,0.956,0.945,0.973
"3",0,0,0,0.938,0.942,0.948,0.954,0.962,0.96,0.956,0.953,0.957
"4",0,0,0,0,0.941,0.937,0.963,0.943,0.942,0.954,0.979,0.938
"5",0,0,0,0,0,0.965,0.938,0.958,0.953,0.948,0.953,0.949
"6",0,0,0,0,0,0,0.951,0.946,0.943,0.963,0.949,0.944
"7",0,0,0,0,0,0,0,0.953,0.954,0.975,0.969,0.949
"8",0,0,0,0,0,0,0,0,0.992,0.957,0.959,0.97
"9",0,0,0,0,0,0,0,0,0,0.958,0.958,0.967
"10",0,0,0,0,0,0,0,0,0,0,0.964,0.953
"11",0,0,0,0,0,0,0,0,0,0,0,0.953
"12",0,0,0,0,0,0,0,0,0,0,0,0
