"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0.972,0.972,0.971,0.968,0.969,0.968,0.967,0.967,0.972,0.973,0.973
"2",0,0,0.974,0.971,0.968,0.967,0.968,0.966,0.968,0.974,0.962,0.988
"3",0,0,0,0.968,0.965,0.965,0.97,0.963,0.961,0.974,0.966,0.972
"4",0,0,0,0,0.974,0.968,0.973,0.976,0.975,0.973,0.979,0.974
"5",0,0,0,0,0,0.963,0.956,0.98,0.973,0.958,0.971,0.969
"6",0,0,0,0,0,0,0.975,0.958,0.962,0.978,0.968,0.969
"7",0,0,0,0,0,0,0,0.963,0.969,0.986,0.973,0.972
"8",0,0,0,0,0,0,0,0,0.983,0.96,0.974,0.968
"9",0,0,0,0,0,0,0,0,0,0.963,0.976,0.97
"10",0,0,0,0,0,0,0,0,0,0,0.97,0.977
"11",0,0,0,0,0,0,0,0,0,0,0,0.969
"12",0,0,0,0,0,0,0,0,0,0,0,0
