"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006810","transport",57,11,12.52,170,"0.772","0.020","0.020"
"GO:0051234","establishment of localization",57,11,12.52,171,"0.772","0.020","0.020"
"GO:0018193","peptidyl-amino acid modification",7,4,1.54,2,"0.043","0.031","0.031"
"GO:0006457","protein folding",4,3,0.88,1,"0.034","0.033","0.033"
"GO:0051179","localization",60,12,13.18,163,"0.728","0.046","0.046"
"GO:0098662","inorganic cation transmembrane transport",5,3,1.1,4,"0.072","0.056","0.056"
"GO:0006518","peptide metabolic process",10,5,2.2,3,"0.044","0.071","0.071"
"GO:0044281","small molecule metabolic process",14,5,3.07,21,"0.169","0.073","0.073"
"GO:0098660","inorganic ion transmembrane transport",6,3,1.32,7,"0.121","0.102","0.102"
"GO:0055085","transmembrane transport",31,8,6.81,41,"0.362","0.106","0.106"
"GO:0070588","calcium ion transmembrane transport",3,2,0.66,9,"0.122","0.115","0.115"
"GO:0006811","ion transport",26,5,5.71,160,"0.721","0.116","0.116"
"GO:0019725","cellular homeostasis",6,3,1.32,8,"0.121","0.130","0.130"
"GO:0006520","cellular amino acid metabolic process",4,2,0.88,24,"0.210","0.130","0.130"
"GO:0044282","small molecule catabolic process",3,2,0.66,10,"0.122","0.149","0.149"
"GO:0043603","cellular amide metabolic process",12,5,2.64,5,"0.095","0.153","0.153"
"GO:0098655","cation transmembrane transport",7,3,1.54,22,"0.180","0.156","0.156"
"GO:1901615","organic hydroxy compound metabolic proce...",4,2,0.88,25,"0.210","0.160","0.160"
"GO:0016569","covalent chromatin modification",3,2,0.66,11,"0.122","0.180","0.180"
"GO:0016570","histone modification",3,2,0.66,12,"0.122","0.180","0.180"
"GO:0048878","chemical homeostasis",3,2,0.66,13,"0.122","0.196","0.196"
"GO:0050801","ion homeostasis",3,2,0.66,14,"0.122","0.196","0.196"
"GO:0055065","metal ion homeostasis",3,2,0.66,15,"0.122","0.196","0.196"
"GO:0055080","cation homeostasis",3,2,0.66,16,"0.122","0.196","0.196"
"GO:0098771","inorganic ion homeostasis",3,2,0.66,17,"0.122","0.196","0.196"
"GO:1901566","organonitrogen compound biosynthetic pro...",16,4,3.51,55,"0.483","0.211","0.211"
"GO:0044267","cellular protein metabolic process",35,11,7.69,6,"0.107","0.212","0.212"
"GO:1901605","alpha-amino acid metabolic process",3,1,0.66,59,"0.527","0.218","0.218"
"GO:0006066","alcohol metabolic process",3,2,0.66,18,"0.122","0.220","0.220"
"GO:0006816","calcium ion transport",4,2,0.88,26,"0.210","0.222","0.222"
"GO:0070838","divalent metal ion transport",4,2,0.88,27,"0.210","0.222","0.222"
"GO:0072511","divalent inorganic cation transport",4,2,0.88,28,"0.210","0.222","0.222"
"GO:0006812","cation transport",14,4,3.07,43,"0.369","0.224","0.224"
"GO:0051301","cell division",3,0,0.66,277,"1.000","0.225","0.225"
"GO:0006082","organic acid metabolic process",5,2,1.1,33,"0.303","0.234","0.234"
"GO:0019752","carboxylic acid metabolic process",5,2,1.1,34,"0.303","0.234","0.234"
"GO:0043436","oxoacid metabolic process",5,2,1.1,35,"0.303","0.234","0.234"
"GO:0019538","protein metabolic process",41,12,9,19,"0.148","0.239","0.239"
"GO:0045454","cell redox homeostasis",4,2,0.88,29,"0.210","0.260","0.260"
"GO:0019439","aromatic compound catabolic process",3,1,0.66,60,"0.527","0.272","0.272"
"GO:0044270","cellular nitrogen compound catabolic pro...",3,1,0.66,61,"0.527","0.272","0.272"
"GO:0046700","heterocycle catabolic process",3,1,0.66,62,"0.527","0.272","0.272"
"GO:1901361","organic cyclic compound catabolic proces...",3,1,0.66,63,"0.527","0.272","0.272"
"GO:0030001","metal ion transport",10,4,2.2,20,"0.153","0.282","0.282"
"GO:0006412","translation",8,3,1.76,30,"0.245","0.286","0.286"
"GO:0043043","peptide biosynthetic process",8,3,1.76,31,"0.245","0.286","0.286"
"GO:0043604","amide biosynthetic process",8,3,1.76,32,"0.245","0.286","0.286"
"GO:1901575","organic substance catabolic process",9,3,1.98,40,"0.313","0.302","0.302"
"GO:0034641","cellular nitrogen compound metabolic pro...",58,14,12.74,46,"0.383","0.302","0.302"
"GO:0046907","intracellular transport",11,2,2.42,166,"0.740","0.309","0.309"
"GO:0051649","establishment of localization in cell",13,2,2.86,194,"0.823","0.315","0.315"
"GO:0009056","catabolic process",12,3,2.64,58,"0.514","0.317","0.317"
"GO:0051641","cellular localization",16,3,3.51,162,"0.726","0.322","0.322"
"GO:0006725","cellular aromatic compound metabolic pro...",50,11,10.98,90,"0.567","0.338","0.338"
"GO:0017144","drug metabolic process",5,2,1.1,36,"0.303","0.341","0.341"
"GO:0042592","homeostatic process",11,4,2.42,23,"0.202","0.345","0.345"
"GO:0034220","ion transmembrane transport",13,4,2.86,39,"0.312","0.347","0.347"
"GO:0016311","dephosphorylation",5,1,1.1,140,"0.714","0.356","0.356"
"GO:0046486","glycerolipid metabolic process",5,1,1.1,141,"0.714","0.356","0.356"
"GO:0046483","heterocycle metabolic process",51,11,11.2,93,"0.600","0.357","0.357"
"GO:0009894","regulation of catabolic process",3,0,0.66,278,"1.000","0.369","0.369"
"GO:0031329","regulation of cellular catabolic process",3,0,0.66,279,"1.000","0.369","0.369"
"GO:1901360","organic cyclic compound metabolic proces...",52,11,11.42,98,"0.632","0.377","0.377"
"GO:0006511","ubiquitin-dependent protein catabolic pr...",4,1,0.88,99,"0.632","0.382","0.382"
"GO:0019941","modification-dependent protein catabolic...",4,1,0.88,100,"0.632","0.382","0.382"
"GO:0030163","protein catabolic process",4,1,0.88,101,"0.632","0.382","0.382"
"GO:0043632","modification-dependent macromolecule cat...",4,1,0.88,102,"0.632","0.382","0.382"
"GO:0044257","cellular protein catabolic process",4,1,0.88,103,"0.632","0.382","0.382"
"GO:0051603","proteolysis involved in cellular protein...",4,1,0.88,104,"0.632","0.382","0.382"
"GO:0034613","cellular protein localization",8,2,1.76,86,"0.556","0.393","0.393"
"GO:0070727","cellular macromolecule localization",8,2,1.76,87,"0.556","0.393","0.393"
"GO:0009108","coenzyme biosynthetic process",3,0,0.66,280,"1.000","0.394","0.394"
"GO:0051188","cofactor biosynthetic process",3,0,0.66,281,"1.000","0.394","0.394"
"GO:1901565","organonitrogen compound catabolic proces...",7,2,1.54,51,"0.479","0.398","0.398"
"GO:0009057","macromolecule catabolic process",5,1,1.1,142,"0.714","0.412","0.412"
"GO:0044265","cellular macromolecule catabolic process",5,1,1.1,143,"0.714","0.412","0.412"
"GO:0044248","cellular catabolic process",11,2,2.42,167,"0.740","0.433","0.433"
"GO:1901564","organonitrogen compound metabolic proces...",53,13,11.64,42,"0.365","0.435","0.435"
"GO:0006650","glycerophospholipid metabolic process",4,1,0.88,105,"0.632","0.439","0.439"
"GO:0048523","negative regulation of cellular process",16,2,3.51,236,"0.905","0.442","0.442"
"GO:0044271","cellular nitrogen compound biosynthetic ...",41,9,9,91,"0.574","0.451","0.451"
"GO:0008152","metabolic process",131,30,28.77,48,"0.405","0.454","0.454"
"GO:0051240","positive regulation of multicellular org...",8,1,1.76,221,"0.868","0.460","0.460"
"GO:0065009","regulation of molecular function",7,1,1.54,197,"0.829","0.506","0.506"
"GO:0006508","proteolysis",10,3,2.2,44,"0.382","0.523","0.523"
"GO:0022402","cell cycle process",3,0,0.66,282,"1.000","0.531","0.531"
"GO:0006396","RNA processing",6,0,1.32,283,"1.000","0.537","0.537"
"GO:0010941","regulation of cell death",4,1,0.88,106,"0.632","0.538","0.538"
"GO:0032269","negative regulation of cellular protein ...",4,1,0.88,107,"0.632","0.538","0.538"
"GO:0042981","regulation of apoptotic process",4,1,0.88,108,"0.632","0.538","0.538"
"GO:0043067","regulation of programmed cell death",4,1,0.88,109,"0.632","0.538","0.538"
"GO:0051248","negative regulation of protein metabolic...",4,1,0.88,110,"0.632","0.538","0.538"
"GO:1901137","carbohydrate derivative biosynthetic pro...",4,1,0.88,111,"0.632","0.538","0.538"
"GO:0015672","monovalent inorganic cation transport",5,2,1.1,37,"0.303","0.539","0.539"
"GO:0046488","phosphatidylinositol metabolic process",3,1,0.66,64,"0.527","0.541","0.541"
"GO:0044237","cellular metabolic process",104,24,22.84,49,"0.414","0.548","0.548"
"GO:0044260","cellular macromolecule metabolic process",69,16,15.15,50,"0.447","0.554","0.554"
"GO:0098656","anion transmembrane transport",7,2,1.54,52,"0.479","0.590","0.590"
"GO:0006886","intracellular protein transport",5,1,1.1,144,"0.714","0.592","0.592"
"GO:0006732","coenzyme metabolic process",4,0,0.88,284,"1.000","0.601","0.601"
"GO:0051186","cofactor metabolic process",4,0,0.88,285,"1.000","0.601","0.601"
"GO:0006139","nucleobase-containing compound metabolic...",45,9,9.88,138,"0.707","0.602","0.602"
"GO:0009607","response to biotic stimulus",5,2,1.1,38,"0.303","0.603","0.603"
"GO:0015698","inorganic anion transport",4,1,0.88,112,"0.632","0.607","0.607"
"GO:0051276","chromosome organization",7,2,1.54,53,"0.479","0.607","0.607"
"GO:0009628","response to abiotic stimulus",4,1,0.88,113,"0.632","0.612","0.612"
"GO:0009791","post-embryonic development",4,1,0.88,114,"0.632","0.612","0.612"
"GO:0007610","behavior",4,0,0.88,286,"1.000","0.612","0.612"
"GO:0050877","nervous system process",4,0,0.88,287,"1.000","0.612","0.612"
