"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0031400","negative regulation of protein modificat...",8,1,1.66,258,"0.850","0.0074","0.0074"
"GO:0042325","regulation of phosphorylation",8,1,1.66,259,"0.850","0.0074","0.0074"
"GO:0005975","carbohydrate metabolic process",8,5,1.66,1,"0.011","0.0097","0.0097"
"GO:0006950","response to stress",21,2,4.35,296,"0.958","0.0124","0.0124"
"GO:0050790","regulation of catalytic activity",12,1,2.49,290,"0.943","0.0128","0.0128"
"GO:0055114","oxidation-reduction process",10,4,2.07,12,"0.129","0.0132","0.0132"
"GO:0001932","regulation of protein phosphorylation",7,1,1.45,245,"0.808","0.0139","0.0139"
"GO:0051338","regulation of transferase activity",7,1,1.45,246,"0.808","0.0139","0.0139"
"GO:0006508","proteolysis",10,4,2.07,13,"0.129","0.0202","0.0202"
"GO:0065009","regulation of molecular function",14,1,2.9,298,"0.966","0.0231","0.0231"
"GO:0043549","regulation of kinase activity",6,1,1.24,224,"0.757","0.0260","0.0260"
"GO:0045859","regulation of protein kinase activity",6,1,1.24,225,"0.757","0.0260","0.0260"
"GO:0010563","negative regulation of phosphorus metabo...",6,0,1.24,305,"1.000","0.0260","0.0260"
"GO:0045936","negative regulation of phosphate metabol...",6,0,1.24,306,"1.000","0.0260","0.0260"
"GO:0006974","cellular response to DNA damage stimulus",8,2,1.66,112,"0.521","0.0318","0.0318"
"GO:0090407","organophosphate biosynthetic process",3,2,0.62,5,"0.110","0.0366","0.0366"
"GO:0007010","cytoskeleton organization",5,0,1.04,307,"1.000","0.0393","0.0393"
"GO:0048667","cell morphogenesis involved in neuron di...",5,0,1.04,308,"1.000","0.0393","0.0393"
"GO:0048812","neuron projection morphogenesis",5,0,1.04,309,"1.000","0.0393","0.0393"
"GO:0048858","cell projection morphogenesis",5,0,1.04,310,"1.000","0.0393","0.0393"
"GO:0061564","axon development",5,0,1.04,311,"1.000","0.0393","0.0393"
"GO:0120039","plasma membrane bounded cell projection ...",5,0,1.04,312,"1.000","0.0393","0.0393"
"GO:0048646","anatomical structure formation involved ...",8,2,1.66,113,"0.521","0.0414","0.0414"
"GO:0001933","negative regulation of protein phosphory...",5,0,1.04,313,"1.000","0.0485","0.0485"
"GO:0042326","negative regulation of phosphorylation",5,0,1.04,314,"1.000","0.0485","0.0485"
"GO:0048666","neuron development",9,0,1.87,315,"1.000","0.0528","0.0528"
"GO:0006468","protein phosphorylation",23,4,4.77,221,"0.747","0.0586","0.0586"
"GO:0060249","anatomical structure homeostasis",4,1,0.83,134,"0.608","0.0587","0.0587"
"GO:0044093","positive regulation of molecular functio...",9,1,1.87,273,"0.882","0.0604","0.0604"
"GO:0007423","sensory organ development",7,2,1.45,62,"0.445","0.0625","0.0625"
"GO:0030030","cell projection organization",10,1,2.07,281,"0.907","0.0639","0.0639"
"GO:0120036","plasma membrane bounded cell projection ...",10,1,2.07,282,"0.907","0.0639","0.0639"
"GO:0009611","response to wounding",4,0,0.83,316,"1.000","0.0641","0.0641"
"GO:0051347","positive regulation of transferase activ...",4,1,0.83,135,"0.608","0.0699","0.0699"
"GO:0030029","actin filament-based process",5,0,1.04,317,"1.000","0.0721","0.0721"
"GO:0035239","tube morphogenesis",4,1,0.83,136,"0.608","0.0761","0.0761"
"GO:0035295","tube development",4,1,0.83,137,"0.608","0.0761","0.0761"
"GO:0042327","positive regulation of phosphorylation",4,1,0.83,138,"0.608","0.0761","0.0761"
"GO:0007409","axonogenesis",4,0,0.83,318,"1.000","0.0761","0.0761"
"GO:0030036","actin cytoskeleton organization",4,0,0.83,319,"1.000","0.0761","0.0761"
"GO:0050808","synapse organization",4,0,0.83,320,"1.000","0.0761","0.0761"
"GO:0031175","neuron projection development",7,0,1.45,321,"1.000","0.0785","0.0785"
"GO:0035556","intracellular signal transduction",13,2,2.7,240,"0.794","0.0798","0.0798"
"GO:0000003","reproduction",6,1,1.24,226,"0.757","0.0807","0.0807"
"GO:0022414","reproductive process",6,1,1.24,227,"0.757","0.0807","0.0807"
"GO:0033554","cellular response to stress",10,2,2.07,171,"0.652","0.0839","0.0839"
"GO:0015031","protein transport",9,3,1.87,35,"0.279","0.0896","0.0896"
"GO:0015833","peptide transport",9,3,1.87,36,"0.279","0.0896","0.0896"
"GO:0042886","amide transport",9,3,1.87,37,"0.279","0.0896","0.0896"
"GO:0006469","negative regulation of protein kinase ac...",4,0,0.83,322,"1.000","0.0898","0.0898"
"GO:0033673","negative regulation of kinase activity",4,0,0.83,323,"1.000","0.0898","0.0898"
"GO:0051348","negative regulation of transferase activ...",4,0,0.83,324,"1.000","0.0898","0.0898"
"GO:0008152","metabolic process",139,33,28.82,4,"0.099","0.0407","0.0923"
"GO:0009887","animal organ morphogenesis",6,2,1.24,46,"0.363","0.0939","0.0939"
"GO:0043009","chordate embryonic development",6,2,1.24,47,"0.363","0.0939","0.0939"
"GO:0031401","positive regulation of protein modificat...",7,2,1.45,63,"0.445","0.0977","0.0977"
"GO:0032270","positive regulation of cellular protein ...",7,2,1.45,64,"0.445","0.0977","0.0977"
"GO:0051247","positive regulation of protein metabolic...",7,2,1.45,65,"0.445","0.0977","0.0977"
"GO:0043086","negative regulation of catalytic activit...",7,0,1.45,325,"1.000","0.0977","0.0977"
"GO:0044092","negative regulation of molecular functio...",7,0,1.45,326,"1.000","0.0977","0.0977"
"GO:0006955","immune response",4,1,0.83,139,"0.608","0.1097","0.1097"
"GO:0009653","anatomical structure morphogenesis",16,3,3.32,177,"0.684","0.1148","0.1148"
"GO:0001894","tissue homeostasis",3,1,0.62,74,"0.504","0.1204","0.1204"
"GO:0006325","chromatin organization",3,1,0.62,75,"0.504","0.1204","0.1204"
"GO:0048871","multicellular organismal homeostasis",3,1,0.62,76,"0.504","0.1204","0.1204"
"GO:0007349","cellularization",3,0,0.62,327,"1.000","0.1204","0.1204"
"GO:0042060","wound healing",3,0,0.62,328,"1.000","0.1204","0.1204"
"GO:0099173","postsynapse organization",3,0,0.62,329,"1.000","0.1204","0.1204"
"GO:0046907","intracellular transport",12,5,2.49,2,"0.077","0.1209","0.1209"
"GO:0001654","eye development",4,1,0.83,140,"0.608","0.1232","0.1232"
"GO:0043010","camera-type eye development",4,1,0.83,141,"0.608","0.1232","0.1232"
"GO:0048878","chemical homeostasis",4,1,0.83,142,"0.608","0.1232","0.1232"
"GO:0048880","sensory system development",4,1,0.83,143,"0.608","0.1232","0.1232"
"GO:0060041","retina development in camera-type eye",4,1,0.83,144,"0.608","0.1232","0.1232"
"GO:0150063","visual system development",4,1,0.83,145,"0.608","0.1232","0.1232"
"GO:0032504","multicellular organism reproduction",4,0,0.83,330,"1.000","0.1232","0.1232"
"GO:0048609","multicellular organismal reproductive pr...",4,0,0.83,331,"1.000","0.1232","0.1232"
"GO:1901361","organic cyclic compound catabolic proces...",9,4,1.87,3,"0.091","0.1233","0.1233"
"GO:0018193","peptidyl-amino acid modification",3,1,0.62,77,"0.504","0.1286","0.1286"
"GO:0010975","regulation of neuron projection developm...",3,0,0.62,332,"1.000","0.1286","0.1286"
"GO:0043393","regulation of protein binding",3,0,0.62,333,"1.000","0.1286","0.1286"
"GO:0051098","regulation of binding",3,0,0.62,334,"1.000","0.1286","0.1286"
"GO:0032259","methylation",3,1,0.62,78,"0.504","0.1328","0.1328"
"GO:0043414","macromolecule methylation",3,1,0.62,79,"0.504","0.1328","0.1328"
"GO:0009893","positive regulation of metabolic process",11,2,2.28,203,"0.706","0.1332","0.1332"
"GO:0031325","positive regulation of cellular metaboli...",11,2,2.28,204,"0.706","0.1332","0.1332"
"GO:0042592","homeostatic process",14,3,2.9,129,"0.585","0.1362","0.1362"
"GO:0001934","positive regulation of protein phosphory...",3,1,0.62,80,"0.504","0.1372","0.1372"
"GO:0033674","positive regulation of kinase activity",3,1,0.62,81,"0.504","0.1372","0.1372"
"GO:0045860","positive regulation of protein kinase ac...",3,1,0.62,82,"0.504","0.1372","0.1372"
"GO:0007167","enzyme linked receptor protein signaling...",3,0,0.62,335,"1.000","0.1372","0.1372"
"GO:0000904","cell morphogenesis involved in different...",6,0,1.24,336,"1.000","0.1450","0.1450"
"GO:0031344","regulation of cell projection organizati...",6,0,1.24,337,"1.000","0.1450","0.1450"
"GO:0032990","cell part morphogenesis",6,0,1.24,338,"1.000","0.1450","0.1450"
"GO:0120035","regulation of plasma membrane bounded ce...",6,0,1.24,339,"1.000","0.1450","0.1450"
"GO:0006909","phagocytosis",3,0,0.62,340,"1.000","0.1462","0.1462"
"GO:0031346","positive regulation of cell projection o...",3,0,0.62,341,"1.000","0.1462","0.1462"
"GO:0034622","cellular protein-containing complex asse...",3,0,0.62,342,"1.000","0.1462","0.1462"
"GO:0035148","tube formation",3,0,0.62,343,"1.000","0.1462","0.1462"
"GO:0097435","supramolecular fiber organization",3,0,0.62,344,"1.000","0.1462","0.1462"
"GO:0006720","isoprenoid metabolic process",3,2,0.62,6,"0.110","0.1524","0.1524"
"GO:0022008","neurogenesis",12,0,2.49,345,"1.000","0.1545","0.1545"
"GO:0030182","neuron differentiation",12,0,2.49,346,"1.000","0.1545","0.1545"
"GO:0048699","generation of neurons",12,0,2.49,347,"1.000","0.1545","0.1545"
"GO:0006281","DNA repair",5,1,1.04,178,"0.691","0.1551","0.1551"
"GO:0046903","secretion",5,1,1.04,179,"0.691","0.1588","0.1588"
"GO:0010604","positive regulation of macromolecule met...",10,2,2.07,172,"0.652","0.1614","0.1614"
"GO:0051173","positive regulation of nitrogen compound...",10,2,2.07,173,"0.652","0.1614","0.1614"
"GO:0043085","positive regulation of catalytic activit...",7,1,1.45,247,"0.808","0.1618","0.1618"
"GO:0019538","protein metabolic process",51,9,10.58,239,"0.792","0.0286","0.1652"
"GO:1904029","regulation of cyclin-dependent protein k...",3,0,0.62,348,"1.000","0.1655","0.1655"
"GO:1903047","mitotic cell cycle process",7,2,1.45,66,"0.445","0.1696","0.1696"
"GO:0006081","cellular aldehyde metabolic process",4,2,0.83,17,"0.191","0.1787","0.1787"
"GO:0042493","response to drug",5,0,1.04,349,"1.000","0.1787","0.1787"
