"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0034470","ncRNA processing",3,3,0.65,1,"0.0095","0.014","0.014"
"GO:0034660","ncRNA metabolic process",3,3,0.65,2,"0.0095","0.014","0.014"
"GO:0034641","cellular nitrogen compound metabolic pro...",51,16,11.01,6,"0.0393","0.018","0.018"
"GO:0006725","cellular aromatic compound metabolic pro...",42,15,9.06,3,"0.0125","0.042","0.042"
"GO:0008152","metabolic process",116,29,25.03,13,"0.1039","0.055","0.055"
"GO:0003333","amino acid transmembrane transport",5,3,1.08,9,"0.0682","0.058","0.058"
"GO:0006865","amino acid transport",5,3,1.08,10,"0.0682","0.058","0.058"
"GO:1903825","organic acid transmembrane transport",5,3,1.08,11,"0.0682","0.058","0.058"
"GO:1905039","carboxylic acid transmembrane transport",5,3,1.08,12,"0.0682","0.058","0.058"
"GO:0046483","heterocycle metabolic process",43,15,9.28,4,"0.0162","0.058","0.058"
"GO:1901360","organic cyclic compound metabolic proces...",43,15,9.28,5,"0.0162","0.058","0.058"
"GO:0040007","growth",6,3,1.29,14,"0.1159","0.066","0.066"
"GO:0006396","RNA processing",7,4,1.51,7,"0.0401","0.068","0.068"
"GO:0006139","nucleobase-containing compound metabolic...",40,13,8.63,8,"0.0504","0.070","0.070"
"GO:0044085","cellular component biogenesis",8,1,1.73,229,"0.8628","0.102","0.102"
"GO:0015849","organic acid transport",6,3,1.29,15,"0.1159","0.105","0.105"
"GO:0046942","carboxylic acid transport",6,3,1.29,16,"0.1159","0.105","0.105"
"GO:0006814","sodium ion transport",3,2,0.65,17,"0.1181","0.109","0.109"
"GO:0090304","nucleic acid metabolic process",37,11,7.98,25,"0.1322","0.135","0.135"
"GO:0009968","negative regulation of signal transducti...",4,1,0.86,101,"0.6251","0.135","0.135"
"GO:0010648","negative regulation of cell communicatio...",4,1,0.86,102,"0.6251","0.135","0.135"
"GO:0023057","negative regulation of signaling",4,1,0.86,103,"0.6251","0.135","0.135"
"GO:0006412","translation",4,0,0.86,275,"1.0000","0.135","0.135"
"GO:0044238","primary metabolic process",94,20,20.28,98,"0.6087","0.138","0.138"
"GO:0006950","response to stress",19,5,4.1,55,"0.3908","0.140","0.140"
"GO:0006807","nitrogen compound metabolic process",85,18,18.34,99,"0.6160","0.140","0.140"
"GO:0015711","organic anion transport",7,3,1.51,26,"0.1727","0.160","0.160"
"GO:0098656","anion transmembrane transport",7,3,1.51,27,"0.1727","0.160","0.160"
"GO:0010467","gene expression",36,9,7.77,47,"0.3622","0.165","0.165"
"GO:0043170","macromolecule metabolic process",76,15,16.4,191,"0.7517","0.166","0.166"
"GO:0048589","developmental growth",4,1,0.86,104,"0.6251","0.166","0.166"
"GO:0006352","DNA-templated transcription, initiation",3,1,0.65,66,"0.5198","0.167","0.167"
"GO:0014070","response to organic cyclic compound",4,1,0.86,105,"0.6251","0.199","0.199"
"GO:1901566","organonitrogen compound biosynthetic pro...",11,2,2.37,185,"0.7305","0.212","0.212"
"GO:0016070","RNA metabolic process",31,9,6.69,30,"0.1915","0.218","0.218"
"GO:0006820","anion transport",8,3,1.73,35,"0.2357","0.219","0.219"
"GO:0001558","regulation of cell growth",3,2,0.65,18,"0.1181","0.225","0.225"
"GO:0016049","cell growth",3,2,0.65,19,"0.1181","0.225","0.225"
"GO:0022603","regulation of anatomical structure morph...",3,1,0.65,67,"0.5198","0.225","0.225"
"GO:0031344","regulation of cell projection organizati...",3,1,0.65,68,"0.5198","0.225","0.225"
"GO:0040008","regulation of growth",3,2,0.65,20,"0.1181","0.225","0.225"
"GO:0120035","regulation of plasma membrane bounded ce...",3,1,0.65,69,"0.5198","0.225","0.225"
"GO:0001568","blood vessel development",3,0,0.65,276,"1.0000","0.225","0.225"
"GO:0001944","vasculature development",3,0,0.65,277,"1.0000","0.225","0.225"
"GO:0006413","translational initiation",3,0,0.65,278,"1.0000","0.225","0.225"
"GO:0043933","protein-containing complex subunit organ...",3,0,0.65,279,"1.0000","0.225","0.225"
"GO:0048514","blood vessel morphogenesis",3,0,0.65,280,"1.0000","0.225","0.225"
"GO:0065003","protein-containing complex assembly",3,0,0.65,281,"1.0000","0.225","0.225"
"GO:0072358","cardiovascular system development",3,0,0.65,282,"1.0000","0.225","0.225"
"GO:1902532","negative regulation of intracellular sig...",3,0,0.65,283,"1.0000","0.225","0.225"
"GO:0044260","cellular macromolecule metabolic process",62,11,13.38,227,"0.8611","0.228","0.228"
"GO:0043603","cellular amide metabolic process",10,1,2.16,248,"0.9178","0.232","0.232"
"GO:0009059","macromolecule biosynthetic process",34,7,7.34,149,"0.6403","0.242","0.242"
"GO:0071704","organic substance metabolic process",100,21,21.58,151,"0.6488","0.249","0.249"
"GO:0044283","small molecule biosynthetic process",3,2,0.65,21,"0.1181","0.250","0.250"
"GO:1901615","organic hydroxy compound metabolic proce...",3,2,0.65,22,"0.1181","0.250","0.250"
"GO:0006914","autophagy",3,2,0.65,23,"0.1181","0.257","0.257"
"GO:0061919","process utilizing autophagic mechanism",3,2,0.65,24,"0.1181","0.257","0.257"
"GO:0044087","regulation of cellular component biogene...",6,1,1.29,192,"0.7725","0.264","0.264"
"GO:0048585","negative regulation of response to stimu...",6,2,1.29,50,"0.3839","0.264","0.264"
"GO:0006518","peptide metabolic process",6,0,1.29,284,"1.0000","0.264","0.264"
"GO:0043604","amide biosynthetic process",6,0,1.29,285,"1.0000","0.264","0.264"
"GO:0007264","small GTPase mediated signal transductio...",4,0,0.86,286,"1.0000","0.270","0.270"
"GO:0006974","cellular response to DNA damage stimulus",7,2,1.51,59,"0.4684","0.285","0.285"
"GO:0033993","response to lipid",4,0,0.86,287,"1.0000","0.299","0.299"
"GO:0071396","cellular response to lipid",4,0,0.86,288,"1.0000","0.299","0.299"
"GO:0015672","monovalent inorganic cation transport",5,2,1.08,41,"0.2946","0.312","0.312"
"GO:0045444","fat cell differentiation",3,1,0.65,70,"0.5198","0.321","0.321"
"GO:0035556","intracellular signal transduction",10,2,2.16,158,"0.6770","0.322","0.322"
"GO:1902531","regulation of intracellular signal trans...",5,0,1.08,289,"1.0000","0.323","0.323"
"GO:0045595","regulation of cell differentiation",7,3,1.51,28,"0.1727","0.329","0.329"
"GO:0019725","cellular homeostasis",4,0,0.86,290,"1.0000","0.330","0.330"
"GO:0005975","carbohydrate metabolic process",7,2,1.51,60,"0.4684","0.337","0.337"
"GO:0034220","ion transmembrane transport",10,3,2.16,48,"0.3697","0.339","0.339"
"GO:0034645","cellular macromolecule biosynthetic proc...",32,6,6.91,188,"0.7401","0.342","0.342"
"GO:0044237","cellular metabolic process",89,21,19.21,43,"0.3232","0.344","0.344"
"GO:0055114","oxidation-reduction process",7,3,1.51,29,"0.1727","0.361","0.361"
"GO:0009058","biosynthetic process",45,10,9.71,88,"0.5264","0.365","0.365"
"GO:0044271","cellular nitrogen compound biosynthetic ...",35,8,7.55,64,"0.4984","0.366","0.366"
"GO:0050793","regulation of developmental process",8,3,1.73,36,"0.2357","0.368","0.368"
"GO:0007265","Ras protein signal transduction",3,0,0.65,291,"1.0000","0.377","0.377"
"GO:0046578","regulation of Ras protein signal transdu...",3,0,0.65,292,"1.0000","0.377","0.377"
"GO:0051056","regulation of small GTPase mediated sign...",3,0,0.65,293,"1.0000","0.377","0.377"
"GO:0009057","macromolecule catabolic process",5,2,1.08,42,"0.2946","0.384","0.384"
"GO:0006259","DNA metabolic process",6,2,1.29,51,"0.3839","0.405","0.405"
"GO:0007346","regulation of mitotic cell cycle",3,1,0.65,71,"0.5198","0.407","0.407"
"GO:0060341","regulation of cellular localization",3,1,0.65,72,"0.5198","0.407","0.407"
"GO:0009725","response to hormone",3,0,0.65,294,"1.0000","0.407","0.407"
"GO:0010608","posttranscriptional regulation of gene e...",3,0,0.65,295,"1.0000","0.407","0.407"
"GO:0032870","cellular response to hormone stimulus",3,0,0.65,296,"1.0000","0.407","0.407"
"GO:0048545","response to steroid hormone",3,0,0.65,297,"1.0000","0.407","0.407"
"GO:0071383","cellular response to steroid hormone sti...",3,0,0.65,298,"1.0000","0.407","0.407"
"GO:0071407","cellular response to organic cyclic comp...",3,0,0.65,299,"1.0000","0.407","0.407"
"GO:0022607","cellular component assembly",5,0,1.08,300,"1.0000","0.410","0.410"
"GO:0043043","peptide biosynthetic process",5,0,1.08,301,"1.0000","0.410","0.410"
"GO:1901576","organic substance biosynthetic process",44,10,9.49,63,"0.4905","0.422","0.422"
"GO:0006650","glycerophospholipid metabolic process",3,0,0.65,302,"1.0000","0.427","0.427"
"GO:0046486","glycerolipid metabolic process",3,0,0.65,303,"1.0000","0.427","0.427"
"GO:0006811","ion transport",26,5,5.61,162,"0.7065","0.428","0.428"
"GO:0007049","cell cycle",7,2,1.51,61,"0.4684","0.429","0.429"
"GO:0002683","negative regulation of immune system pro...",3,1,0.65,73,"0.5198","0.430","0.430"
"GO:0009894","regulation of catabolic process",4,2,0.86,32,"0.2040","0.431","0.431"
"GO:0045454","cell redox homeostasis",3,0,0.65,304,"1.0000","0.437","0.437"
"GO:0008219","cell death",4,1,0.86,106,"0.6251","0.443","0.443"
"GO:0010941","regulation of cell death",4,1,0.86,107,"0.6251","0.443","0.443"
"GO:0060548","negative regulation of cell death",4,1,0.86,108,"0.6251","0.443","0.443"
"GO:0022402","cell cycle process",6,2,1.29,52,"0.3839","0.453","0.453"
"GO:0051186","cofactor metabolic process",4,2,0.86,33,"0.2040","0.455","0.455"
"GO:0055086","nucleobase-containing small molecule met...",4,2,0.86,34,"0.2040","0.455","0.455"
"GO:0018193","peptidyl-amino acid modification",3,1,0.65,74,"0.5198","0.469","0.469"
"GO:0010468","regulation of gene expression",23,5,4.96,96,"0.5837","0.474","0.474"
"GO:1901135","carbohydrate derivative metabolic proces...",6,2,1.29,53,"0.3839","0.484","0.484"
"GO:0006351","transcription, DNA-templated",26,5,5.61,163,"0.7065","0.508","0.508"
"GO:0009889","regulation of biosynthetic process",26,5,5.61,164,"0.7065","0.508","0.508"
"GO:0032774","RNA biosynthetic process",26,5,5.61,165,"0.7065","0.508","0.508"
"GO:0097659","nucleic acid-templated transcription",26,5,5.61,166,"0.7065","0.508","0.508"
"GO:0000165","MAPK cascade",3,0,0.65,305,"1.0000","0.512","0.512"
"GO:0010562","positive regulation of phosphorus metabo...",3,0,0.65,306,"1.0000","0.512","0.512"
"GO:0023014","signal transduction by protein phosphory...",3,0,0.65,307,"1.0000","0.512","0.512"
"GO:0031401","positive regulation of protein modificat...",3,0,0.65,308,"1.0000","0.512","0.512"
"GO:0032270","positive regulation of cellular protein ...",3,0,0.65,309,"1.0000","0.512","0.512"
"GO:0043408","regulation of MAPK cascade",3,0,0.65,310,"1.0000","0.512","0.512"
"GO:0045937","positive regulation of phosphate metabol...",3,0,0.65,311,"1.0000","0.512","0.512"
"GO:0051247","positive regulation of protein metabolic...",3,0,0.65,312,"1.0000","0.512","0.512"
"GO:0051128","regulation of cellular component organiz...",8,3,1.73,37,"0.2357","0.526","0.526"
"GO:0000278","mitotic cell cycle",6,1,1.29,193,"0.7725","0.530","0.530"
"GO:0051726","regulation of cell cycle",6,2,1.29,54,"0.3839","0.530","0.530"
"GO:0019220","regulation of phosphate metabolic proces...",6,0,1.29,313,"1.0000","0.530","0.530"
"GO:0051174","regulation of phosphorus metabolic proce...",6,0,1.29,314,"1.0000","0.530","0.530"
"GO:0044267","cellular protein metabolic process",32,2,6.91,274,"0.9978","0.535","0.535"
"GO:0019438","aromatic compound biosynthetic process",29,7,6.26,57,"0.4400","0.536","0.536"
"GO:0007165","signal transduction",28,4,6.04,246,"0.9018","0.542","0.542"
"GO:0042221","response to chemical",16,5,3.45,40,"0.2443","0.543","0.543"
"GO:0006915","apoptotic process",3,0,0.65,315,"1.0000","0.544","0.544"
"GO:0010256","endomembrane system organization",3,0,0.65,316,"1.0000","0.544","0.544"
"GO:0012501","programmed cell death",3,0,0.65,317,"1.0000","0.544","0.544"
"GO:0042981","regulation of apoptotic process",3,0,0.65,318,"1.0000","0.544","0.544"
"GO:0043066","negative regulation of apoptotic process",3,0,0.65,319,"1.0000","0.544","0.544"
"GO:0043067","regulation of programmed cell death",3,0,0.65,320,"1.0000","0.544","0.544"
"GO:0043069","negative regulation of programmed cell d...",3,0,0.65,321,"1.0000","0.544","0.544"
"GO:0006355","regulation of transcription, DNA-templat...",22,5,4.75,89,"0.5378","0.550","0.550"
"GO:0051252","regulation of RNA metabolic process",22,5,4.75,90,"0.5378","0.550","0.550"
"GO:1903506","regulation of nucleic acid-templated tra...",22,5,4.75,91,"0.5378","0.550","0.550"
"GO:2001141","regulation of RNA biosynthetic process",22,5,4.75,92,"0.5378","0.550","0.550"
"GO:0008610","lipid biosynthetic process",7,1,1.51,213,"0.8232","0.559","0.559"
"GO:0006281","DNA repair",5,1,1.08,168,"0.7077","0.562","0.562"
"GO:0006812","cation transport",15,3,3.24,153,"0.6684","0.569","0.569"
"GO:0019538","protein metabolic process",39,3,8.42,273,"0.9976","0.585","0.585"
"GO:0030163","protein catabolic process",3,1,0.65,75,"0.5198","0.585","0.585"
"GO:0044281","small molecule metabolic process",12,4,2.59,39,"0.2440","0.588","0.588"
"GO:0000003","reproduction",5,1,1.08,169,"0.7077","0.591","0.591"
"GO:0003006","developmental process involved in reprod...",5,1,1.08,170,"0.7077","0.591","0.591"
"GO:0007155","cell adhesion",5,1,1.08,171,"0.7077","0.591","0.591"
"GO:0022414","reproductive process",5,1,1.08,172,"0.7077","0.591","0.591"
"GO:0022610","biological adhesion",5,1,1.08,173,"0.7077","0.591","0.591"
"GO:0032990","cell part morphogenesis",5,1,1.08,174,"0.7077","0.591","0.591"
"GO:1903047","mitotic cell cycle process",5,1,1.08,175,"0.7077","0.591","0.591"
"GO:0001932","regulation of protein phosphorylation",5,0,1.08,322,"1.0000","0.591","0.591"
"GO:0006325","chromatin organization",5,0,1.08,323,"1.0000","0.591","0.591"
"GO:0009612","response to mechanical stimulus",5,0,1.08,324,"1.0000","0.591","0.591"
"GO:0035239","tube morphogenesis",5,0,1.08,325,"1.0000","0.591","0.591"
"GO:0035295","tube development",5,0,1.08,326,"1.0000","0.591","0.591"
"GO:0042325","regulation of phosphorylation",5,0,1.08,327,"1.0000","0.591","0.591"
"GO:0071705","nitrogen compound transport",15,3,3.24,154,"0.6684","0.595","0.595"
"GO:0009966","regulation of signal transduction",7,1,1.51,214,"0.8232","0.596","0.596"
"GO:0009056","catabolic process",14,4,3.02,45,"0.3550","0.596","0.596"
"GO:0044249","cellular biosynthetic process",41,9,8.85,93,"0.5499","0.612","0.612"
"GO:0002694","regulation of leukocyte activation",4,1,0.86,109,"0.6251","0.613","0.613"
"GO:0006928","movement of cell or subcellular componen...",4,1,0.86,110,"0.6251","0.613","0.613"
"GO:0006979","response to oxidative stress",4,1,0.86,111,"0.6251","0.613","0.613"
"GO:0016477","cell migration",4,1,0.86,112,"0.6251","0.613","0.613"
"GO:0040011","locomotion",4,1,0.86,113,"0.6251","0.613","0.613"
"GO:0042110","T cell activation",4,1,0.86,114,"0.6251","0.613","0.613"
"GO:0045321","leukocyte activation",4,1,0.86,115,"0.6251","0.613","0.613"
"GO:0045596","negative regulation of cell differentiat...",4,1,0.86,116,"0.6251","0.613","0.613"
"GO:0046649","lymphocyte activation",4,1,0.86,117,"0.6251","0.613","0.613"
"GO:0048870","cell motility",4,1,0.86,118,"0.6251","0.613","0.613"
"GO:0050863","regulation of T cell activation",4,1,0.86,119,"0.6251","0.613","0.613"
"GO:0050865","regulation of cell activation",4,1,0.86,120,"0.6251","0.613","0.613"
"GO:0051093","negative regulation of developmental pro...",4,1,0.86,121,"0.6251","0.613","0.613"
"GO:0051249","regulation of lymphocyte activation",4,1,0.86,122,"0.6251","0.613","0.613"
"GO:0051674","localization of cell",4,1,0.86,123,"0.6251","0.613","0.613"
"GO:0072359","circulatory system development",4,0,0.86,328,"1.0000","0.613","0.613"
"GO:0032501","multicellular organismal process",23,7,4.96,31,"0.1995","0.614","0.614"
"GO:0043412","macromolecule modification",29,3,6.26,266,"0.9750","0.619","0.619"
"GO:0055085","transmembrane transport",25,6,5.39,58,"0.4634","0.631","0.631"
"GO:1901362","organic cyclic compound biosynthetic pro...",31,8,6.69,44,"0.3401","0.631","0.631"
"GO:0042493","response to drug",3,1,0.65,76,"0.5198","0.652","0.652"
"GO:0098655","cation transmembrane transport",3,1,0.65,77,"0.5198","0.652","0.652"
"GO:0048856","anatomical structure development",24,7,5.18,38,"0.2357","0.655","0.655"
"GO:0044282","small molecule catabolic process",3,0,0.65,329,"1.0000","0.656","0.656"
"GO:0030900","forebrain development",4,1,0.86,124,"0.6251","0.658","0.658"
"GO:0000904","cell morphogenesis involved in different...",4,1,0.86,125,"0.6251","0.658","0.658"
"GO:0007409","axonogenesis",4,1,0.86,126,"0.6251","0.658","0.658"
"GO:0048667","cell morphogenesis involved in neuron di...",4,1,0.86,127,"0.6251","0.658","0.658"
"GO:0048812","neuron projection morphogenesis",4,1,0.86,128,"0.6251","0.658","0.658"
"GO:0048858","cell projection morphogenesis",4,1,0.86,129,"0.6251","0.658","0.658"
"GO:0050808","synapse organization",4,1,0.86,130,"0.6251","0.658","0.658"
"GO:0061564","axon development",4,1,0.86,131,"0.6251","0.658","0.658"
"GO:0098609","cell-cell adhesion",4,1,0.86,132,"0.6251","0.658","0.658"
"GO:0120039","plasma membrane bounded cell projection ...",4,1,0.86,133,"0.6251","0.658","0.658"
"GO:0001654","eye development",4,0,0.86,330,"1.0000","0.658","0.658"
"GO:0001933","negative regulation of protein phosphory...",4,0,0.86,331,"1.0000","0.658","0.658"
"GO:0007010","cytoskeleton organization",4,0,0.86,332,"1.0000","0.658","0.658"
"GO:0009611","response to wounding",4,0,0.86,333,"1.0000","0.658","0.658"
"GO:0010563","negative regulation of phosphorus metabo...",4,0,0.86,334,"1.0000","0.658","0.658"
"GO:0030029","actin filament-based process",4,0,0.86,335,"1.0000","0.658","0.658"
"GO:0030036","actin cytoskeleton organization",4,0,0.86,336,"1.0000","0.658","0.658"
"GO:0042060","wound healing",4,0,0.86,337,"1.0000","0.658","0.658"
"GO:0042326","negative regulation of phosphorylation",4,0,0.86,338,"1.0000","0.658","0.658"
"GO:0043549","regulation of kinase activity",4,0,0.86,339,"1.0000","0.658","0.658"
"GO:0045859","regulation of protein kinase activity",4,0,0.86,340,"1.0000","0.658","0.658"
"GO:0045936","negative regulation of phosphate metabol...",4,0,0.86,341,"1.0000","0.658","0.658"
"GO:0048880","sensory system development",4,0,0.86,342,"1.0000","0.658","0.658"
"GO:0150063","visual system development",4,0,0.86,343,"1.0000","0.658","0.658"
"GO:0010556","regulation of macromolecule biosynthetic...",24,5,5.18,146,"0.6273","0.661","0.661"
"GO:0031326","regulation of cellular biosynthetic proc...",24,5,5.18,147,"0.6273","0.661","0.661"
"GO:2000112","regulation of cellular macromolecule bio...",24,5,5.18,148,"0.6273","0.661","0.661"
"GO:0080090","regulation of primary metabolic process",31,6,6.69,167,"0.7071","0.670","0.670"
"GO:0050794","regulation of cellular process",63,11,13.59,239,"0.8778","0.672","0.672"
"GO:0030001","metal ion transport",10,2,2.16,159,"0.6770","0.673","0.673"
"GO:0033554","cellular response to stress",10,3,2.16,49,"0.3697","0.673","0.673"
"GO:0071702","organic substance transport",17,4,3.67,86,"0.5214","0.674","0.674"
"GO:0048513","animal organ development",13,3,2.81,94,"0.5609","0.675","0.675"
"GO:0023052","signaling",29,4,6.26,247,"0.9176","0.676","0.676"
"GO:0009791","post-embryonic development",4,1,0.86,134,"0.6251","0.677","0.677"
"GO:0008283","cell proliferation",4,0,0.86,344,"1.0000","0.677","0.677"
"GO:0007186","G protein-coupled receptor signaling pat...",6,0,1.29,345,"1.0000","0.678","0.678"
"GO:0006464","cellular protein modification process",27,2,5.83,269,"0.9920","0.678","0.678"
"GO:0036211","protein modification process",27,2,5.83,270,"0.9920","0.678","0.678"
"GO:0034654","nucleobase-containing compound biosynthe...",27,5,5.83,189,"0.7417","0.685","0.685"
"GO:0097164","ammonium ion metabolic process",4,0,0.86,346,"1.0000","0.690","0.690"
"GO:0019222","regulation of metabolic process",34,7,7.34,150,"0.6403","0.690","0.690"
"GO:0046467","membrane lipid biosynthetic process",3,0,0.65,347,"1.0000","0.700","0.700"
"GO:1901137","carbohydrate derivative biosynthetic pro...",3,0,0.65,348,"1.0000","0.700","0.700"
"GO:0006629","lipid metabolic process",13,2,2.81,210,"0.8158","0.702","0.702"
"GO:0018130","heterocycle biosynthetic process",30,7,6.47,62,"0.4821","0.704","0.704"
"GO:0016071","mRNA metabolic process",4,1,0.86,135,"0.6251","0.709","0.709"
"GO:0031329","regulation of cellular catabolic process",3,1,0.65,78,"0.5198","0.710","0.710"
"GO:0051129","negative regulation of cellular componen...",3,0,0.65,349,"1.0000","0.710","0.710"
