"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006974","cellular response to DNA damage stimulus",4,1,0.59,113,"0.475","0.0076","0.0076"
"GO:0006457","protein folding",4,3,0.59,2,"0.011","0.0086","0.0086"
"GO:0006082","organic acid metabolic process",5,3,0.74,4,"0.024","0.0176","0.0176"
"GO:0019752","carboxylic acid metabolic process",5,3,0.74,5,"0.024","0.0176","0.0176"
"GO:0043436","oxoacid metabolic process",5,3,0.74,6,"0.024","0.0176","0.0176"
"GO:0006518","peptide metabolic process",7,4,1.03,1,"0.010","0.0276","0.0276"
"GO:0015672","monovalent inorganic cation transport",8,1,1.18,223,"0.729","0.0298","0.0298"
"GO:0055082","cellular chemical homeostasis",3,2,0.44,10,"0.058","0.0360","0.0360"
"GO:0007186","G protein-coupled receptor signaling pat...",8,3,1.18,15,"0.097","0.0379","0.0379"
"GO:0043603","cellular amide metabolic process",8,4,1.18,3,"0.018","0.0486","0.0486"
"GO:0006820","anion transport",5,2,0.74,24,"0.159","0.0509","0.0509"
"GO:0031929","TOR signaling",3,1,0.44,50,"0.383","0.0530","0.0530"
"GO:0006812","cation transport",11,2,1.63,153,"0.504","0.0620","0.0620"
"GO:0030001","metal ion transport",9,2,1.33,104,"0.394","0.0697","0.0697"
"GO:0006091","generation of precursor metabolites and ...",3,1,0.44,51,"0.383","0.0732","0.0732"
"GO:0071702","organic substance transport",13,2,1.92,181,"0.601","0.0764","0.0764"
"GO:0051346","negative regulation of hydrolase activit...",4,1,0.59,114,"0.475","0.0825","0.0825"
"GO:0006520","cellular amino acid metabolic process",3,2,0.44,11,"0.058","0.0911","0.0911"
"GO:0051128","regulation of cellular component organiz...",12,3,1.77,36,"0.253","0.0999","0.0999"
"GO:0006412","translation",6,3,0.89,7,"0.043","0.1059","0.1059"
"GO:0043043","peptide biosynthetic process",6,3,0.89,8,"0.043","0.1059","0.1059"
"GO:0043604","amide biosynthetic process",6,3,0.89,9,"0.043","0.1059","0.1059"
"GO:0014070","response to organic cyclic compound",3,1,0.44,52,"0.383","0.1149","0.1149"
"GO:0044281","small molecule metabolic process",17,5,2.51,14,"0.085","0.1151","0.1151"
"GO:0009058","biosynthetic process",49,8,7.24,105,"0.441","0.1174","0.1174"
"GO:0031503","protein-containing complex localization",3,0,0.44,329,"1.000","0.1233","0.1233"
"GO:0019725","cellular homeostasis",7,3,1.03,13,"0.068","0.1242","0.1242"
"GO:0044283","small molecule biosynthetic process",8,2,1.18,46,"0.336","0.1257","0.1257"
"GO:0098655","cation transmembrane transport",6,1,0.89,185,"0.622","0.1308","0.1308"
"GO:0006066","alcohol metabolic process",3,0,0.44,330,"1.000","0.1323","0.1323"
"GO:0048878","chemical homeostasis",4,2,0.59,19,"0.105","0.1422","0.1422"
"GO:0098660","inorganic ion transmembrane transport",4,1,0.59,115,"0.475","0.1422","0.1422"
"GO:0098662","inorganic cation transmembrane transport",4,1,0.59,116,"0.475","0.1422","0.1422"
"GO:0032502","developmental process",29,2,4.29,314,"0.954","0.1498","0.1498"
"GO:1901615","organic hydroxy compound metabolic proce...",4,0,0.59,331,"1.000","0.1552","0.1552"
"GO:0006811","ion transport",18,4,2.66,39,"0.265","0.1770","0.1770"
"GO:0007275","multicellular organism development",28,2,4.14,311,"0.946","0.1797","0.1797"
"GO:0032501","multicellular organismal process",28,2,4.14,312,"0.946","0.1797","0.1797"
"GO:0048856","anatomical structure development",28,2,4.14,313,"0.946","0.1797","0.1797"
"GO:0065007","biological regulation",76,9,11.23,284,"0.869","0.1839","0.1839"
"GO:0044249","cellular biosynthetic process",47,8,6.95,102,"0.387","0.1848","0.1848"
"GO:1901576","organic substance biosynthetic process",47,8,6.95,103,"0.387","0.1848","0.1848"
"GO:0018193","peptidyl-amino acid modification",7,2,1.03,40,"0.276","0.1873","0.1873"
"GO:0071310","cellular response to organic substance",5,1,0.74,157,"0.554","0.1955","0.1955"
"GO:0009056","catabolic process",17,4,2.51,35,"0.229","0.2033","0.2033"
"GO:0022607","cellular component assembly",13,2,1.92,182,"0.601","0.2064","0.2064"
"GO:0044085","cellular component biogenesis",13,2,1.92,183,"0.601","0.2064","0.2064"
"GO:0007155","cell adhesion",8,0,1.18,332,"1.000","0.2115","0.2115"
"GO:0022610","biological adhesion",8,0,1.18,333,"1.000","0.2115","0.2115"
"GO:0051129","negative regulation of cellular componen...",4,0,0.59,334,"1.000","0.2158","0.2158"
"GO:0032269","negative regulation of cellular protein ...",7,1,1.03,202,"0.679","0.2159","0.2159"
"GO:0043086","negative regulation of catalytic activit...",7,1,1.03,203,"0.679","0.2159","0.2159"
"GO:0044092","negative regulation of molecular functio...",7,1,1.03,204,"0.679","0.2159","0.2159"
"GO:0051248","negative regulation of protein metabolic...",7,1,1.03,205,"0.679","0.2159","0.2159"
"GO:0048523","negative regulation of cellular process",18,2,2.66,249,"0.782","0.2250","0.2250"
"GO:0048869","cellular developmental process",18,2,2.66,250,"0.782","0.2250","0.2250"
"GO:0042493","response to drug",4,1,0.59,117,"0.475","0.2292","0.2292"
"GO:0033043","regulation of organelle organization",5,1,0.74,158,"0.554","0.2341","0.2341"
"GO:0044087","regulation of cellular component biogene...",7,1,1.03,206,"0.679","0.2366","0.2366"
"GO:0051130","positive regulation of cellular componen...",7,2,1.03,41,"0.276","0.2366","0.2366"
"GO:1901361","organic cyclic compound catabolic proces...",9,3,1.33,23,"0.132","0.2385","0.2385"
"GO:0043085","positive regulation of catalytic activit...",3,0,0.44,335,"1.000","0.2419","0.2419"
"GO:0048731","system development",22,2,3.25,285,"0.872","0.2441","0.2441"
"GO:0071705","nitrogen compound transport",10,1,1.48,256,"0.806","0.2462","0.2462"
