"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0065008","regulation of biological quality",18,9,4.71,6,"0.020","0.003","0.003"
"GO:0007018","microtubule-based movement",3,3,0.78,5,"0.017","0.012","0.012"
"GO:0019439","aromatic compound catabolic process",4,3,1.05,14,"0.056","0.012","0.012"
"GO:0044270","cellular nitrogen compound catabolic pro...",4,3,1.05,15,"0.056","0.012","0.012"
"GO:0046700","heterocycle catabolic process",4,3,1.05,16,"0.056","0.012","0.012"
"GO:0006468","protein phosphorylation",17,8,4.45,11,"0.044","0.027","0.027"
"GO:0006725","cellular aromatic compound metabolic pro...",44,11,11.51,290,"0.647","0.031","0.031"
"GO:0016310","phosphorylation",20,9,5.23,12,"0.044","0.036","0.036"
"GO:0034655","nucleobase-containing compound catabolic...",3,2,0.78,41,"0.168","0.038","0.038"
"GO:1901360","organic cyclic compound metabolic proces...",46,12,12.03,226,"0.574","0.042","0.042"
"GO:0001932","regulation of protein phosphorylation",9,6,2.35,1,"0.011","0.045","0.045"
"GO:0042325","regulation of phosphorylation",9,6,2.35,2,"0.011","0.045","0.045"
"GO:0032535","regulation of cellular component size",3,2,0.78,42,"0.168","0.047","0.047"
"GO:0034622","cellular protein-containing complex asse...",3,2,0.78,43,"0.168","0.047","0.047"
"GO:0090066","regulation of anatomical structure size",3,2,0.78,44,"0.168","0.047","0.047"
"GO:0007017","microtubule-based process",4,3,1.05,17,"0.056","0.052","0.052"
"GO:0051726","regulation of cell cycle",6,3,1.57,76,"0.185","0.053","0.053"
"GO:0006139","nucleobase-containing compound metabolic...",42,10,10.98,326,"0.718","0.054","0.054"
"GO:1901361","organic cyclic compound catabolic proces...",5,3,1.31,23,"0.113","0.054","0.054"
"GO:0046483","heterocycle metabolic process",45,11,11.77,302,"0.683","0.055","0.055"
"GO:0000003","reproduction",5,3,1.31,24,"0.113","0.057","0.057"
"GO:0044283","small molecule biosynthetic process",7,3,1.83,101,"0.265","0.059","0.059"
"GO:0031175","neuron projection development",6,3,1.57,77,"0.185","0.060","0.060"
"GO:0042592","homeostatic process",9,5,2.35,13,"0.054","0.063","0.063"
"GO:0006325","chromatin organization",5,3,1.31,25,"0.113","0.064","0.064"
"GO:0006950","response to stress",15,4,3.92,228,"0.586","0.069","0.069"
"GO:0031399","regulation of protein modification proce...",12,7,3.14,3,"0.015","0.071","0.071"
"GO:0032268","regulation of cellular protein metabolic...",12,7,3.14,4,"0.015","0.071","0.071"
"GO:0017144","drug metabolic process",4,2,1.05,112,"0.280","0.071","0.071"
"GO:0010033","response to organic substance",7,3,1.83,102,"0.265","0.071","0.071"
"GO:0048812","neuron projection morphogenesis",5,3,1.31,26,"0.113","0.075","0.075"
"GO:0048858","cell projection morphogenesis",5,3,1.31,27,"0.113","0.075","0.075"
"GO:0050808","synapse organization",5,3,1.31,28,"0.113","0.075","0.075"
"GO:0120039","plasma membrane bounded cell projection ...",5,3,1.31,29,"0.113","0.075","0.075"
"GO:0006732","coenzyme metabolic process",3,1,0.78,238,"0.600","0.075","0.075"
"GO:0006974","cellular response to DNA damage stimulus",5,1,1.31,335,"0.784","0.079","0.079"
"GO:0019725","cellular homeostasis",5,3,1.31,30,"0.113","0.083","0.083"
"GO:0090304","nucleic acid metabolic process",37,8,9.68,356,"0.816","0.088","0.088"
"GO:0007409","axonogenesis",3,2,0.78,45,"0.168","0.089","0.089"
"GO:0061564","axon development",3,2,0.78,46,"0.168","0.089","0.089"
"GO:0019220","regulation of phosphate metabolic proces...",10,6,2.62,7,"0.022","0.089","0.089"
"GO:0051174","regulation of phosphorus metabolic proce...",10,6,2.62,8,"0.022","0.089","0.089"
"GO:0007010","cytoskeleton organization",6,3,1.57,78,"0.185","0.093","0.093"
"GO:0033554","cellular response to stress",8,2,2.09,291,"0.666","0.099","0.099"
"GO:0022414","reproductive process",4,2,1.05,113,"0.280","0.102","0.102"
"GO:0000910","cytokinesis",3,2,0.78,47,"0.168","0.107","0.107"
"GO:0001894","tissue homeostasis",3,2,0.78,48,"0.168","0.107","0.107"
"GO:0007276","gamete generation",3,2,0.78,49,"0.168","0.107","0.107"
"GO:0019953","sexual reproduction",3,2,0.78,50,"0.168","0.107","0.107"
"GO:0022412","cellular process involved in reproductio...",3,2,0.78,51,"0.168","0.107","0.107"
"GO:0032504","multicellular organism reproduction",3,2,0.78,52,"0.168","0.107","0.107"
"GO:0044703","multi-organism reproductive process",3,2,0.78,53,"0.168","0.107","0.107"
"GO:0048609","multicellular organismal reproductive pr...",3,2,0.78,54,"0.168","0.107","0.107"
"GO:0048871","multicellular organismal homeostasis",3,2,0.78,55,"0.168","0.107","0.107"
"GO:0051235","maintenance of location",3,2,0.78,56,"0.168","0.107","0.107"
"GO:0060249","anatomical structure homeostasis",3,2,0.78,57,"0.168","0.107","0.107"
"GO:1904029","regulation of cyclin-dependent protein k...",3,2,0.78,58,"0.168","0.107","0.107"
"GO:0051239","regulation of multicellular organismal p...",8,5,2.09,10,"0.030","0.110","0.110"
"GO:0043933","protein-containing complex subunit organ...",5,2,1.31,165,"0.392","0.112","0.112"
"GO:0065003","protein-containing complex assembly",5,2,1.31,166,"0.392","0.112","0.112"
"GO:0051246","regulation of protein metabolic process",13,7,3.4,9,"0.026","0.118","0.118"
"GO:0006928","movement of cell or subcellular componen...",8,4,2.09,34,"0.126","0.128","0.128"
"GO:0000902","cell morphogenesis",6,3,1.57,79,"0.185","0.134","0.134"
"GO:0032990","cell part morphogenesis",6,3,1.57,80,"0.185","0.134","0.134"
"GO:0040008","regulation of growth",3,2,0.78,59,"0.168","0.139","0.139"
"GO:0050803","regulation of synapse structure or activ...",3,2,0.78,60,"0.168","0.139","0.139"
"GO:0050807","regulation of synapse organization",3,2,0.78,61,"0.168","0.139","0.139"
"GO:0070887","cellular response to chemical stimulus",6,2,1.57,199,"0.495","0.149","0.149"
"GO:0010941","regulation of cell death",3,2,0.78,62,"0.168","0.149","0.149"
"GO:0000904","cell morphogenesis involved in different...",4,2,1.05,114,"0.280","0.156","0.156"
"GO:0001933","negative regulation of protein phosphory...",4,2,1.05,115,"0.280","0.156","0.156"
"GO:0006469","negative regulation of protein kinase ac...",4,2,1.05,116,"0.280","0.156","0.156"
"GO:0010563","negative regulation of phosphorus metabo...",4,2,1.05,117,"0.280","0.156","0.156"
"GO:0033673","negative regulation of kinase activity",4,2,1.05,118,"0.280","0.156","0.156"
"GO:0042326","negative regulation of phosphorylation",4,2,1.05,119,"0.280","0.156","0.156"
"GO:0043086","negative regulation of catalytic activit...",4,2,1.05,120,"0.280","0.156","0.156"
"GO:0044092","negative regulation of molecular functio...",4,2,1.05,121,"0.280","0.156","0.156"
"GO:0045936","negative regulation of phosphate metabol...",4,2,1.05,122,"0.280","0.156","0.156"
"GO:0048667","cell morphogenesis involved in neuron di...",4,2,1.05,123,"0.280","0.156","0.156"
"GO:0051348","negative regulation of transferase activ...",4,2,1.05,124,"0.280","0.156","0.156"
"GO:0042221","response to chemical",13,3,3.4,324,"0.710","0.160","0.160"
"GO:0007049","cell cycle",10,3,2.62,214,"0.512","0.165","0.165"
"GO:0006281","DNA repair",3,1,0.78,239,"0.600","0.165","0.165"
"GO:0006259","DNA metabolic process",7,2,1.83,230,"0.587","0.170","0.170"
"GO:0051276","chromosome organization",7,3,1.83,103,"0.265","0.175","0.175"
"GO:0016070","RNA metabolic process",31,6,8.11,382,"0.880","0.175","0.175"
"GO:0048519","negative regulation of biological proces...",21,8,5.49,38,"0.146","0.179","0.179"
"GO:0003006","developmental process involved in reprod...",3,1,0.78,240,"0.600","0.183","0.183"
"GO:0007346","regulation of mitotic cell cycle",3,2,0.78,63,"0.168","0.183","0.183"
"GO:0022008","neurogenesis",11,5,2.88,37,"0.128","0.183","0.183"
"GO:0009628","response to abiotic stimulus",5,2,1.31,167,"0.392","0.186","0.186"
"GO:0030029","actin filament-based process",5,2,1.31,168,"0.392","0.186","0.186"
"GO:0030036","actin cytoskeleton organization",5,2,1.31,169,"0.392","0.186","0.186"
"GO:0051704","multi-organism process",5,3,1.31,31,"0.113","0.186","0.186"
