"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0032269","negative regulation of cellular protein ...",8,4,2.48,20,"0.2099","0.0068","0.0068"
"GO:0006325","chromatin organization",4,4,1.24,1,"0.0087","0.0074","0.0074"
"GO:0016311","dephosphorylation",7,4,2.17,7,"0.1364","0.0130","0.0130"
"GO:0031400","negative regulation of protein modificat...",7,3,2.17,80,"0.3761","0.0130","0.0130"
"GO:0010563","negative regulation of phosphorus metabo...",6,3,1.86,46,"0.2734","0.0246","0.0246"
"GO:0045936","negative regulation of phosphate metabol...",6,3,1.86,47,"0.2734","0.0246","0.0246"
"GO:0098662","inorganic cation transmembrane transport",6,2,1.86,147,"0.6049","0.0246","0.0246"
"GO:0031399","regulation of protein modification proce...",9,3,2.79,135,"0.5679","0.0278","0.0278"
"GO:0009755","hormone-mediated signaling pathway",3,3,0.93,2,"0.0290","0.0291","0.0291"
"GO:0043401","steroid hormone mediated signaling pathw...",3,3,0.93,3,"0.0290","0.0291","0.0291"
"GO:0098660","inorganic ion transmembrane transport",7,2,2.17,253,"0.6964","0.0434","0.0434"
"GO:0006816","calcium ion transport",5,2,1.55,110,"0.4944","0.0463","0.0463"
"GO:0070838","divalent metal ion transport",5,2,1.55,111,"0.4944","0.0463","0.0463"
"GO:0072511","divalent inorganic cation transport",5,2,1.55,112,"0.4944","0.0463","0.0463"
"GO:0019220","regulation of phosphate metabolic proces...",8,3,2.48,103,"0.4758","0.0513","0.0513"
"GO:0051174","regulation of phosphorus metabolic proce...",8,3,2.48,104,"0.4758","0.0513","0.0513"
"GO:0055085","transmembrane transport",33,14,10.25,5,"0.0938","0.0553","0.0553"
"GO:0006464","cellular protein modification process",32,13,9.94,11,"0.1449","0.0590","0.0590"
"GO:0036211","protein modification process",32,13,9.94,12,"0.1449","0.0590","0.0590"
"GO:0018193","peptidyl-amino acid modification",6,3,1.86,48,"0.2734","0.0725","0.0725"
"GO:0002262","myeloid cell homeostasis",3,2,0.93,29,"0.2282","0.0747","0.0747"
"GO:0030099","myeloid cell differentiation",3,2,0.93,30,"0.2282","0.0747","0.0747"
"GO:0030218","erythrocyte differentiation",3,2,0.93,31,"0.2282","0.0747","0.0747"
"GO:0034101","erythrocyte homeostasis",3,2,0.93,32,"0.2282","0.0747","0.0747"
"GO:0042592","homeostatic process",15,4,4.66,270,"0.7416","0.0782","0.0782"
"GO:0061024","membrane organization",5,1,1.55,348,"0.8474","0.0830","0.0830"
"GO:0034762","regulation of transmembrane transport",5,0,1.55,463,"1.0000","0.0830","0.0830"
"GO:0034765","regulation of ion transmembrane transpor...",5,0,1.55,464,"1.0000","0.0830","0.0830"
"GO:0043269","regulation of ion transport",5,0,1.55,465,"1.0000","0.0830","0.0830"
"GO:0051050","positive regulation of transport",5,0,1.55,466,"1.0000","0.0830","0.0830"
