"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006091","generation of precursor metabolites and ...",3,3,0.96,1,"0.032","0.0082","0.0082"
"GO:0005975","carbohydrate metabolic process",12,7,3.84,2,"0.049","0.0157","0.0157"
"GO:0006259","DNA metabolic process",6,3,1.92,73,"0.292","0.0243","0.0243"
"GO:0019693","ribose phosphate metabolic process",4,3,1.28,5,"0.098","0.0309","0.0309"
"GO:0006753","nucleoside phosphate metabolic process",6,3,1.92,74,"0.292","0.0379","0.0379"
"GO:0009117","nucleotide metabolic process",6,3,1.92,75,"0.292","0.0379","0.0379"
"GO:0090407","organophosphate biosynthetic process",6,4,1.92,4,"0.085","0.0379","0.0379"
"GO:0048646","anatomical structure formation involved ...",7,4,2.24,10,"0.150","0.0438","0.0438"
"GO:0055086","nucleobase-containing small molecule met...",8,4,2.56,17,"0.229","0.0479","0.0479"
"GO:0006725","cellular aromatic compound metabolic pro...",49,14,15.7,319,"0.778","0.0546","0.0546"
"GO:0046483","heterocycle metabolic process",49,14,15.7,320,"0.778","0.0546","0.0546"
"GO:0001934","positive regulation of protein phosphory...",4,2,1.28,92,"0.384","0.0628","0.0628"
"GO:0007167","enzyme linked receptor protein signaling...",4,3,1.28,6,"0.098","0.0628","0.0628"
"GO:0033674","positive regulation of kinase activity",4,2,1.28,93,"0.384","0.0628","0.0628"
"GO:0042327","positive regulation of phosphorylation",4,2,1.28,94,"0.384","0.0628","0.0628"
"GO:0045860","positive regulation of protein kinase ac...",4,2,1.28,95,"0.384","0.0628","0.0628"
"GO:0048878","chemical homeostasis",4,3,1.28,7,"0.098","0.0628","0.0628"
"GO:0051347","positive regulation of transferase activ...",4,2,1.28,96,"0.384","0.0628","0.0628"
"GO:0097435","supramolecular fiber organization",4,2,1.28,97,"0.384","0.0628","0.0628"
"GO:0006139","nucleobase-containing compound metabolic...",48,14,15.38,317,"0.744","0.0638","0.0638"
"GO:0006081","cellular aldehyde metabolic process",3,2,0.96,22,"0.241","0.0651","0.0651"
"GO:0019637","organophosphate metabolic process",12,5,3.84,89,"0.328","0.0684","0.0684"
"GO:1901360","organic cyclic compound metabolic proces...",51,14,16.34,381,"0.837","0.0701","0.0701"
"GO:0006974","cellular response to DNA damage stimulus",7,3,2.24,122,"0.399","0.0710","0.0710"
"GO:0034641","cellular nitrogen compound metabolic pro...",58,16,18.58,389,"0.847","0.0743","0.0743"
"GO:1901701","cellular response to oxygen-containing c...",4,2,1.28,98,"0.384","0.0787","0.0787"
"GO:0006814","sodium ion transport",3,2,0.96,23,"0.241","0.0852","0.0852"
"GO:0006281","DNA repair",4,1,1.28,326,"0.790","0.0859","0.0859"
"GO:0044249","cellular biosynthetic process",50,13,16.02,413,"0.891","0.0987","0.0987"
"GO:0006732","coenzyme metabolic process",3,2,0.96,24,"0.241","0.1013","0.1013"
"GO:0055082","cellular chemical homeostasis",3,2,0.96,25,"0.241","0.1013","0.1013"
"GO:0016310","phosphorylation",22,10,7.05,8,"0.119","0.1107","0.1107"
"GO:0009165","nucleotide biosynthetic process",4,2,1.28,99,"0.384","0.1153","0.1153"
"GO:1901293","nucleoside phosphate biosynthetic proces...",4,2,1.28,100,"0.384","0.1153","0.1153"
"GO:0031401","positive regulation of protein modificat...",6,3,1.92,76,"0.292","0.1179","0.1179"
"GO:0032270","positive regulation of cellular protein ...",6,3,1.92,77,"0.292","0.1179","0.1179"
"GO:0043549","regulation of kinase activity",6,3,1.92,78,"0.292","0.1179","0.1179"
"GO:0044093","positive regulation of molecular functio...",6,3,1.92,79,"0.292","0.1179","0.1179"
"GO:0045859","regulation of protein kinase activity",6,3,1.92,80,"0.292","0.1179","0.1179"
"GO:0051247","positive regulation of protein metabolic...",6,3,1.92,81,"0.292","0.1179","0.1179"
"GO:0051338","regulation of transferase activity",6,3,1.92,82,"0.292","0.1179","0.1179"
"GO:0006807","nitrogen compound metabolic process",94,29,30.12,217,"0.685","0.1201","0.1201"
"GO:0010256","endomembrane system organization",3,2,0.96,26,"0.241","0.1210","0.1210"
"GO:0006457","protein folding",3,2,0.96,27,"0.241","0.1252","0.1252"
"GO:0006955","immune response",3,2,0.96,28,"0.241","0.1267","0.1267"
"GO:0007015","actin filament organization",3,1,0.96,219,"0.688","0.1267","0.1267"
"GO:0007178","transmembrane receptor protein serine/th...",3,2,0.96,29,"0.241","0.1267","0.1267"
"GO:0008064","regulation of actin polymerization or de...",3,1,0.96,220,"0.688","0.1267","0.1267"
"GO:0008154","actin polymerization or depolymerization",3,1,0.96,221,"0.688","0.1267","0.1267"
"GO:0030041","actin filament polymerization",3,1,0.96,222,"0.688","0.1267","0.1267"
"GO:0030832","regulation of actin filament length",3,1,0.96,223,"0.688","0.1267","0.1267"
"GO:0030833","regulation of actin filament polymerizat...",3,1,0.96,224,"0.688","0.1267","0.1267"
"GO:0030838","positive regulation of actin filament po...",3,1,0.96,225,"0.688","0.1267","0.1267"
"GO:0031334","positive regulation of protein complex a...",3,1,0.96,226,"0.688","0.1267","0.1267"
"GO:0032147","activation of protein kinase activity",3,2,0.96,30,"0.241","0.1267","0.1267"
"GO:0032271","regulation of protein polymerization",3,1,0.96,227,"0.688","0.1267","0.1267"
"GO:0032273","positive regulation of protein polymeriz...",3,1,0.96,228,"0.688","0.1267","0.1267"
"GO:0032535","regulation of cellular component size",3,1,0.96,229,"0.688","0.1267","0.1267"
"GO:0032880","regulation of protein localization",3,1,0.96,230,"0.688","0.1267","0.1267"
"GO:0032956","regulation of actin cytoskeleton organiz...",3,1,0.96,231,"0.688","0.1267","0.1267"
"GO:0032970","regulation of actin filament-based proce...",3,1,0.96,232,"0.688","0.1267","0.1267"
"GO:0043254","regulation of protein complex assembly",3,1,0.96,233,"0.688","0.1267","0.1267"
"GO:0044262","cellular carbohydrate metabolic process",3,2,0.96,31,"0.241","0.1267","0.1267"
"GO:0050801","ion homeostasis",3,2,0.96,32,"0.241","0.1267","0.1267"
"GO:0051258","protein polymerization",3,1,0.96,234,"0.688","0.1267","0.1267"
"GO:0051493","regulation of cytoskeleton organization",3,1,0.96,235,"0.688","0.1267","0.1267"
"GO:0051495","positive regulation of cytoskeleton orga...",3,1,0.96,236,"0.688","0.1267","0.1267"
"GO:0055080","cation homeostasis",3,2,0.96,33,"0.241","0.1267","0.1267"
"GO:0090066","regulation of anatomical structure size",3,1,0.96,237,"0.688","0.1267","0.1267"
"GO:0098771","inorganic ion homeostasis",3,2,0.96,34,"0.241","0.1267","0.1267"
"GO:0110053","regulation of actin filament organizatio...",3,1,0.96,238,"0.688","0.1267","0.1267"
"GO:1902903","regulation of supramolecular fiber organ...",3,1,0.96,239,"0.688","0.1267","0.1267"
"GO:1902905","positive regulation of supramolecular fi...",3,1,0.96,240,"0.688","0.1267","0.1267"
"GO:0006950","response to stress",16,7,5.13,16,"0.219","0.1282","0.1282"
"GO:0044271","cellular nitrogen compound biosynthetic ...",43,9,13.78,482,"0.977","0.1334","0.1334"
"GO:0006163","purine nucleotide metabolic process",3,2,0.96,35,"0.241","0.1387","0.1387"
