"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0005975","carbohydrate metabolic process",12,6,3.22,4,"0.068","0.019","0.019"
"GO:0000278","mitotic cell cycle",7,4,1.88,5,"0.085","0.019","0.019"
"GO:0009057","macromolecule catabolic process",4,2,1.07,45,"0.292","0.026","0.026"
"GO:0044238","primary metabolic process",112,30,30.01,156,"0.564","0.026","0.026"
"GO:0010256","endomembrane system organization",3,3,0.8,1,"0.018","0.034","0.034"
"GO:1903047","mitotic cell cycle process",6,4,1.61,2,"0.045","0.035","0.035"
"GO:0006793","phosphorus metabolic process",35,9,9.38,281,"0.636","0.038","0.038"
"GO:0006796","phosphate-containing compound metabolic ...",35,9,9.38,282,"0.636","0.038","0.038"
"GO:1901135","carbohydrate derivative metabolic proces...",12,4,3.22,106,"0.407","0.045","0.045"
"GO:0043549","regulation of kinase activity",6,2,1.61,122,"0.510","0.053","0.053"
"GO:0045859","regulation of protein kinase activity",6,2,1.61,123,"0.510","0.053","0.053"
"GO:0051338","regulation of transferase activity",6,2,1.61,124,"0.510","0.053","0.053"
"GO:0060341","regulation of cellular localization",5,3,1.34,7,"0.121","0.059","0.059"
"GO:0051128","regulation of cellular component organiz...",13,4,3.48,117,"0.478","0.064","0.064"
"GO:0044265","cellular macromolecule catabolic process",3,2,0.8,13,"0.176","0.065","0.065"
"GO:0042592","homeostatic process",13,6,3.48,6,"0.100","0.066","0.066"
"GO:0051130","positive regulation of cellular componen...",6,3,1.61,28,"0.196","0.066","0.066"
"GO:0019220","regulation of phosphate metabolic proces...",9,4,2.41,31,"0.196","0.069","0.069"
"GO:0031399","regulation of protein modification proce...",9,4,2.41,32,"0.196","0.069","0.069"
"GO:0051174","regulation of phosphorus metabolic proce...",9,4,2.41,33,"0.196","0.069","0.069"
"GO:0009894","regulation of catabolic process",3,0,0.8,522,"1.000","0.076","0.076"
"GO:0055086","nucleobase-containing small molecule met...",8,3,2.14,80,"0.366","0.077","0.077"
"GO:0001933","negative regulation of protein phosphory...",5,2,1.34,88,"0.405","0.087","0.087"
"GO:0010563","negative regulation of phosphorus metabo...",5,2,1.34,89,"0.405","0.087","0.087"
"GO:0031400","negative regulation of protein modificat...",5,2,1.34,90,"0.405","0.087","0.087"
"GO:0032269","negative regulation of cellular protein ...",5,2,1.34,91,"0.405","0.087","0.087"
"GO:0042326","negative regulation of phosphorylation",5,2,1.34,92,"0.405","0.087","0.087"
"GO:0045936","negative regulation of phosphate metabol...",5,2,1.34,93,"0.405","0.087","0.087"
"GO:0051248","negative regulation of protein metabolic...",5,2,1.34,94,"0.405","0.087","0.087"
"GO:0065008","regulation of biological quality",17,7,4.56,9,"0.134","0.092","0.092"
"GO:0006396","RNA processing",6,3,1.61,29,"0.196","0.100","0.100"
"GO:0071704","organic substance metabolic process",120,31,32.15,298,"0.700","0.102","0.102"
"GO:0007167","enzyme linked receptor protein signaling...",4,1,1.07,304,"0.716","0.104","0.104"
"GO:0007264","small GTPase mediated signal transductio...",4,2,1.07,46,"0.292","0.104","0.104"
"GO:0033043","regulation of organelle organization",5,1,1.34,383,"0.793","0.105","0.105"
"GO:0006897","endocytosis",4,1,1.07,305,"0.716","0.109","0.109"
"GO:0007010","cytoskeleton organization",4,2,1.07,47,"0.292","0.109","0.109"
"GO:0030036","actin cytoskeleton organization",4,2,1.07,48,"0.292","0.109","0.109"
"GO:0043393","regulation of protein binding",4,2,1.07,49,"0.292","0.109","0.109"
"GO:0051098","regulation of binding",4,2,1.07,50,"0.292","0.109","0.109"
"GO:0001932","regulation of protein phosphorylation",8,3,2.14,81,"0.366","0.112","0.112"
"GO:0042325","regulation of phosphorylation",8,3,2.14,82,"0.366","0.112","0.112"
"GO:0022402","cell cycle process",9,5,2.41,3,"0.060","0.119","0.119"
"GO:0009165","nucleotide biosynthetic process",4,1,1.07,306,"0.716","0.123","0.123"
"GO:0019693","ribose phosphate metabolic process",4,2,1.07,51,"0.292","0.123","0.123"
"GO:1901293","nucleoside phosphate biosynthetic proces...",4,1,1.07,307,"0.716","0.123","0.123"
"GO:0048878","chemical homeostasis",5,3,1.34,8,"0.121","0.124","0.124"
"GO:0048646","anatomical structure formation involved ...",8,4,2.14,10,"0.136","0.128","0.128"
"GO:0016310","phosphorylation",23,6,6.16,279,"0.619","0.131","0.131"
"GO:0006469","negative regulation of protein kinase ac...",4,1,1.07,308,"0.716","0.143","0.143"
"GO:0033673","negative regulation of kinase activity",4,1,1.07,309,"0.716","0.143","0.143"
"GO:0033674","positive regulation of kinase activity",4,1,1.07,310,"0.716","0.143","0.143"
"GO:0045860","positive regulation of protein kinase ac...",4,1,1.07,311,"0.716","0.143","0.143"
"GO:0050808","synapse organization",4,1,1.07,312,"0.716","0.143","0.143"
"GO:0051347","positive regulation of transferase activ...",4,1,1.07,313,"0.716","0.143","0.143"
"GO:0051348","negative regulation of transferase activ...",4,1,1.07,314,"0.716","0.143","0.143"
"GO:0099173","postsynapse organization",4,1,1.07,315,"0.716","0.143","0.143"
"GO:1901565","organonitrogen compound catabolic proces...",3,1,0.8,174,"0.610","0.144","0.144"
"GO:0032268","regulation of cellular protein metabolic...",10,4,2.68,37,"0.264","0.147","0.147"
"GO:0006753","nucleoside phosphate metabolic process",6,2,1.61,125,"0.510","0.149","0.149"
"GO:0009117","nucleotide metabolic process",6,2,1.61,126,"0.510","0.149","0.149"
"GO:0044262","cellular carbohydrate metabolic process",4,1,1.07,316,"0.716","0.155","0.155"
"GO:0008152","metabolic process",139,37,37.24,157,"0.600","0.158","0.158"
"GO:0055114","oxidation-reduction process",7,3,1.88,38,"0.280","0.158","0.158"
"GO:0009056","catabolic process",14,3,3.75,379,"0.777","0.166","0.166"
"GO:0006470","protein dephosphorylation",4,2,1.07,52,"0.292","0.166","0.166"
"GO:0010638","positive regulation of organelle organiz...",4,1,1.07,317,"0.716","0.166","0.166"
"GO:0001894","tissue homeostasis",3,2,0.8,14,"0.176","0.167","0.167"
"GO:0048871","multicellular organismal homeostasis",3,2,0.8,15,"0.176","0.167","0.167"
"GO:0060249","anatomical structure homeostasis",3,2,0.8,16,"0.176","0.167","0.167"
"GO:0007166","cell surface receptor signaling pathway",9,2,2.41,363,"0.747","0.176","0.176"
"GO:1901575","organic substance catabolic process",10,3,2.68,145,"0.530","0.176","0.176"
"GO:0031401","positive regulation of protein modificat...",7,3,1.88,39,"0.280","0.178","0.178"
"GO:0032270","positive regulation of cellular protein ...",7,3,1.88,40,"0.280","0.178","0.178"
"GO:0051247","positive regulation of protein metabolic...",7,3,1.88,41,"0.280","0.178","0.178"
"GO:0005996","monosaccharide metabolic process",3,1,0.8,175,"0.610","0.185","0.185"
"GO:0007178","transmembrane receptor protein serine/th...",3,1,0.8,176,"0.610","0.185","0.185"
"GO:0007265","Ras protein signal transduction",3,1,0.8,177,"0.610","0.185","0.185"
"GO:0007266","Rho protein signal transduction",3,1,0.8,178,"0.610","0.185","0.185"
"GO:0007346","regulation of mitotic cell cycle",3,1,0.8,179,"0.610","0.185","0.185"
"GO:0032147","activation of protein kinase activity",3,1,0.8,180,"0.610","0.185","0.185"
"GO:0034622","cellular protein-containing complex asse...",3,2,0.8,17,"0.176","0.185","0.185"
"GO:0035023","regulation of Rho protein signal transdu...",3,1,0.8,181,"0.610","0.185","0.185"
"GO:0046578","regulation of Ras protein signal transdu...",3,1,0.8,182,"0.610","0.185","0.185"
"GO:0051056","regulation of small GTPase mediated sign...",3,1,0.8,183,"0.610","0.185","0.185"
"GO:0055080","cation homeostasis",3,2,0.8,18,"0.176","0.185","0.185"
"GO:0055082","cellular chemical homeostasis",3,2,0.8,19,"0.176","0.185","0.185"
"GO:0097435","supramolecular fiber organization",3,2,0.8,20,"0.176","0.185","0.185"
"GO:0098771","inorganic ion homeostasis",3,2,0.8,21,"0.176","0.185","0.185"
"GO:0006996","organelle organization",18,7,4.82,12,"0.174","0.187","0.187"
"GO:0002118","aggressive behavior",3,1,0.8,184,"0.610","0.191","0.191"
"GO:0006909","phagocytosis",3,1,0.8,185,"0.610","0.191","0.191"
"GO:0007276","gamete generation",3,1,0.8,186,"0.610","0.191","0.191"
"GO:0007281","germ cell development",3,1,0.8,187,"0.610","0.191","0.191"
"GO:0007283","spermatogenesis",3,1,0.8,188,"0.610","0.191","0.191"
"GO:0019953","sexual reproduction",3,1,0.8,189,"0.610","0.191","0.191"
"GO:0022412","cellular process involved in reproductio...",3,1,0.8,190,"0.610","0.191","0.191"
"GO:0035148","tube formation",3,1,0.8,191,"0.610","0.191","0.191"
"GO:0044703","multi-organism reproductive process",3,1,0.8,192,"0.610","0.191","0.191"
"GO:0048232","male gamete generation",3,1,0.8,193,"0.610","0.191","0.191"
"GO:0051705","multi-organism behavior",3,1,0.8,194,"0.610","0.191","0.191"
"GO:0006457","protein folding",3,2,0.8,22,"0.176","0.195","0.195"
"GO:0007517","muscle organ development",3,2,0.8,23,"0.176","0.195","0.195"
"GO:0010038","response to metal ion",3,2,0.8,24,"0.176","0.195","0.195"
"GO:0061061","muscle structure development",3,2,0.8,25,"0.176","0.195","0.195"
"GO:0044087","regulation of cellular component biogene...",6,2,1.61,127,"0.510","0.202","0.202"
"GO:0006163","purine nucleotide metabolic process",3,1,0.8,195,"0.610","0.209","0.209"
"GO:0006164","purine nucleotide biosynthetic process",3,1,0.8,196,"0.610","0.209","0.209"
"GO:0006754","ATP biosynthetic process",3,1,0.8,197,"0.610","0.209","0.209"
"GO:0009123","nucleoside monophosphate metabolic proce...",3,1,0.8,198,"0.610","0.209","0.209"
"GO:0009124","nucleoside monophosphate biosynthetic pr...",3,1,0.8,199,"0.610","0.209","0.209"
"GO:0009126","purine nucleoside monophosphate metaboli...",3,1,0.8,200,"0.610","0.209","0.209"
"GO:0009127","purine nucleoside monophosphate biosynth...",3,1,0.8,201,"0.610","0.209","0.209"
