"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0000902","cell morphogenesis",5,3,1.38,4,"0.130","0.064","0.064"
"GO:0032989","cellular component morphogenesis",5,3,1.38,5,"0.130","0.064","0.064"
"GO:0055114","oxidation-reduction process",14,5,3.86,54,"0.335","0.074","0.074"
"GO:0009607","response to biotic stimulus",3,2,0.83,7,"0.185","0.081","0.081"
"GO:0009058","biosynthetic process",51,12,14.08,259,"0.821","0.097","0.097"
"GO:0071310","cellular response to organic substance",4,1,1.1,180,"0.728","0.102","0.102"
"GO:0006820","anion transport",6,3,1.66,31,"0.210","0.110","0.110"
"GO:0040007","growth",6,3,1.66,32,"0.210","0.115","0.115"
"GO:0048589","developmental growth",6,3,1.66,33,"0.210","0.115","0.115"
"GO:0098660","inorganic ion transmembrane transport",4,3,1.1,1,"0.065","0.116","0.116"
"GO:0098662","inorganic cation transmembrane transport",4,3,1.1,2,"0.065","0.116","0.116"
"GO:0015698","inorganic anion transport",3,2,0.83,8,"0.185","0.121","0.121"
"GO:1901576","organic substance biosynthetic process",49,11,13.52,281,"0.864","0.124","0.124"
"GO:0016049","cell growth",3,2,0.83,9,"0.185","0.125","0.125"
"GO:0040008","regulation of growth",3,2,0.83,10,"0.185","0.125","0.125"
"GO:0048638","regulation of developmental growth",3,2,0.83,11,"0.185","0.125","0.125"
"GO:0050803","regulation of synapse structure or activ...",3,2,0.83,12,"0.185","0.125","0.125"
"GO:0050807","regulation of synapse organization",3,2,0.83,13,"0.185","0.125","0.125"
"GO:0060560","developmental growth involved in morphog...",3,2,0.83,14,"0.185","0.125","0.125"
"GO:0044249","cellular biosynthetic process",47,10,12.97,307,"0.901","0.158","0.158"
"GO:0046907","intracellular transport",14,3,3.86,238,"0.796","0.161","0.161"
"GO:0043603","cellular amide metabolic process",12,3,3.31,168,"0.692","0.164","0.164"
"GO:0046434","organophosphate catabolic process",4,2,1.1,36,"0.306","0.170","0.170"
"GO:0007420","brain development",4,2,1.1,37,"0.306","0.172","0.172"
"GO:0060322","head development",4,2,1.1,38,"0.306","0.172","0.172"
"GO:0046578","regulation of Ras protein signal transdu...",3,2,0.83,15,"0.185","0.180","0.180"
"GO:0051056","regulation of small GTPase mediated sign...",3,2,0.83,16,"0.185","0.180","0.180"
"GO:0031503","protein-containing complex localization",3,1,0.83,104,"0.623","0.182","0.182"
"GO:0048878","chemical homeostasis",3,2,0.83,17,"0.185","0.185","0.185"
"GO:0050801","ion homeostasis",3,2,0.83,18,"0.185","0.185","0.185"
"GO:0055065","metal ion homeostasis",3,2,0.83,19,"0.185","0.185","0.185"
"GO:0055080","cation homeostasis",3,2,0.83,20,"0.185","0.185","0.185"
"GO:0098771","inorganic ion homeostasis",3,2,0.83,21,"0.185","0.185","0.185"
"GO:1902531","regulation of intracellular signal trans...",6,3,1.66,34,"0.210","0.195","0.195"
"GO:0051641","cellular localization",19,5,5.24,166,"0.644","0.195","0.195"
"GO:0016071","mRNA metabolic process",5,2,1.38,64,"0.422","0.205","0.205"
"GO:0009059","macromolecule biosynthetic process",39,6,10.76,352,"0.985","0.211","0.211"
"GO:0034645","cellular macromolecule biosynthetic proc...",39,6,10.76,353,"0.985","0.211","0.211"
"GO:0006816","calcium ion transport",3,2,0.83,22,"0.185","0.216","0.216"
"GO:0006366","transcription by RNA polymerase II",8,3,2.21,60,"0.387","0.216","0.216"
"GO:0000375","RNA splicing, via transesterification re...",3,2,0.83,23,"0.185","0.226","0.226"
"GO:0000377","RNA splicing, via transesterification re...",3,2,0.83,24,"0.185","0.226","0.226"
"GO:0000398","mRNA splicing, via spliceosome",3,2,0.83,25,"0.185","0.226","0.226"
"GO:0008380","RNA splicing",3,2,0.83,26,"0.185","0.226","0.226"
"GO:0098656","anion transmembrane transport",4,2,1.1,39,"0.306","0.233","0.233"
"GO:0030182","neuron differentiation",8,3,2.21,61,"0.387","0.239","0.239"
"GO:0032990","cell part morphogenesis",4,2,1.1,40,"0.306","0.240","0.240"
"GO:0048812","neuron projection morphogenesis",4,2,1.1,41,"0.306","0.240","0.240"
"GO:0048858","cell projection morphogenesis",4,2,1.1,42,"0.306","0.240","0.240"
"GO:0050808","synapse organization",4,2,1.1,43,"0.306","0.240","0.240"
"GO:0120039","plasma membrane bounded cell projection ...",4,2,1.1,44,"0.306","0.240","0.240"
"GO:0006457","protein folding",3,2,0.83,27,"0.185","0.245","0.245"
"GO:0016482","cytosolic transport",3,1,0.83,105,"0.623","0.247","0.247"
"GO:0042147","retrograde transport, endosome to Golgi",3,1,0.83,106,"0.623","0.247","0.247"
"GO:0098655","cation transmembrane transport",5,3,1.38,6,"0.130","0.256","0.256"
"GO:0006518","peptide metabolic process",9,2,2.48,230,"0.764","0.263","0.263"
"GO:0070838","divalent metal ion transport",4,2,1.1,45,"0.306","0.267","0.267"
"GO:0072511","divalent inorganic cation transport",4,2,1.1,46,"0.306","0.267","0.267"
"GO:0006643","membrane lipid metabolic process",3,1,0.83,107,"0.623","0.267","0.267"
"GO:0006665","sphingolipid metabolic process",3,1,0.83,108,"0.623","0.267","0.267"
"GO:0044242","cellular lipid catabolic process",3,1,0.83,109,"0.623","0.267","0.267"
"GO:0006753","nucleoside phosphate metabolic process",4,2,1.1,47,"0.306","0.269","0.269"
"GO:0009117","nucleotide metabolic process",4,2,1.1,48,"0.306","0.269","0.269"
"GO:0006952","defense response",3,1,0.83,110,"0.623","0.281","0.281"
"GO:0006397","mRNA processing",4,2,1.1,49,"0.306","0.283","0.283"
"GO:0019725","cellular homeostasis",6,2,1.66,85,"0.529","0.290","0.290"
"GO:0051649","establishment of localization in cell",15,3,4.14,261,"0.836","0.295","0.295"
"GO:0055085","transmembrane transport",28,10,7.73,30,"0.209","0.298","0.298"
"GO:0044271","cellular nitrogen compound biosynthetic ...",41,9,11.32,280,"0.863","0.304","0.304"
