"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006974","cellular response to DNA damage stimulus",5,3,1.04,2,"0.062","0.0081","0.0081"
"GO:0006281","DNA repair",4,2,0.83,10,"0.192","0.0216","0.0216"
"GO:0099173","postsynapse organization",4,1,0.83,118,"0.610","0.0318","0.0318"
"GO:0006259","DNA metabolic process",7,3,1.46,6,"0.159","0.0371","0.0371"
"GO:0007155","cell adhesion",6,2,1.25,28,"0.365","0.0557","0.0557"
"GO:0009628","response to abiotic stimulus",6,3,1.25,4,"0.106","0.0557","0.0557"
"GO:0022610","biological adhesion",6,2,1.25,29,"0.365","0.0557","0.0557"
"GO:0098609","cell-cell adhesion",6,2,1.25,30,"0.365","0.0557","0.0557"
"GO:0046903","secretion",3,0,0.62,335,"1.000","0.0572","0.0572"
"GO:0051276","chromosome organization",7,1,1.46,251,"0.810","0.0590","0.0590"
"GO:0009892","negative regulation of metabolic process",11,2,2.29,208,"0.709","0.0670","0.0670"
"GO:0007266","Rho protein signal transduction",3,0,0.62,336,"1.000","0.0733","0.0733"
"GO:0035023","regulation of Rho protein signal transdu...",3,0,0.62,337,"1.000","0.0733","0.0733"
"GO:0002118","aggressive behavior",3,1,0.62,52,"0.505","0.0764","0.0764"
"GO:0006469","negative regulation of protein kinase ac...",3,1,0.62,53,"0.505","0.0764","0.0764"
"GO:0006909","phagocytosis",3,1,0.62,54,"0.505","0.0764","0.0764"
"GO:0007276","gamete generation",3,1,0.62,55,"0.505","0.0764","0.0764"
"GO:0007281","germ cell development",3,1,0.62,56,"0.505","0.0764","0.0764"
"GO:0007283","spermatogenesis",3,1,0.62,57,"0.505","0.0764","0.0764"
"GO:0019953","sexual reproduction",3,1,0.62,58,"0.505","0.0764","0.0764"
"GO:0022412","cellular process involved in reproductio...",3,1,0.62,59,"0.505","0.0764","0.0764"
"GO:0032504","multicellular organism reproduction",3,1,0.62,60,"0.505","0.0764","0.0764"
"GO:0033673","negative regulation of kinase activity",3,1,0.62,61,"0.505","0.0764","0.0764"
"GO:0035148","tube formation",3,1,0.62,62,"0.505","0.0764","0.0764"
"GO:0043393","regulation of protein binding",3,1,0.62,63,"0.505","0.0764","0.0764"
"GO:0044703","multi-organism reproductive process",3,1,0.62,64,"0.505","0.0764","0.0764"
"GO:0048232","male gamete generation",3,1,0.62,65,"0.505","0.0764","0.0764"
"GO:0048609","multicellular organismal reproductive pr...",3,1,0.62,66,"0.505","0.0764","0.0764"
"GO:0051098","regulation of binding",3,1,0.62,67,"0.505","0.0764","0.0764"
"GO:0051235","maintenance of location",3,1,0.62,68,"0.505","0.0764","0.0764"
"GO:0051348","negative regulation of transferase activ...",3,1,0.62,69,"0.505","0.0764","0.0764"
"GO:0051705","multi-organism behavior",3,1,0.62,70,"0.505","0.0764","0.0764"
"GO:0006396","RNA processing",6,1,1.25,219,"0.758","0.0895","0.0895"
"GO:0032269","negative regulation of cellular protein ...",5,1,1.04,175,"0.693","0.0967","0.0967"
"GO:0035239","tube morphogenesis",5,2,1.04,14,"0.279","0.0967","0.0967"
"GO:0035295","tube development",5,2,1.04,15,"0.279","0.0967","0.0967"
"GO:0051248","negative regulation of protein metabolic...",5,1,1.04,176,"0.693","0.0967","0.0967"
"GO:0034613","cellular protein localization",9,2,1.87,106,"0.593","0.0974","0.0974"
"GO:0070727","cellular macromolecule localization",9,2,1.87,107,"0.593","0.0974","0.0974"
"GO:0006325","chromatin organization",5,1,1.04,177,"0.693","0.1175","0.1175"
"GO:0090304","nucleic acid metabolic process",43,9,8.95,103,"0.566","0.1183","0.1183"
"GO:0000003","reproduction",5,2,1.04,16,"0.279","0.1255","0.1255"
"GO:0003006","developmental process involved in reprod...",5,2,1.04,17,"0.279","0.1255","0.1255"
"GO:0007610","behavior",5,1,1.04,178,"0.693","0.1255","0.1255"
"GO:0009612","response to mechanical stimulus",5,2,1.04,18,"0.279","0.1255","0.1255"
"GO:0022414","reproductive process",5,2,1.04,19,"0.279","0.1255","0.1255"
"GO:0010605","negative regulation of macromolecule met...",9,2,1.87,108,"0.593","0.1274","0.1274"
"GO:0005975","carbohydrate metabolic process",8,3,1.66,12,"0.218","0.1341","0.1341"
"GO:0034641","cellular nitrogen compound metabolic pro...",55,14,11.45,11,"0.209","0.1359","0.1359"
"GO:0006139","nucleobase-containing compound metabolic...",45,10,9.37,50,"0.469","0.1371","0.1371"
"GO:0031324","negative regulation of cellular metaboli...",9,2,1.87,109,"0.593","0.1443","0.1443"
"GO:0045595","regulation of cell differentiation",9,2,1.87,110,"0.593","0.1443","0.1443"
"GO:0051726","regulation of cell cycle",7,3,1.46,7,"0.159","0.1461","0.1461"
"GO:0006996","organelle organization",16,2,3.33,291,"0.886","0.1489","0.1489"
"GO:0001654","eye development",4,1,0.83,119,"0.610","0.1558","0.1558"
"GO:0001933","negative regulation of protein phosphory...",4,1,0.83,120,"0.610","0.1558","0.1558"
"GO:0010563","negative regulation of phosphorus metabo...",4,1,0.83,121,"0.610","0.1558","0.1558"
"GO:0031400","negative regulation of protein modificat...",4,1,0.83,122,"0.610","0.1558","0.1558"
"GO:0042326","negative regulation of phosphorylation",4,1,0.83,123,"0.610","0.1558","0.1558"
"GO:0045936","negative regulation of phosphate metabol...",4,1,0.83,124,"0.610","0.1558","0.1558"
"GO:0048880","sensory system development",4,1,0.83,125,"0.610","0.1558","0.1558"
