"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0032989","cellular component morphogenesis",5,0,0.56,125,"1.0000","0.011","0.011"
"GO:0009792","embryo development ending in birth or eg...",5,0,0.56,126,"1.0000","0.017","0.017"
"GO:0048468","cell development",9,0,1,127,"1.0000","0.026","0.026"
"GO:0000902","cell morphogenesis",4,0,0.44,128,"1.0000","0.028","0.028"
"GO:0000904","cell morphogenesis involved in different...",4,0,0.44,129,"1.0000","0.028","0.028"
"GO:0006820","anion transport",6,2,0.67,9,"0.1342","0.033","0.033"
"GO:0006412","translation",4,3,0.44,1,"0.0045","0.034","0.034"
"GO:0043043","peptide biosynthetic process",4,3,0.44,2,"0.0045","0.034","0.034"
"GO:0043604","amide biosynthetic process",4,3,0.44,3,"0.0045","0.034","0.034"
"GO:0043009","chordate embryonic development",4,0,0.44,130,"1.0000","0.039","0.039"
"GO:0060429","epithelium development",4,0,0.44,131,"1.0000","0.039","0.039"
"GO:0007417","central nervous system development",3,0,0.33,132,"1.0000","0.045","0.045"
"GO:0030030","cell projection organization",6,0,0.67,133,"1.0000","0.048","0.048"
"GO:0030182","neuron differentiation",6,0,0.67,134,"1.0000","0.048","0.048"
"GO:0120036","plasma membrane bounded cell projection ...",6,0,0.67,135,"1.0000","0.048","0.048"
"GO:0007275","multicellular organism development",23,1,2.56,104,"0.9445","0.051","0.051"
"GO:0010562","positive regulation of phosphorus metabo...",3,0,0.33,136,"1.0000","0.053","0.053"
"GO:0022604","regulation of cell morphogenesis",3,0,0.33,137,"1.0000","0.053","0.053"
"GO:0030334","regulation of cell migration",3,0,0.33,138,"1.0000","0.053","0.053"
"GO:0040012","regulation of locomotion",3,0,0.33,139,"1.0000","0.053","0.053"
"GO:0042327","positive regulation of phosphorylation",3,0,0.33,140,"1.0000","0.053","0.053"
"GO:0043549","regulation of kinase activity",3,0,0.33,141,"1.0000","0.053","0.053"
"GO:0045859","regulation of protein kinase activity",3,0,0.33,142,"1.0000","0.053","0.053"
"GO:0045937","positive regulation of phosphate metabol...",3,0,0.33,143,"1.0000","0.053","0.053"
"GO:0051270","regulation of cellular component movemen...",3,0,0.33,144,"1.0000","0.053","0.053"
"GO:2000145","regulation of cell motility",3,0,0.33,145,"1.0000","0.053","0.053"
"GO:0007610","behavior",3,0,0.33,146,"1.0000","0.069","0.069"
