"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0040007","growth",7,0,1.52,240,"1.000","0.065","0.065"
"GO:0007165","signal transduction",27,8,5.86,14,"0.202","0.081","0.081"
"GO:0005975","carbohydrate metabolic process",7,4,1.52,1,"0.041","0.087","0.087"
"GO:0007186","G protein-coupled receptor signaling pat...",6,3,1.3,5,"0.118","0.097","0.097"
"GO:0071705","nitrogen compound transport",15,6,3.26,3,"0.078","0.120","0.120"
"GO:0045595","regulation of cell differentiation",8,1,1.74,183,"0.865","0.136","0.136"
"GO:0048589","developmental growth",5,0,1.09,241,"1.000","0.144","0.144"
"GO:0016310","phosphorylation",13,5,2.82,8,"0.124","0.156","0.156"
"GO:0071702","organic substance transport",16,6,3.47,4,"0.104","0.172","0.172"
"GO:0071704","organic substance metabolic process",98,23,21.28,38,"0.337","0.180","0.180"
"GO:0007154","cell communication",29,8,6.3,24,"0.272","0.188","0.188"
"GO:0023052","signaling",29,8,6.3,25,"0.272","0.188","0.188"
"GO:0009890","negative regulation of biosynthetic proc...",6,2,1.3,43,"0.387","0.204","0.204"
"GO:0006468","protein phosphorylation",10,4,2.17,11,"0.148","0.206","0.206"
"GO:0016477","cell migration",4,2,0.87,15,"0.206","0.207","0.207"
"GO:0048870","cell motility",4,2,0.87,16,"0.206","0.207","0.207"
"GO:0051674","localization of cell",4,2,0.87,17,"0.206","0.207","0.207"
"GO:0008152","metabolic process",119,27,25.84,52,"0.411","0.209","0.209"
"GO:0045597","positive regulation of cell differentiat...",4,1,0.87,109,"0.628","0.214","0.214"
"GO:0048585","negative regulation of response to stimu...",4,1,0.87,110,"0.628","0.214","0.214"
"GO:0032990","cell part morphogenesis",4,0,0.87,242,"1.000","0.214","0.214"
"GO:0044238","primary metabolic process",91,21,19.76,50,"0.399","0.218","0.218"
"GO:0006886","intracellular protein transport",7,3,1.52,12,"0.175","0.218","0.218"
"GO:0080090","regulation of primary metabolic process",30,5,6.52,179,"0.833","0.219","0.219"
"GO:0006464","cellular protein modification process",17,6,3.69,9,"0.134","0.221","0.221"
"GO:0036211","protein modification process",17,6,3.69,10,"0.134","0.221","0.221"
"GO:0051246","regulation of protein metabolic process",11,3,2.39,54,"0.441","0.226","0.226"
"GO:0006644","phospholipid metabolic process",3,1,0.65,65,"0.522","0.232","0.232"
"GO:0044267","cellular protein metabolic process",26,9,5.65,2,"0.077","0.232","0.232"
"GO:0051641","cellular localization",21,5,4.56,62,"0.496","0.236","0.236"
"GO:0044237","cellular metabolic process",92,19,19.98,130,"0.695","0.247","0.247"
"GO:0022008","neurogenesis",9,1,1.95,194,"0.895","0.259","0.259"
"GO:0051171","regulation of nitrogen compound metaboli...",29,4,6.3,200,"0.920","0.260","0.260"
"GO:0009791","post-embryonic development",4,1,0.87,111,"0.628","0.264","0.264"
"GO:0010558","negative regulation of macromolecule bio...",5,1,1.09,133,"0.710","0.267","0.267"
"GO:0010629","negative regulation of gene expression",5,1,1.09,134,"0.710","0.267","0.267"
"GO:0031327","negative regulation of cellular biosynth...",5,1,1.09,135,"0.710","0.267","0.267"
"GO:2000113","negative regulation of cellular macromol...",5,1,1.09,136,"0.710","0.267","0.267"
"GO:0006897","endocytosis",3,1,0.65,66,"0.522","0.268","0.268"
"GO:0006325","chromatin organization",3,0,0.65,243,"1.000","0.268","0.268"
"GO:0043412","macromolecule modification",20,6,4.34,22,"0.247","0.269","0.269"
"GO:0019222","regulation of metabolic process",36,7,7.82,142,"0.716","0.274","0.274"
"GO:0030163","protein catabolic process",3,2,0.65,7,"0.120","0.276","0.276"
"GO:0048522","positive regulation of cellular process",19,2,4.13,206,"0.949","0.290","0.290"
"GO:0031399","regulation of protein modification proce...",7,1,1.52,166,"0.825","0.291","0.291"
"GO:0016192","vesicle-mediated transport",11,2,2.39,148,"0.734","0.300","0.300"
"GO:1901564","organonitrogen compound metabolic proces...",46,11,9.99,51,"0.410","0.305","0.305"
"GO:0006807","nitrogen compound metabolic process",83,17,18.03,132,"0.701","0.307","0.307"
"GO:0006928","movement of cell or subcellular componen...",5,2,1.09,26,"0.298","0.307","0.307"
"GO:0040011","locomotion",5,2,1.09,27,"0.298","0.307","0.307"
"GO:0098609","cell-cell adhesion",5,2,1.09,28,"0.298","0.307","0.307"
"GO:0031175","neuron projection development",4,0,0.87,244,"1.000","0.310","0.310"
"GO:0007399","nervous system development",12,1,2.61,208,"0.952","0.317","0.317"
"GO:0006403","RNA localization",3,1,0.65,67,"0.522","0.317","0.317"
"GO:0009968","negative regulation of signal transducti...",3,1,0.65,68,"0.522","0.317","0.317"
"GO:0010648","negative regulation of cell communicatio...",3,1,0.65,69,"0.522","0.317","0.317"
"GO:0023057","negative regulation of signaling",3,1,0.65,70,"0.522","0.317","0.317"
"GO:0007409","axonogenesis",3,0,0.65,245,"1.000","0.317","0.317"
"GO:0009611","response to wounding",3,0,0.65,246,"1.000","0.317","0.317"
"GO:0042060","wound healing",3,0,0.65,247,"1.000","0.317","0.317"
"GO:0045664","regulation of neuron differentiation",3,0,0.65,248,"1.000","0.317","0.317"
"GO:0048608","reproductive structure development",3,0,0.65,249,"1.000","0.317","0.317"
"GO:0048667","cell morphogenesis involved in neuron di...",3,0,0.65,250,"1.000","0.317","0.317"
"GO:0048812","neuron projection morphogenesis",3,0,0.65,251,"1.000","0.317","0.317"
"GO:0048858","cell projection morphogenesis",3,0,0.65,252,"1.000","0.317","0.317"
"GO:0050767","regulation of neurogenesis",3,0,0.65,253,"1.000","0.317","0.317"
"GO:0051960","regulation of nervous system development",3,0,0.65,254,"1.000","0.317","0.317"
"GO:0061458","reproductive system development",3,0,0.65,255,"1.000","0.317","0.317"
"GO:0061564","axon development",3,0,0.65,256,"1.000","0.317","0.317"
"GO:0120039","plasma membrane bounded cell projection ...",3,0,0.65,257,"1.000","0.317","0.317"
"GO:0051649","establishment of localization in cell",15,4,3.26,53,"0.417","0.330","0.330"
"GO:0016071","mRNA metabolic process",4,1,0.87,112,"0.628","0.335","0.335"
"GO:0016070","RNA metabolic process",35,4,7.6,216,"0.974","0.338","0.338"
