"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0051716","cellular response to stimulus",42,5,2.85,13,"0.131","0.0036","0.0036"
"GO:0008033","tRNA processing",3,2,0.2,1,"0.012","0.0056","0.0056"
"GO:0007154","cell communication",29,4,1.97,11,"0.116","0.0099","0.0099"
"GO:0048523","negative regulation of cellular process",17,2,1.16,53,"0.324","0.0143","0.0143"
"GO:0048519","negative regulation of biological proces...",21,2,1.43,67,"0.429","0.0168","0.0168"
"GO:0023052","signaling",28,4,1.9,10,"0.104","0.0184","0.0184"
"GO:0051276","chromosome organization",6,0,0.41,148,"1.000","0.0199","0.0199"
"GO:0002683","negative regulation of immune system pro...",3,0,0.2,149,"1.000","0.0266","0.0266"
"GO:0007165","signal transduction",27,4,1.83,9,"0.093","0.0299","0.0299"
"GO:0016311","dephosphorylation",6,1,0.41,54,"0.348","0.0395","0.0395"
"GO:0051726","regulation of cell cycle",8,1,0.54,68,"0.436","0.0479","0.0479"
"GO:0048513","animal organ development",10,1,0.68,79,"0.513","0.0484","0.0484"
"GO:0006325","chromatin organization",3,0,0.2,150,"1.000","0.0601","0.0601"
"GO:0031400","negative regulation of protein modificat...",3,0,0.2,151,"1.000","0.0601","0.0601"
"GO:0032504","multicellular organism reproduction",3,0,0.2,152,"1.000","0.0601","0.0601"
"GO:0048609","multicellular organismal reproductive pr...",3,0,0.2,153,"1.000","0.0601","0.0601"
"GO:0051704","multi-organism process",3,0,0.2,154,"1.000","0.0601","0.0601"
"GO:0006928","movement of cell or subcellular componen...",6,0,0.41,155,"1.000","0.0709","0.0709"
"GO:0045595","regulation of cell differentiation",8,0,0.54,156,"1.000","0.0727","0.0727"
"GO:0005975","carbohydrate metabolic process",5,2,0.34,4,"0.038","0.0749","0.0749"
"GO:0048585","negative regulation of response to stimu...",6,0,0.41,157,"1.000","0.0763","0.0763"
"GO:0016477","cell migration",4,0,0.27,158,"1.000","0.0878","0.0878"
"GO:0048870","cell motility",4,0,0.27,159,"1.000","0.0878","0.0878"
