"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0044283","small molecule biosynthetic process",7,0,0.44,172,"1.000","0.0088","0.0088"
"GO:0009166","nucleotide catabolic process",4,0,0.25,173,"1.000","0.0155","0.0155"
"GO:0034404","nucleobase-containing small molecule bio...",4,0,0.25,174,"1.000","0.0155","0.0155"
"GO:0046434","organophosphate catabolic process",4,0,0.25,175,"1.000","0.0155","0.0155"
"GO:1901292","nucleoside phosphate catabolic process",4,0,0.25,176,"1.000","0.0155","0.0155"
"GO:0006082","organic acid metabolic process",3,1,0.19,10,"0.179","0.0446","0.0446"
"GO:0006091","generation of precursor metabolites and ...",3,1,0.19,11,"0.179","0.0446","0.0446"
"GO:0019752","carboxylic acid metabolic process",3,1,0.19,12,"0.179","0.0446","0.0446"
"GO:0032787","monocarboxylic acid metabolic process",3,1,0.19,13,"0.179","0.0446","0.0446"
"GO:0043436","oxoacid metabolic process",3,1,0.19,14,"0.179","0.0446","0.0446"
"GO:0055114","oxidation-reduction process",10,2,0.63,5,"0.125","0.0540","0.0540"
"GO:0006753","nucleoside phosphate metabolic process",5,0,0.32,177,"1.000","0.0663","0.0663"
"GO:0009117","nucleotide metabolic process",5,0,0.32,178,"1.000","0.0663","0.0663"
"GO:0019439","aromatic compound catabolic process",5,0,0.32,179,"1.000","0.0663","0.0663"
"GO:0034655","nucleobase-containing compound catabolic...",5,0,0.32,180,"1.000","0.0663","0.0663"
"GO:0044270","cellular nitrogen compound catabolic pro...",5,0,0.32,181,"1.000","0.0663","0.0663"
"GO:0046700","heterocycle catabolic process",5,0,0.32,182,"1.000","0.0663","0.0663"
"GO:1901135","carbohydrate derivative metabolic proces...",7,0,0.44,183,"1.000","0.0697","0.0697"
"GO:1901362","organic cyclic compound biosynthetic pro...",37,4,2.34,30,"0.190","0.0772","0.0772"
"GO:0006366","transcription by RNA polymerase II",8,2,0.51,1,"0.084","0.0883","0.0883"
"GO:0034654","nucleobase-containing compound biosynthe...",34,4,2.15,7,"0.150","0.0929","0.0929"
"GO:0018130","heterocycle biosynthetic process",35,4,2.22,8,"0.163","0.1238","0.1238"
"GO:0019438","aromatic compound biosynthetic process",35,4,2.22,9,"0.163","0.1238","0.1238"
"GO:0019637","organophosphate metabolic process",10,0,0.63,184,"1.000","0.1252","0.1252"
"GO:0006810","transport",58,4,3.67,120,"0.525","0.1292","0.1292"
"GO:0051234","establishment of localization",58,4,3.67,121,"0.525","0.1292","0.1292"
"GO:0051179","localization",62,4,3.93,127,"0.588","0.1342","0.1342"
