"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0044238","primary metabolic process",119,24,16.69,1,"0.0034","0.00058","0.00058"
"GO:0006796","phosphate-containing compound metabolic ...",39,8,5.47,33,"0.1512","0.00565","0.00565"
"GO:1901564","organonitrogen compound metabolic proces...",59,13,8.28,9,"0.0355","0.00604","0.00604"
"GO:1901135","carbohydrate derivative metabolic proces...",13,2,1.82,202,"0.5691","0.01133","0.01133"
"GO:0019538","protein metabolic process",48,11,6.73,12,"0.0428","0.01166","0.01166"
"GO:0044267","cellular protein metabolic process",39,10,5.47,7,"0.0251","0.01379","0.01379"
"GO:0006464","cellular protein modification process",32,8,4.49,15,"0.0549","0.01770","0.01770"
"GO:0036211","protein modification process",32,8,4.49,16,"0.0549","0.01770","0.01770"
"GO:0071704","organic substance metabolic process",127,24,17.81,3,"0.0114","0.00120","0.04394"
"GO:0016311","dephosphorylation",5,3,0.7,6,"0.0207","0.04470","0.04470"
"GO:0006643","membrane lipid metabolic process",3,1,0.42,71,"0.3660","0.04643","0.04643"
"GO:0006664","glycolipid metabolic process",3,1,0.42,72,"0.3660","0.04643","0.04643"
"GO:0046488","phosphatidylinositol metabolic process",3,2,0.42,14,"0.0523","0.04643","0.04643"
"GO:1903509","liposaccharide metabolic process",3,1,0.42,73,"0.3660","0.04643","0.04643"
"GO:0019637","organophosphate metabolic process",15,3,2.1,69,"0.3527","0.04923","0.04923"
"GO:0043170","macromolecule metabolic process",93,19,13.05,5,"0.0166","0.05423","0.05423"
"GO:0043412","macromolecule modification",35,8,4.91,17,"0.0890","0.05991","0.05991"
"GO:0045454","cell redox homeostasis",5,0,0.7,333,"1.0000","0.07569","0.07569"
"GO:0051235","maintenance of location",4,1,0.56,144,"0.4561","0.08435","0.08435"
"GO:0006897","endocytosis",6,1,0.84,207,"0.6007","0.09754","0.09754"
"GO:0009888","tissue development",6,1,0.84,208,"0.6007","0.09754","0.09754"
"GO:0098657","import into cell",6,1,0.84,209,"0.6007","0.09754","0.09754"
"GO:0009653","anatomical structure morphogenesis",11,1,1.54,305,"0.8182","0.10468","0.10468"
"GO:0044260","cellular macromolecule metabolic process",78,17,10.94,4,"0.0134","0.11737","0.11737"
"GO:0006629","lipid metabolic process",14,3,1.96,61,"0.3105","0.12502","0.12502"
"GO:0019725","cellular homeostasis",9,1,1.26,278,"0.7503","0.12589","0.12589"
"GO:0048646","anatomical structure formation involved ...",7,1,0.98,244,"0.6583","0.12830","0.12830"
"GO:0006470","protein dephosphorylation",4,2,0.56,19,"0.0955","0.12924","0.12924"
"GO:0055086","nucleobase-containing small molecule met...",8,1,1.12,258,"0.7078","0.13242","0.13242"
"GO:0044237","cellular metabolic process",115,21,16.13,13,"0.0442","0.00832","0.13843"
"GO:0006397","mRNA processing",5,0,0.7,334,"1.0000","0.14623","0.14623"
"GO:0016071","mRNA metabolic process",5,0,0.7,335,"1.0000","0.14623","0.14623"
"GO:1901701","cellular response to oxygen-containing c...",4,1,0.56,145,"0.4561","0.14942","0.14942"
"GO:0006753","nucleoside phosphate metabolic process",6,1,0.84,210,"0.6007","0.15223","0.15223"
"GO:0009117","nucleotide metabolic process",6,1,0.84,211,"0.6007","0.15223","0.15223"
"GO:1901137","carbohydrate derivative biosynthetic pro...",6,1,0.84,212,"0.6007","0.15223","0.15223"
"GO:0006650","glycerophospholipid metabolic process",4,2,0.56,20,"0.0955","0.15346","0.15346"
"GO:0046486","glycerolipid metabolic process",4,2,0.56,21,"0.0955","0.15346","0.15346"
"GO:0042592","homeostatic process",14,1,1.96,315,"0.8877","0.15475","0.15475"
"GO:0019693","ribose phosphate metabolic process",4,1,0.56,146,"0.4561","0.16035","0.16035"
"GO:0072521","purine-containing compound metabolic pro...",4,0,0.56,336,"1.0000","0.16035","0.16035"
"GO:0044255","cellular lipid metabolic process",10,2,1.4,140,"0.4217","0.16698","0.16698"
"GO:0006352","DNA-templated transcription, initiation",5,0,0.7,337,"1.0000","0.17779","0.17779"
"GO:0008610","lipid biosynthetic process",8,1,1.12,259,"0.7078","0.18797","0.18797"
"GO:0048666","neuron development",9,1,1.26,279,"0.7503","0.19727","0.19727"
"GO:0007167","enzyme linked receptor protein signaling...",4,1,0.56,147,"0.4561","0.20147","0.20147"
"GO:0009059","macromolecule biosynthetic process",41,10,5.75,10,"0.0359","0.20604","0.20604"
"GO:0034645","cellular macromolecule biosynthetic proc...",41,10,5.75,11,"0.0359","0.20604","0.20604"
"GO:0001775","cell activation",4,1,0.56,148,"0.4561","0.21494","0.21494"
"GO:0002682","regulation of immune system process",4,1,0.56,149,"0.4561","0.21494","0.21494"
"GO:0009887","animal organ morphogenesis",4,1,0.56,150,"0.4561","0.21494","0.21494"
"GO:0032940","secretion by cell",4,1,0.56,151,"0.4561","0.21494","0.21494"
"GO:0048729","tissue morphogenesis",4,1,0.56,152,"0.4561","0.21494","0.21494"
"GO:0050776","regulation of immune response",4,1,0.56,153,"0.4561","0.21494","0.21494"
"GO:0051241","negative regulation of multicellular org...",4,1,0.56,154,"0.4561","0.21494","0.21494"
"GO:0048598","embryonic morphogenesis",4,0,0.56,338,"1.0000","0.21494","0.21494"
"GO:0060429","epithelium development",4,0,0.56,339,"1.0000","0.21494","0.21494"
"GO:0007423","sensory organ development",5,0,0.7,340,"1.0000","0.22013","0.22013"
"GO:0009605","response to external stimulus",8,1,1.12,260,"0.7078","0.22750","0.22750"
"GO:0016192","vesicle-mediated transport",11,1,1.54,306,"0.8182","0.22834","0.22834"
"GO:0031175","neuron projection development",8,1,1.12,261,"0.7078","0.23786","0.23786"
"GO:0044249","cellular biosynthetic process",54,10,7.57,39,"0.1908","0.24145","0.24145"
"GO:0009790","embryo development",7,0,0.98,341,"1.0000","0.24430","0.24430"
"GO:0010604","positive regulation of macromolecule met...",9,3,1.26,26,"0.1166","0.25338","0.25338"
"GO:0031399","regulation of protein modification proce...",9,2,1.26,127,"0.3676","0.25338","0.25338"
"GO:0032268","regulation of cellular protein metabolic...",9,2,1.26,128,"0.3676","0.25338","0.25338"
"GO:0051246","regulation of protein metabolic process",9,2,1.26,129,"0.3676","0.25338","0.25338"
"GO:0009611","response to wounding",3,1,0.42,74,"0.3660","0.25778","0.25778"
"GO:0043393","regulation of protein binding",3,1,0.42,75,"0.3660","0.25778","0.25778"
"GO:0051098","regulation of binding",3,1,0.42,76,"0.3660","0.25778","0.25778"
"GO:0006091","generation of precursor metabolites and ...",4,0,0.56,342,"1.0000","0.26087","0.26087"
"GO:0010243","response to organonitrogen compound",3,1,0.42,77,"0.3660","0.26453","0.26453"
"GO:1901698","response to nitrogen compound",3,1,0.42,78,"0.3660","0.26453","0.26453"
"GO:0045444","fat cell differentiation",3,0,0.42,343,"1.0000","0.26681","0.26681"
"GO:0050789","regulation of biological process",76,11,10.66,175,"0.5199","0.26815","0.26815"
"GO:0007399","nervous system development",18,1,2.52,322,"0.9416","0.26912","0.26912"
"GO:0007420","brain development",7,0,0.98,344,"1.0000","0.27083","0.27083"
"GO:0060322","head development",7,0,0.98,345,"1.0000","0.27083","0.27083"
"GO:0033554","cellular response to stress",8,2,1.12,62,"0.3118","0.27649","0.27649"
"GO:0008283","cell proliferation",6,1,0.84,213,"0.6007","0.27996","0.27996"
"GO:0006468","protein phosphorylation",20,3,2.81,200,"0.5545","0.28187","0.28187"
"GO:0016310","phosphorylation",25,3,3.51,275,"0.7174","0.28276","0.28276"
"GO:0050877","nervous system process",7,1,0.98,245,"0.6583","0.28631","0.28631"
"GO:1901576","organic substance biosynthetic process",55,10,7.71,43,"0.2091","0.28713","0.28713"
