"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0046907","intracellular transport",17,5,2.91,36,"0.1437","0.0074","0.0074"
"GO:0009725","response to hormone",4,2,0.69,21,"0.1368","0.0121","0.0121"
"GO:0014070","response to organic cyclic compound",4,2,0.69,22,"0.1368","0.0121","0.0121"
"GO:0032870","cellular response to hormone stimulus",4,2,0.69,23,"0.1368","0.0121","0.0121"
"GO:0048545","response to steroid hormone",4,2,0.69,24,"0.1368","0.0121","0.0121"
"GO:0071383","cellular response to steroid hormone sti...",4,2,0.69,25,"0.1368","0.0121","0.0121"
"GO:0071396","cellular response to lipid",4,2,0.69,26,"0.1368","0.0121","0.0121"
"GO:0071407","cellular response to organic cyclic comp...",4,2,0.69,27,"0.1368","0.0121","0.0121"
"GO:0007010","cytoskeleton organization",4,1,0.69,168,"0.5311","0.0167","0.0167"
"GO:0048589","developmental growth",6,4,1.03,1,"0.0086","0.0171","0.0171"
"GO:0009755","hormone-mediated signaling pathway",3,2,0.51,6,"0.0767","0.0263","0.0263"
"GO:0043401","steroid hormone mediated signaling pathw...",3,2,0.51,7,"0.0767","0.0263","0.0263"
"GO:0007264","small GTPase mediated signal transductio...",4,2,0.69,28,"0.1368","0.0326","0.0326"
"GO:0007265","Ras protein signal transduction",4,2,0.69,29,"0.1368","0.0326","0.0326"
"GO:0046578","regulation of Ras protein signal transdu...",4,2,0.69,30,"0.1368","0.0326","0.0326"
"GO:0051056","regulation of small GTPase mediated sign...",4,2,0.69,31,"0.1368","0.0326","0.0326"
"GO:0040007","growth",7,4,1.2,3,"0.0176","0.0386","0.0386"
"GO:0006520","cellular amino acid metabolic process",4,3,0.69,2,"0.0165","0.0395","0.0395"
"GO:0030029","actin filament-based process",3,0,0.51,387,"1.0000","0.0472","0.0472"
"GO:0032504","multicellular organism reproduction",3,0,0.51,388,"1.0000","0.0472","0.0472"
"GO:0048609","multicellular organismal reproductive pr...",3,0,0.51,389,"1.0000","0.0472","0.0472"
"GO:0009719","response to endogenous stimulus",5,2,0.86,45,"0.2038","0.0527","0.0527"
"GO:0033993","response to lipid",5,2,0.86,46,"0.2038","0.0527","0.0527"
"GO:0071495","cellular response to endogenous stimulus",5,2,0.86,47,"0.2038","0.0527","0.0527"
"GO:0022008","neurogenesis",13,3,2.23,98,"0.3902","0.0551","0.0551"
"GO:0016197","endosomal transport",4,0,0.69,390,"1.0000","0.0624","0.0624"
"GO:1902531","regulation of intracellular signal trans...",8,4,1.37,4,"0.0309","0.0634","0.0634"
"GO:0009653","anatomical structure morphogenesis",18,4,3.08,92,"0.3716","0.0649","0.0649"
"GO:0048812","neuron projection morphogenesis",5,2,0.86,48,"0.2038","0.0710","0.0710"
"GO:0048858","cell projection morphogenesis",5,2,0.86,49,"0.2038","0.0710","0.0710"
"GO:0120039","plasma membrane bounded cell projection ...",5,2,0.86,50,"0.2038","0.0710","0.0710"
"GO:0065008","regulation of biological quality",16,5,2.74,20,"0.1159","0.0726","0.0726"
"GO:0048666","neuron development",7,2,1.2,85,"0.3434","0.0755","0.0755"
"GO:0007399","nervous system development",16,4,2.74,71,"0.2844","0.0793","0.0793"
"GO:0051129","negative regulation of cellular componen...",6,1,1.03,270,"0.6808","0.0966","0.0966"
"GO:0006417","regulation of translation",3,0,0.51,391,"1.0000","0.1031","0.1031"
"GO:0010608","posttranscriptional regulation of gene e...",3,0,0.51,392,"1.0000","0.1031","0.1031"
"GO:0034248","regulation of cellular amide metabolic p...",3,0,0.51,393,"1.0000","0.1031","0.1031"
"GO:0007186","G protein-coupled receptor signaling pat...",8,1,1.37,311,"0.7836","0.1083","0.1083"
"GO:0007018","microtubule-based movement",4,2,0.69,32,"0.1368","0.1118","0.1118"
"GO:0032268","regulation of cellular protein metabolic...",13,2,2.23,286,"0.6880","0.1138","0.1138"
"GO:0040008","regulation of growth",3,2,0.51,8,"0.0767","0.1142","0.1142"
"GO:0050803","regulation of synapse structure or activ...",3,2,0.51,9,"0.0767","0.1142","0.1142"
"GO:0050807","regulation of synapse organization",3,2,0.51,10,"0.0767","0.1142","0.1142"
"GO:0006518","peptide metabolic process",8,2,1.37,104,"0.4112","0.1146","0.1146"
"GO:0048699","generation of neurons",12,3,2.06,83,"0.3380","0.1151","0.1151"
"GO:0060249","anatomical structure homeostasis",3,0,0.51,394,"1.0000","0.1220","0.1220"
"GO:0016482","cytosolic transport",3,0,0.51,395,"1.0000","0.1261","0.1261"
"GO:0042147","retrograde transport, endosome to Golgi",3,0,0.51,396,"1.0000","0.1261","0.1261"
"GO:0007275","multicellular organism development",27,6,4.62,77,"0.3044","0.1337","0.1337"
"GO:0006605","protein targeting",3,1,0.51,111,"0.4325","0.1346","0.1346"
"GO:0016049","cell growth",3,2,0.51,11,"0.0767","0.1346","0.1346"
"GO:0009790","embryo development",6,1,1.03,271,"0.6808","0.1350","0.1350"
"GO:0071310","cellular response to organic substance",6,2,1.03,65,"0.2736","0.1350","0.1350"
"GO:0000165","MAPK cascade",3,2,0.51,12,"0.0767","0.1390","0.1390"
"GO:0023014","signal transduction by protein phosphory...",3,2,0.51,13,"0.0767","0.1390","0.1390"
"GO:0043408","regulation of MAPK cascade",3,2,0.51,14,"0.0767","0.1390","0.1390"
"GO:0051239","regulation of multicellular organismal p...",16,4,2.74,72,"0.2844","0.1456","0.1456"
"GO:0048869","cellular developmental process",20,5,3.43,61,"0.2420","0.1476","0.1476"
"GO:0016192","vesicle-mediated transport",15,2,2.57,305,"0.7656","0.1522","0.1522"
"GO:0008380","RNA splicing",3,1,0.51,112,"0.4325","0.1577","0.1577"
"GO:0000902","cell morphogenesis",8,3,1.37,35,"0.1400","0.1578","0.1578"
"GO:0030030","cell projection organization",8,2,1.37,105,"0.4112","0.1578","0.1578"
"GO:0120036","plasma membrane bounded cell projection ...",8,2,1.37,106,"0.4112","0.1578","0.1578"
"GO:0006928","movement of cell or subcellular componen...",11,2,1.88,227,"0.5915","0.1592","0.1592"
"GO:1901605","alpha-amino acid metabolic process",3,2,0.51,15,"0.0767","0.1627","0.1627"
"GO:0051179","localization",65,8,11.13,379,"0.9270","0.0575","0.1740"
"GO:0007423","sensory organ development",6,1,1.03,272,"0.6808","0.1763","0.1763"
