"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0030163","protein catabolic process",6,6,3.64,20,"0.0477","0.0071","0.0071"
"GO:0070925","organelle assembly",4,4,2.42,83,"0.1328","0.0116","0.0116"
"GO:0051641","cellular localization",28,23,16.96,1,"0.0096","0.0118","0.0118"
"GO:0006511","ubiquitin-dependent protein catabolic pr...",5,5,3.03,38,"0.0797","0.0164","0.0164"
"GO:0019941","modification-dependent protein catabolic...",5,5,3.03,39,"0.0797","0.0164","0.0164"
"GO:0043632","modification-dependent macromolecule cat...",5,5,3.03,40,"0.0797","0.0164","0.0164"
"GO:0044257","cellular protein catabolic process",5,5,3.03,41,"0.0797","0.0164","0.0164"
"GO:0051603","proteolysis involved in cellular protein...",5,5,3.03,42,"0.0797","0.0164","0.0164"
"GO:0016043","cellular component organization",44,33,26.66,5,"0.0227","0.0250","0.0250"
"GO:0071840","cellular component organization or bioge...",44,33,26.66,6,"0.0227","0.0250","0.0250"
"GO:1901135","carbohydrate derivative metabolic proces...",15,13,9.09,7,"0.0267","0.0279","0.0279"
"GO:0070647","protein modification by small protein co...",8,8,4.85,2,"0.0170","0.0290","0.0290"
"GO:1901700","response to oxygen-containing compound",8,8,4.85,3,"0.0170","0.0290","0.0290"
"GO:0006351","transcription, DNA-templated",40,27,24.23,147,"0.2149","0.0332","0.0332"
"GO:0032774","RNA biosynthetic process",40,27,24.23,148,"0.2149","0.0332","0.0332"
"GO:0097659","nucleic acid-templated transcription",40,27,24.23,149,"0.2149","0.0332","0.0332"
"GO:0009059","macromolecule biosynthetic process",58,38,35.14,215,"0.2385","0.0335","0.0335"
"GO:1901576","organic substance biosynthetic process",75,50,45.44,80,"0.1297","0.0383","0.0383"
"GO:0006793","phosphorus metabolic process",46,34,27.87,10,"0.0294","0.0384","0.0384"
"GO:0006796","phosphate-containing compound metabolic ...",45,33,27.26,14,"0.0384","0.0426","0.0426"
"GO:0044260","cellular macromolecule metabolic process",106,71,64.22,30,"0.0550","0.0480","0.0480"
"GO:0034645","cellular macromolecule biosynthetic proc...",57,37,34.53,246,"0.2760","0.0492","0.0492"
"GO:0018345","protein palmitoylation",3,3,1.82,150,"0.2208","0.0493","0.0493"
"GO:0034654","nucleobase-containing compound biosynthe...",47,33,28.47,57,"0.0922","0.0520","0.0520"
"GO:0044249","cellular biosynthetic process",74,49,44.83,116,"0.1535","0.0546","0.0546"
"GO:0010243","response to organonitrogen compound",6,6,3.64,21,"0.0477","0.0555","0.0555"
"GO:1901698","response to nitrogen compound",6,6,3.64,22,"0.0477","0.0555","0.0555"
"GO:0007005","mitochondrion organization",4,4,2.42,84,"0.1328","0.0565","0.0565"
"GO:0034613","cellular protein localization",14,12,8.48,15,"0.0397","0.0630","0.0630"
"GO:0070727","cellular macromolecule localization",14,12,8.48,16,"0.0397","0.0630","0.0630"
"GO:0006464","cellular protein modification process",53,38,32.11,17,"0.0442","0.0642","0.0642"
"GO:0036211","protein modification process",53,38,32.11,18,"0.0442","0.0642","0.0642"
"GO:0006508","proteolysis",12,10,7.27,53,"0.0850","0.0647","0.0647"
"GO:0055086","nucleobase-containing small molecule met...",11,10,6.66,11,"0.0304","0.0710","0.0710"
"GO:0016567","protein ubiquitination",6,6,3.64,23,"0.0477","0.0717","0.0717"
"GO:0032446","protein modification by small protein co...",6,6,3.64,24,"0.0477","0.0717","0.0717"
"GO:1901701","cellular response to oxygen-containing c...",6,6,3.64,25,"0.0477","0.0717","0.0717"
"GO:0019438","aromatic compound biosynthetic process",48,33,29.08,82,"0.1326","0.0754","0.0754"
"GO:0008104","protein localization",19,16,11.51,4,"0.0220","0.0799","0.0799"
"GO:0009968","negative regulation of signal transducti...",6,6,3.64,26,"0.0477","0.0844","0.0844"
"GO:0010648","negative regulation of cell communicatio...",6,6,3.64,27,"0.0477","0.0844","0.0844"
"GO:0023057","negative regulation of signaling",6,6,3.64,28,"0.0477","0.0844","0.0844"
"GO:0060341","regulation of cellular localization",6,6,3.64,29,"0.0477","0.0844","0.0844"
"GO:0006950","response to stress",25,20,15.15,8,"0.0275","0.0906","0.0906"
"GO:0090407","organophosphate biosynthetic process",10,8,6.06,130,"0.1721","0.0915","0.0915"
"GO:0006486","protein glycosylation",4,4,2.42,85,"0.1328","0.0921","0.0921"
"GO:0009101","glycoprotein biosynthetic process",4,4,2.42,86,"0.1328","0.0921","0.0921"
"GO:0043413","macromolecule glycosylation",4,4,2.42,87,"0.1328","0.0921","0.0921"
"GO:0070085","glycosylation",4,4,2.42,88,"0.1328","0.0921","0.0921"
"GO:0009058","biosynthetic process",78,51,47.26,143,"0.1873","0.0939","0.0939"
"GO:0072657","protein localization to membrane",3,3,1.82,151,"0.2208","0.0968","0.0968"
"GO:0030030","cell projection organization",13,10,7.88,136,"0.1734","0.0980","0.0980"
"GO:0120036","plasma membrane bounded cell projection ...",13,10,7.88,137,"0.1734","0.0980","0.0980"
"GO:0065009","regulation of molecular function",11,10,6.66,12,"0.0304","0.0987","0.0987"
"GO:0019725","cellular homeostasis",7,7,4.24,9,"0.0285","0.0987","0.0987"
"GO:0006366","transcription by RNA polymerase II",9,8,5.45,32,"0.0720","0.0991","0.0991"
"GO:0044238","primary metabolic process",150,97,90.88,52,"0.0813","0.0469","0.0998"
"GO:1901362","organic cyclic compound biosynthetic pro...",51,35,30.9,74,"0.1257","0.1042","0.1042"
"GO:0051649","establishment of localization in cell",19,15,11.51,31,"0.0695","0.1054","0.1054"
"GO:0018130","heterocycle biosynthetic process",49,33,29.69,140,"0.1824","0.1060","0.1060"
"GO:0009100","glycoprotein metabolic process",5,5,3.03,43,"0.0797","0.1075","0.1075"
"GO:0043412","macromolecule modification",57,41,34.53,13,"0.0331","0.1083","0.1083"
"GO:0031326","regulation of cellular biosynthetic proc...",33,22,19.99,248,"0.2862","0.1093","0.1093"
"GO:0009611","response to wounding",4,4,2.42,89,"0.1328","0.1096","0.1096"
"GO:0048468","cell development",13,9,7.88,298,"0.3655","0.1100","0.1100"
"GO:0043170","macromolecule metabolic process",124,81,75.12,56,"0.0907","0.0449","0.1109"
"GO:0001933","negative regulation of protein phosphory...",5,5,3.03,44,"0.0797","0.1121","0.1121"
"GO:0005975","carbohydrate metabolic process",5,5,3.03,45,"0.0797","0.1121","0.1121"
"GO:0009628","response to abiotic stimulus",5,5,3.03,46,"0.0797","0.1121","0.1121"
"GO:0042326","negative regulation of phosphorylation",5,5,3.03,47,"0.0797","0.1121","0.1121"
"GO:0044093","positive regulation of molecular functio...",5,5,3.03,48,"0.0797","0.1121","0.1121"
"GO:0007420","brain development",8,7,4.85,61,"0.1091","0.1163","0.1163"
"GO:0060322","head development",8,7,4.85,62,"0.1091","0.1163","0.1163"
"GO:0032879","regulation of localization",9,8,5.45,33,"0.0720","0.1196","0.1196"
"GO:1901137","carbohydrate derivative biosynthetic pro...",9,7,5.45,216,"0.2388","0.1227","0.1227"
"GO:0032501","multicellular organismal process",35,25,21.2,69,"0.1100","0.1239","0.1239"
"GO:0048731","system development",28,20,16.96,115,"0.1501","0.1246","0.1246"
"GO:0030182","neuron differentiation",12,9,7.27,213,"0.2325","0.1297","0.1297"
"GO:0030154","cell differentiation",20,14,12.12,244,"0.2587","0.1298","0.1298"
"GO:0044265","cellular macromolecule catabolic process",7,6,4.24,119,"0.1630","0.1320","0.1320"
"GO:0016197","endosomal transport",5,5,3.03,49,"0.0797","0.1327","0.1327"
"GO:0044271","cellular nitrogen compound biosynthetic ...",56,36,33.93,259,"0.3167","0.1350","0.1350"
"GO:0050790","regulation of catalytic activity",10,9,6.06,19,"0.0470","0.1382","0.1382"
"GO:0022607","cellular component assembly",16,12,9.69,128,"0.1711","0.1392","0.1392"
"GO:0071702","organic substance transport",18,12,10.91,302,"0.3893","0.1410","0.1410"
"GO:0016482","cytosolic transport",4,4,2.42,90,"0.1328","0.1435","0.1435"
"GO:0044085","cellular component biogenesis",17,13,10.3,77,"0.1285","0.1493","0.1493"
"GO:0006753","nucleoside phosphate metabolic process",9,8,5.45,34,"0.0720","0.1495","0.1495"
"GO:0006468","protein phosphorylation",27,20,16.36,59,"0.0943","0.1507","0.1507"
"GO:0009165","nucleotide biosynthetic process",5,5,3.03,50,"0.0797","0.1512","0.1512"
"GO:1901293","nucleoside phosphate biosynthetic proces...",5,5,3.03,51,"0.0797","0.1512","0.1512"
"GO:0000278","mitotic cell cycle",8,7,4.85,63,"0.1091","0.1513","0.1513"
"GO:0006357","regulation of transcription by RNA polym...",8,7,4.85,64,"0.1091","0.1513","0.1513"
"GO:0098655","cation transmembrane transport",8,7,4.85,65,"0.1091","0.1513","0.1513"
"GO:0006807","nitrogen compound metabolic process",138,90,83.61,37,"0.0724","0.0710","0.1522"
"GO:0007389","pattern specification process",4,3,2.42,343,"0.4847","0.1541","0.1541"
"GO:0006996","organelle organization",28,21,16.96,36,"0.0720","0.1560","0.1560"
"GO:0010556","regulation of macromolecule biosynthetic...",32,21,19.39,269,"0.3376","0.1585","0.1585"
"GO:0019219","regulation of nucleobase-containing comp...",32,21,19.39,270,"0.3376","0.1585","0.1585"
"GO:2000112","regulation of cellular macromolecule bio...",32,21,19.39,271,"0.3376","0.1585","0.1585"
"GO:0010468","regulation of gene expression",36,23,21.81,313,"0.4040","0.1587","0.1587"
"GO:0007399","nervous system development",19,13,11.51,260,"0.3199","0.1589","0.1589"
"GO:0009889","regulation of biosynthetic process",34,23,20.6,242,"0.2397","0.1589","0.1589"
"GO:0003008","system process",6,5,3.64,222,"0.2396","0.1594","0.1594"
"GO:0016310","phosphorylation",30,22,18.18,58,"0.0922","0.1633","0.1633"
"GO:0072521","purine-containing compound metabolic pro...",4,4,2.42,91,"0.1328","0.1654","0.1654"
"GO:0019637","organophosphate metabolic process",17,13,10.3,78,"0.1285","0.1670","0.1670"
"GO:0015031","protein transport",10,8,6.06,131,"0.1721","0.1704","0.1704"
"GO:0015833","peptide transport",10,8,6.06,132,"0.1721","0.1704","0.1704"
"GO:0042886","amide transport",10,8,6.06,133,"0.1721","0.1704","0.1704"
"GO:0045184","establishment of protein localization",10,8,6.06,134,"0.1721","0.1704","0.1704"
"GO:0051704","multi-organism process",10,7,6.06,309,"0.3944","0.1704","0.1704"
"GO:0048513","animal organ development",23,17,13.93,73,"0.1252","0.1714","0.1714"
"GO:0050793","regulation of developmental process",15,11,9.09,211,"0.2242","0.1726","0.1726"
"GO:0001101","response to acid chemical",4,4,2.42,92,"0.1328","0.1748","0.1748"
"GO:0006469","negative regulation of protein kinase ac...",4,4,2.42,93,"0.1328","0.1748","0.1748"
"GO:0006979","response to oxidative stress",4,4,2.42,94,"0.1328","0.1748","0.1748"
"GO:0007169","transmembrane receptor protein tyrosine ...",4,4,2.42,95,"0.1328","0.1748","0.1748"
"GO:0010035","response to inorganic substance",4,4,2.42,96,"0.1328","0.1748","0.1748"
"GO:0033673","negative regulation of kinase activity",4,4,2.42,97,"0.1328","0.1748","0.1748"
