"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0018193","peptidyl-amino acid modification",3,3,1.07,3,"0.044","0.014","0.014"
"GO:0006325","chromatin organization",4,4,1.42,1,"0.015","0.032","0.032"
"GO:0044267","cellular protein metabolic process",36,17,12.82,6,"0.080","0.044","0.044"
"GO:0043085","positive regulation of catalytic activit...",3,3,1.07,4,"0.044","0.061","0.061"
"GO:0051338","regulation of transferase activity",3,3,1.07,5,"0.044","0.061","0.061"
"GO:0051276","chromosome organization",8,6,2.85,2,"0.025","0.071","0.071"
"GO:0043412","macromolecule modification",25,12,8.9,8,"0.124","0.074","0.074"
"GO:0065007","biological regulation",76,26,27.06,115,"0.680","0.075","0.075"
"GO:0009166","nucleotide catabolic process",3,2,1.07,29,"0.289","0.084","0.084"
"GO:0034404","nucleobase-containing small molecule bio...",3,2,1.07,30,"0.289","0.084","0.084"
"GO:1901292","nucleoside phosphate catabolic process",3,2,1.07,31,"0.289","0.084","0.084"
"GO:0006464","cellular protein modification process",24,11,8.55,12,"0.187","0.087","0.087"
"GO:0036211","protein modification process",24,11,8.55,13,"0.187","0.087","0.087"
"GO:0071704","organic substance metabolic process",109,37,38.81,215,"0.751","0.101","0.101"
"GO:0007165","signal transduction",29,10,10.33,106,"0.630","0.114","0.114"
"GO:0006468","protein phosphorylation",15,7,5.34,24,"0.254","0.115","0.115"
"GO:0017144","drug metabolic process",4,2,1.42,58,"0.448","0.122","0.122"
"GO:0044238","primary metabolic process",103,34,36.68,255,"0.823","0.138","0.138"
"GO:0032269","negative regulation of cellular protein ...",5,2,1.78,84,"0.585","0.139","0.139"
"GO:0051248","negative regulation of protein metabolic...",5,2,1.78,85,"0.585","0.139","0.139"
"GO:0019538","protein metabolic process",45,19,16.02,16,"0.191","0.152","0.152"
"GO:0050789","regulation of biological process",71,24,25.28,137,"0.706","0.161","0.161"
"GO:0006753","nucleoside phosphate metabolic process",4,3,1.42,9,"0.130","0.164","0.164"
"GO:0009117","nucleotide metabolic process",4,3,1.42,10,"0.130","0.164","0.164"
"GO:0019439","aromatic compound catabolic process",4,2,1.42,59,"0.448","0.164","0.164"
"GO:0034655","nucleobase-containing compound catabolic...",4,2,1.42,60,"0.448","0.164","0.164"
"GO:0044270","cellular nitrogen compound catabolic pro...",4,2,1.42,61,"0.448","0.164","0.164"
"GO:0046700","heterocycle catabolic process",4,2,1.42,62,"0.448","0.164","0.164"
"GO:1901361","organic cyclic compound catabolic proces...",4,2,1.42,63,"0.448","0.164","0.164"
"GO:1901135","carbohydrate derivative metabolic proces...",5,3,1.78,18,"0.242","0.165","0.165"
"GO:0016310","phosphorylation",19,9,6.77,15,"0.190","0.169","0.169"
"GO:0006793","phosphorus metabolic process",30,12,10.68,42,"0.364","0.171","0.171"
"GO:0006796","phosphate-containing compound metabolic ...",30,12,10.68,43,"0.364","0.171","0.171"
"GO:0034613","cellular protein localization",10,5,3.56,25,"0.258","0.202","0.202"
"GO:0045184","establishment of protein localization",10,5,3.56,26,"0.258","0.202","0.202"
"GO:0070727","cellular macromolecule localization",10,5,3.56,27,"0.258","0.202","0.202"
"GO:0007154","cell communication",30,10,10.68,118,"0.683","0.204","0.204"
"GO:0023052","signaling",30,10,10.68,119,"0.683","0.204","0.204"
"GO:0031400","negative regulation of protein modificat...",4,2,1.42,64,"0.448","0.207","0.207"
"GO:0043086","negative regulation of catalytic activit...",3,2,1.07,32,"0.289","0.209","0.209"
"GO:0044092","negative regulation of molecular functio...",3,2,1.07,33,"0.289","0.209","0.209"
"GO:0007186","G protein-coupled receptor signaling pat...",6,3,2.14,44,"0.364","0.210","0.210"
"GO:0071705","nitrogen compound transport",12,6,4.27,17,"0.220","0.213","0.213"
"GO:0009628","response to abiotic stimulus",7,2,2.49,227,"0.781","0.215","0.215"
"GO:0050794","regulation of cellular process",69,23,24.57,210,"0.738","0.221","0.221"
"GO:0050790","regulation of catalytic activity",6,4,2.14,7,"0.121","0.230","0.230"
"GO:0071702","organic substance transport",14,7,4.99,14,"0.189","0.243","0.243"
"GO:0055085","transmembrane transport",31,12,11.04,54,"0.420","0.243","0.243"
"GO:1901565","organonitrogen compound catabolic proces...",7,2,2.49,228,"0.781","0.243","0.243"
"GO:0044283","small molecule biosynthetic process",5,2,1.78,86,"0.585","0.244","0.244"
"GO:0055086","nucleobase-containing small molecule met...",5,3,1.78,19,"0.242","0.244","0.244"
"GO:0030029","actin filament-based process",3,2,1.07,34,"0.289","0.251","0.251"
"GO:0006897","endocytosis",4,3,1.42,11,"0.130","0.256","0.256"
"GO:0044237","cellular metabolic process",94,31,33.47,246,"0.808","0.261","0.261"
"GO:1901564","organonitrogen compound metabolic proces...",56,22,19.94,40,"0.303","0.262","0.262"
"GO:0006970","response to osmotic stress",3,1,1.07,140,"0.735","0.263","0.263"
"GO:0009651","response to salt stress",3,1,1.07,141,"0.735","0.263","0.263"
"GO:0055080","cation homeostasis",3,1,1.07,142,"0.735","0.270","0.270"
"GO:0098771","inorganic ion homeostasis",3,1,1.07,143,"0.735","0.270","0.270"
"GO:0044260","cellular macromolecule metabolic process",67,25,23.86,53,"0.419","0.280","0.280"
"GO:0002376","immune system process",5,3,1.78,20,"0.242","0.282","0.282"
"GO:0008104","protein localization",14,6,4.99,48,"0.375","0.286","0.286"
"GO:0030163","protein catabolic process",4,1,1.42,257,"0.831","0.289","0.289"
"GO:0098656","anion transmembrane transport",5,3,1.78,21,"0.242","0.292","0.292"
"GO:0035556","intracellular signal transduction",10,4,3.56,74,"0.504","0.301","0.301"
"GO:0031503","protein-containing complex localization",3,2,1.07,35,"0.289","0.304","0.304"
"GO:0001933","negative regulation of protein phosphory...",3,1,1.07,144,"0.735","0.309","0.309"
"GO:0009611","response to wounding",3,1,1.07,145,"0.735","0.309","0.309"
"GO:0010563","negative regulation of phosphorus metabo...",3,1,1.07,146,"0.735","0.309","0.309"
"GO:0042326","negative regulation of phosphorylation",3,1,1.07,147,"0.735","0.309","0.309"
"GO:0045936","negative regulation of phosphate metabol...",3,1,1.07,148,"0.735","0.309","0.309"
"GO:0048585","negative regulation of response to stimu...",3,0,1.07,371,"1.000","0.309","0.309"
"GO:0015031","protein transport",9,4,3.2,49,"0.405","0.310","0.310"
"GO:0015833","peptide transport",9,4,3.2,50,"0.405","0.310","0.310"
"GO:0042886","amide transport",9,4,3.2,51,"0.405","0.310","0.310"
"GO:0043170","macromolecule metabolic process",83,29,29.56,105,"0.622","0.312","0.312"
"GO:0050896","response to stimulus",54,20,19.23,72,"0.461","0.313","0.313"
"GO:0006886","intracellular protein transport",6,3,2.14,45,"0.364","0.317","0.317"
"GO:0046434","organophosphate catabolic process",6,3,2.14,46,"0.364","0.319","0.319"
"GO:0008152","metabolic process",127,42,45.22,298,"0.868","0.325","0.325"
"GO:0051716","cellular response to stimulus",42,15,14.96,83,"0.561","0.328","0.328"
"GO:0006807","nitrogen compound metabolic process",91,32,32.4,103,"0.604","0.331","0.331"
"GO:0030001","metal ion transport",10,5,3.56,28,"0.258","0.339","0.339"
"GO:1901566","organonitrogen compound biosynthetic pro...",12,5,4.27,55,"0.434","0.347","0.347"
"GO:0015711","organic anion transport",3,2,1.07,36,"0.289","0.354","0.354"
"GO:0006820","anion transport",8,4,2.85,41,"0.304","0.359","0.359"
"GO:0009987","cellular process",136,48,48.43,104,"0.615","0.360","0.360"
"GO:0098662","inorganic cation transmembrane transport",3,2,1.07,37,"0.289","0.372","0.372"
"GO:0006511","ubiquitin-dependent protein catabolic pr...",3,1,1.07,149,"0.735","0.396","0.396"
"GO:0019941","modification-dependent protein catabolic...",3,1,1.07,150,"0.735","0.396","0.396"
"GO:0043632","modification-dependent macromolecule cat...",3,1,1.07,151,"0.735","0.396","0.396"
"GO:0044257","cellular protein catabolic process",3,1,1.07,152,"0.735","0.396","0.396"
"GO:0051603","proteolysis involved in cellular protein...",3,1,1.07,153,"0.735","0.396","0.396"
"GO:0001932","regulation of protein phosphorylation",6,2,2.14,121,"0.696","0.398","0.398"
"GO:0042325","regulation of phosphorylation",6,2,2.14,122,"0.696","0.398","0.398"
"GO:0048513","animal organ development",13,5,4.63,79,"0.520","0.399","0.399"
"GO:0045444","fat cell differentiation",3,0,1.07,372,"1.000","0.405","0.405"
"GO:0044248","cellular catabolic process",14,5,4.99,100,"0.601","0.422","0.422"
"GO:0042592","homeostatic process",14,5,4.99,101,"0.601","0.439","0.439"
"GO:0010605","negative regulation of macromolecule met...",10,4,3.56,75,"0.504","0.440","0.440"
"GO:0051172","negative regulation of nitrogen compound...",10,4,3.56,76,"0.504","0.440","0.440"
"GO:0006260","DNA replication",3,2,1.07,38,"0.289","0.446","0.446"
"GO:0006261","DNA-dependent DNA replication",3,2,1.07,39,"0.289","0.446","0.446"
"GO:0009889","regulation of biosynthetic process",27,9,9.61,114,"0.680","0.449","0.449"
"GO:0015698","inorganic anion transport",5,2,1.78,87,"0.585","0.453","0.453"
"GO:0044093","positive regulation of molecular functio...",5,3,1.78,22,"0.242","0.453","0.453"
"GO:0048878","chemical homeostasis",5,2,1.78,88,"0.585","0.453","0.453"
"GO:0033036","macromolecule localization",16,6,5.7,81,"0.534","0.455","0.455"
"GO:0007010","cytoskeleton organization",4,2,1.42,65,"0.448","0.457","0.457"
"GO:1901575","organic substance catabolic process",13,5,4.63,80,"0.520","0.469","0.469"
"GO:0009058","biosynthetic process",48,16,17.09,135,"0.706","0.477","0.477"
"GO:1901576","organic substance biosynthetic process",48,16,17.09,136,"0.706","0.477","0.477"
"GO:0005975","carbohydrate metabolic process",11,2,3.92,349,"0.949","0.501","0.501"
"GO:0098657","import into cell",5,3,1.78,23,"0.242","0.504","0.504"
"GO:0006810","transport",62,23,22.08,57,"0.444","0.507","0.507"
"GO:0044249","cellular biosynthetic process",45,14,16.02,248,"0.813","0.510","0.510"
"GO:0045934","negative regulation of nucleobase-contai...",6,2,2.14,123,"0.696","0.517","0.517"
"GO:0048856","anatomical structure development",25,8,8.9,138,"0.730","0.519","0.519"
"GO:0009653","anatomical structure morphogenesis",10,3,3.56,216,"0.758","0.523","0.523"
"GO:0032268","regulation of cellular protein metabolic...",10,4,3.56,77,"0.504","0.532","0.532"
"GO:0010556","regulation of macromolecule biosynthetic...",26,8,9.26,223,"0.777","0.538","0.538"
"GO:0031326","regulation of cellular biosynthetic proc...",26,8,9.26,224,"0.777","0.538","0.538"
"GO:2000112","regulation of cellular macromolecule bio...",26,8,9.26,225,"0.777","0.538","0.538"
