"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0009058","biosynthetic process",48,27,20.12,1,"0.016","0.028","0.028"
"GO:1901576","organic substance biosynthetic process",48,27,20.12,2,"0.016","0.028","0.028"
"GO:0006366","transcription by RNA polymerase II",8,6,3.35,11,"0.059","0.030","0.030"
"GO:0030001","metal ion transport",12,8,5.03,13,"0.069","0.041","0.041"
"GO:0098655","cation transmembrane transport",7,6,2.93,3,"0.022","0.041","0.041"
"GO:0042493","response to drug",6,5,2.52,9,"0.048","0.043","0.043"
"GO:0006814","sodium ion transport",3,3,1.26,15,"0.072","0.046","0.046"
"GO:0006816","calcium ion transport",4,4,1.68,4,"0.030","0.047","0.047"
"GO:0070838","divalent metal ion transport",4,4,1.68,5,"0.030","0.047","0.047"
"GO:0072511","divalent inorganic cation transport",4,4,1.68,6,"0.030","0.047","0.047"
"GO:0098662","inorganic cation transmembrane transport",4,4,1.68,7,"0.030","0.047","0.047"
"GO:0006417","regulation of translation",3,3,1.26,16,"0.072","0.052","0.052"
"GO:0034248","regulation of cellular amide metabolic p...",3,3,1.26,17,"0.072","0.052","0.052"
"GO:0001933","negative regulation of protein phosphory...",3,3,1.26,18,"0.072","0.064","0.064"
"GO:0007568","aging",3,3,1.26,19,"0.072","0.064","0.064"
"GO:0009636","response to toxic substance",3,3,1.26,20,"0.072","0.064","0.064"
"GO:0042326","negative regulation of phosphorylation",3,3,1.26,21,"0.072","0.064","0.064"
"GO:0043409","negative regulation of MAPK cascade",3,3,1.26,22,"0.072","0.064","0.064"
"GO:0045444","fat cell differentiation",3,3,1.26,23,"0.072","0.075","0.075"
"GO:0044271","cellular nitrogen compound biosynthetic ...",37,21,15.51,8,"0.033","0.079","0.079"
"GO:0006812","cation transport",19,11,7.96,36,"0.108","0.085","0.085"
"GO:0001568","blood vessel development",3,3,1.26,24,"0.072","0.088","0.088"
"GO:0001944","vasculature development",3,3,1.26,25,"0.072","0.088","0.088"
"GO:0044057","regulation of system process",3,3,1.26,26,"0.072","0.088","0.088"
"GO:0048514","blood vessel morphogenesis",3,3,1.26,27,"0.072","0.088","0.088"
"GO:0072358","cardiovascular system development",3,3,1.26,28,"0.072","0.088","0.088"
"GO:1901566","organonitrogen compound biosynthetic pro...",12,8,5.03,14,"0.069","0.096","0.096"
"GO:0070588","calcium ion transmembrane transport",3,3,1.26,29,"0.072","0.103","0.103"
"GO:0043933","protein-containing complex subunit organ...",8,3,3.35,351,"0.728","0.110","0.110"
"GO:0065003","protein-containing complex assembly",8,3,3.35,352,"0.728","0.110","0.110"
"GO:0044249","cellular biosynthetic process",45,24,18.86,10,"0.056","0.111","0.111"
"GO:0009719","response to endogenous stimulus",7,5,2.93,37,"0.112","0.115","0.115"
"GO:0043170","macromolecule metabolic process",82,40,34.37,12,"0.067","0.116","0.116"
"GO:0070887","cellular response to chemical stimulus",10,6,4.19,58,"0.194","0.127","0.127"
"GO:0006357","regulation of transcription by RNA polym...",6,4,2.52,93,"0.203","0.133","0.133"
"GO:0002262","myeloid cell homeostasis",3,2,1.26,163,"0.379","0.137","0.137"
"GO:0030099","myeloid cell differentiation",3,2,1.26,164,"0.379","0.137","0.137"
"GO:0030218","erythrocyte differentiation",3,2,1.26,165,"0.379","0.137","0.137"
"GO:0034101","erythrocyte homeostasis",3,2,1.26,166,"0.379","0.137","0.137"
"GO:0055085","transmembrane transport",30,16,12.58,41,"0.120","0.140","0.140"
"GO:0010629","negative regulation of gene expression",7,5,2.93,38,"0.112","0.143","0.143"
"GO:0034641","cellular nitrogen compound metabolic pro...",55,28,23.06,30,"0.077","0.147","0.147"
"GO:0043604","amide biosynthetic process",7,5,2.93,39,"0.112","0.168","0.168"
"GO:0098660","inorganic ion transmembrane transport",5,4,2.1,33,"0.100","0.177","0.177"
"GO:0048513","animal organ development",18,10,7.55,48,"0.164","0.183","0.183"
"GO:0006725","cellular aromatic compound metabolic pro...",44,22,18.44,45,"0.145","0.190","0.190"
"GO:0006412","translation",6,4,2.52,94,"0.203","0.195","0.195"
"GO:0043043","peptide biosynthetic process",6,4,2.52,95,"0.203","0.195","0.195"
"GO:0071310","cellular response to organic substance",6,4,2.52,96,"0.203","0.195","0.195"
"GO:0071396","cellular response to lipid",6,4,2.52,97,"0.203","0.195","0.195"
"GO:0071495","cellular response to endogenous stimulus",6,4,2.52,98,"0.203","0.195","0.195"
"GO:0002520","immune system development",4,3,1.68,60,"0.200","0.196","0.196"
"GO:0010608","posttranscriptional regulation of gene e...",4,3,1.68,61,"0.200","0.196","0.196"
"GO:0018193","peptidyl-amino acid modification",4,3,1.68,62,"0.200","0.196","0.196"
"GO:0030097","hemopoiesis",4,3,1.68,63,"0.200","0.196","0.196"
"GO:0048534","hematopoietic or lymphoid organ developm...",4,3,1.68,64,"0.200","0.196","0.196"
"GO:0048872","homeostasis of number of cells",4,3,1.68,65,"0.200","0.196","0.196"
"GO:0048878","chemical homeostasis",4,3,1.68,66,"0.200","0.196","0.196"
"GO:0050801","ion homeostasis",4,3,1.68,67,"0.200","0.196","0.196"
"GO:0015672","monovalent inorganic cation transport",6,3,2.52,236,"0.496","0.204","0.204"
"GO:0009059","macromolecule biosynthetic process",38,20,15.93,31,"0.096","0.204","0.204"
"GO:0019438","aromatic compound biosynthetic process",30,16,12.58,42,"0.120","0.219","0.219"
"GO:0003008","system process",8,5,3.35,84,"0.200","0.222","0.222"
"GO:0007420","brain development",8,5,3.35,85,"0.200","0.222","0.222"
"GO:0060322","head development",8,5,3.35,86,"0.200","0.222","0.222"
"GO:0009755","hormone-mediated signaling pathway",3,2,1.26,167,"0.379","0.225","0.225"
"GO:0043401","steroid hormone mediated signaling pathw...",3,2,1.26,168,"0.379","0.225","0.225"
