"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0055114","oxidation-reduction process",179,106,77.5,1,"6.1e-06","6.5e-06","2.1e-06"
"GO:0055085","transmembrane transport",262,142,113.44,2,"0.00011","6.9e-05","6.9e-05"
"GO:0044242","cellular lipid catabolic process",15,12,6.49,5,"0.00420","0.00073","0.00073"
"GO:0007596","blood coagulation",11,9,4.76,13,"0.01084","0.00167","0.00167"
"GO:0045214","sarcomere organization",11,9,4.76,14,"0.01084","0.00167","0.00167"
"GO:0001738","morphogenesis of a polarized epithelium",10,8,4.33,23,"0.02091","0.00440","0.00440"
"GO:0006631","fatty acid metabolic process",24,16,10.39,22,"0.01747","0.00495","0.00495"
"GO:0008016","regulation of heart contraction",17,13,7.36,8,"0.00565","0.00499","0.00499"
"GO:0006820","anion transport",39,25,16.89,10,"0.00672","0.00502","0.00502"
"GO:0044281","small molecule metabolic process",251,125,108.68,21,"0.01662","0.00199","0.00654"
"GO:0045333","cellular respiration",25,12,10.82,208,"0.38908","0.00766","0.00766"
"GO:0042445","hormone metabolic process",19,10,8.23,151,"0.27521","0.00936","0.00936"
"GO:0009612","response to mechanical stimulus",21,12,9.09,90,"0.14357","0.01486","0.01486"
"GO:0001894","tissue homeostasis",18,11,7.79,71,"0.09864","0.01506","0.01506"
"GO:0009308","amine metabolic process",12,8,5.2,65,"0.08972","0.01666","0.01666"
"GO:0044106","cellular amine metabolic process",12,8,5.2,66,"0.08972","0.01666","0.01666"
"GO:0006082","organic acid metabolic process",107,60,46.33,6,"0.00441","0.00228","0.01684"
"GO:0043436","oxoacid metabolic process",107,60,46.33,7,"0.00441","0.00228","0.01684"
"GO:0019752","carboxylic acid metabolic process",106,59,45.9,9,"0.00591","0.00305","0.01942"
"GO:0006874","cellular calcium ion homeostasis",18,12,7.79,38,"0.03881","0.02025","0.02025"
"GO:0072503","cellular divalent inorganic cation homeo...",18,12,7.79,39,"0.03881","0.02025","0.02025"
"GO:0060249","anatomical structure homeostasis",23,12,9.96,147,"0.25589","0.02045","0.02045"
"GO:0098656","anion transmembrane transport",16,12,6.93,12,"0.01021","0.02298","0.02298"
"GO:0051091","positive regulation of DNA-binding trans...",14,9,6.06,70,"0.09412","0.02463","0.02463"
"GO:0009116","nucleoside metabolic process",15,10,6.49,46,"0.05861","0.02477","0.02477"
"GO:1901657","glycosyl compound metabolic process",15,10,6.49,47,"0.05861","0.02477","0.02477"
"GO:0007164","establishment of tissue polarity",10,7,4.33,62,"0.08308","0.02904","0.02904"
"GO:0043010","camera-type eye development",32,17,13.86,109,"0.17085","0.02925","0.02925"
"GO:0015711","organic anion transport",26,16,11.26,42,"0.04624","0.02993","0.02993"
"GO:0006720","isoprenoid metabolic process",18,10,7.79,120,"0.20689","0.03243","0.03243"
"GO:0009581","detection of external stimulus",19,12,8.23,50,"0.06463","0.03277","0.03277"
"GO:0009582","detection of abiotic stimulus",19,12,8.23,51,"0.06463","0.03277","0.03277"
"GO:0015849","organic acid transport",22,13,9.53,80,"0.09975","0.03409","0.03409"
"GO:0046942","carboxylic acid transport",22,13,9.53,81,"0.09975","0.03409","0.03409"
