"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006281","DNA repair",101,57,42.57,1,"0.0023","0.00070","0.0007"
"GO:0006751","glutathione catabolic process",4,4,1.69,43,"0.0315","0.00245","0.0024"
"GO:0006364","rRNA processing",46,27,19.39,18,"0.0167","0.00317","0.0032"
"GO:0006396","RNA processing",219,112,92.31,2,"0.0032","0.00015","0.0039"
"GO:0030968","endoplasmic reticulum unfolded protein r...",9,7,3.79,54,"0.0339","0.00482","0.0048"
"GO:0033044","regulation of chromosome organization",30,14,12.65,567,"0.3724","0.00687","0.0069"
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",42,25,17.7,20,"0.0167","0.00902","0.0090"
"GO:0051092","positive regulation of NF-kappaB transcr...",5,5,2.11,14,"0.0132","0.01014","0.0101"
"GO:0036297","interstrand cross-link repair",5,5,2.11,15,"0.0132","0.01055","0.0105"
"GO:0006260","DNA replication",65,34,27.4,86,"0.0612","0.01055","0.0105"
"GO:0000387","spliceosomal snRNP assembly",8,7,3.37,13,"0.0118","0.01059","0.0106"
"GO:0002429","immune response-activating cell surface ...",10,8,4.22,22,"0.0174","0.01300","0.0130"
"GO:0002768","immune response-regulating cell surface ...",10,8,4.22,23,"0.0174","0.01300","0.0130"
"GO:1903825","organic acid transmembrane transport",14,9,5.9,122,"0.0801","0.01305","0.0131"
"GO:1905039","carboxylic acid transmembrane transport",14,9,5.9,123,"0.0801","0.01305","0.0131"
"GO:1905897","regulation of response to endoplasmic re...",11,9,4.64,9,"0.0088","0.01332","0.0133"
"GO:1905330","regulation of morphogenesis of an epithe...",7,5,2.95,174,"0.1183","0.01453","0.0145"
"GO:0030041","actin filament polymerization",14,10,5.9,35,"0.0259","0.01488","0.0149"
"GO:0030833","regulation of actin filament polymerizat...",14,10,5.9,36,"0.0259","0.01488","0.0149"
"GO:1903573","negative regulation of response to endop...",9,7,3.79,55,"0.0339","0.01497","0.0150"
"GO:0006289","nucleotide-excision repair",14,10,5.9,37,"0.0259","0.01637","0.0164"
"GO:0000413","protein peptidyl-prolyl isomerization",12,8,5.06,112,"0.0771","0.01705","0.0171"
"GO:0018208","peptidyl-proline modification",12,8,5.06,113,"0.0771","0.01705","0.0171"
"GO:0006970","response to osmotic stress",8,4,3.37,778,"0.4562","0.01717","0.0172"
"GO:0008154","actin polymerization or depolymerization",16,11,6.74,38,"0.0288","0.01804","0.0180"
"GO:0051016","barbed-end actin filament capping",3,3,1.26,98,"0.0748","0.01804","0.0180"
"GO:0051693","actin filament capping",3,3,1.26,99,"0.0748","0.01804","0.0180"
"GO:0007062","sister chromatid cohesion",12,8,5.06,114,"0.0771","0.01872","0.0187"
"GO:0035456","response to interferon-beta",4,4,1.69,44,"0.0315","0.01874","0.0187"
"GO:0035458","cellular response to interferon-beta",4,4,1.69,45,"0.0315","0.01874","0.0187"
"GO:1901214","regulation of neuron death",16,11,6.74,39,"0.0288","0.01880","0.0188"
"GO:0003333","amino acid transmembrane transport",12,8,5.06,115,"0.0771","0.01908","0.0191"
"GO:0006865","amino acid transport",12,8,5.06,116,"0.0771","0.01908","0.0191"
"GO:0030838","positive regulation of actin filament po...",10,7,4.22,93,"0.0722","0.01918","0.0192"
"GO:0006282","regulation of DNA repair",7,5,2.95,175,"0.1183","0.02248","0.0225"
"GO:0070059","intrinsic apoptotic signaling pathway in...",6,5,2.53,76,"0.0516","0.02311","0.0231"
"GO:0000462","maturation of SSU-rRNA from tricistronic...",5,4,2.11,141,"0.1044","0.02311","0.0231"
"GO:0090502","RNA phosphodiester bond hydrolysis, endo...",5,4,2.11,142,"0.1044","0.02311","0.0231"
"GO:0090100","positive regulation of transmembrane rec...",4,4,1.69,46,"0.0315","0.02322","0.0232"
"GO:0006030","chitin metabolic process",10,7,4.22,94,"0.0722","0.02326","0.0233"
"GO:0051258","protein polymerization",27,17,11.38,26,"0.0231","0.02344","0.0234"
"GO:0051276","chromosome organization",171,80,72.08,173,"0.1179","0.00558","0.0244"
"GO:0000079","regulation of cyclin-dependent protein s...",5,4,2.11,143,"0.1044","0.02504","0.0250"
"GO:0070647","protein modification by small protein co...",112,57,47.21,58,"0.0354","0.02748","0.0275"
"GO:0016579","protein deubiquitination",34,20,14.33,61,"0.0362","0.02778","0.0278"
"GO:0008064","regulation of actin polymerization or de...",15,10,6.32,67,"0.0487","0.02827","0.0283"
"GO:0030832","regulation of actin filament length",15,10,6.32,68,"0.0487","0.02827","0.0283"
"GO:0006310","DNA recombination",29,15,12.22,251,"0.1942","0.02907","0.0291"
"GO:0035372","protein localization to microtubule",3,3,1.26,100,"0.0748","0.03017","0.0302"
"GO:0015849","organic acid transport",23,12,9.69,374,"0.2210","0.03098","0.0310"
"GO:0046942","carboxylic acid transport",23,12,9.69,375,"0.2210","0.03098","0.0310"
"GO:1902275","regulation of chromatin organization",19,8,8.01,1131,"0.5888","0.03153","0.0315"
"GO:0007059","chromosome segregation",34,18,14.33,217,"0.1344","0.03201","0.0320"
"GO:0070997","neuron death",17,12,7.17,19,"0.0167","0.03383","0.0338"
"GO:0018196","peptidyl-asparagine modification",8,6,3.37,87,"0.0642","0.03535","0.0353"
"GO:0018279","protein N-linked glycosylation via aspar...",8,6,3.37,88,"0.0642","0.03535","0.0353"
"GO:0048754","branching morphogenesis of an epithelial...",7,5,2.95,176,"0.1183","0.03719","0.0372"
"GO:0007049","cell cycle",158,77,66.6,71,"0.0507","0.03747","0.0375"
"GO:0000723","telomere maintenance",9,6,3.79,193,"0.1249","0.03851","0.0385"
"GO:0032200","telomere organization",9,6,3.79,194,"0.1249","0.03851","0.0385"
"GO:0032271","regulation of protein polymerization",18,12,7.59,40,"0.0312","0.03886","0.0389"
"GO:0090092","regulation of transmembrane receptor pro...",13,10,5.48,12,"0.0118","0.03897","0.0390"
"GO:0034314","Arp2/3 complex-mediated actin nucleation",6,4,2.53,342,"0.2100","0.04199","0.0420"
"GO:0000819","sister chromatid segregation",25,13,10.54,370,"0.2115","0.04201","0.0420"
"GO:0007249","I-kappaB kinase/NF-kappaB signaling",4,3,1.69,268,"0.2047","0.04232","0.0423"
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB ...",4,3,1.69,269,"0.2047","0.04232","0.0423"
"GO:0043123","positive regulation of I-kappaB kinase/N...",4,3,1.69,270,"0.2047","0.04232","0.0423"
"GO:0006040","amino sugar metabolic process",11,7,4.64,208,"0.1277","0.04238","0.0424"
"GO:1901071","glucosamine-containing compound metaboli...",11,7,4.64,209,"0.1277","0.04238","0.0424"
"GO:0000469","cleavage involved in rRNA processing",8,5,3.37,330,"0.2084","0.04588","0.0459"
"GO:0045010","actin nucleation",9,6,3.79,195,"0.1249","0.04769","0.0477"
"GO:0050851","antigen receptor-mediated signaling path...",7,5,2.95,177,"0.1183","0.04801","0.0480"
"GO:0050852","T cell receptor signaling pathway",7,5,2.95,178,"0.1183","0.04801","0.0480"
"GO:1903522","regulation of blood circulation",7,6,2.95,32,"0.0249","0.05037","0.0504"
"GO:0070534","protein K63-linked ubiquitination",11,7,4.64,210,"0.1277","0.05318","0.0532"
"GO:0008033","tRNA processing",46,26,19.39,53,"0.0337","0.05461","0.0546"
"GO:0009219","pyrimidine deoxyribonucleotide metabolic...",3,3,1.26,101,"0.0748","0.05523","0.0552"
