"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0072359","circulatory system development",8,8,8,1,"1","0.015","0.015"
"GO:0006629","lipid metabolic process",12,12,12,2,"1","0.017","0.017"
"GO:0008610","lipid biosynthetic process",3,3,3,3,"1","0.020","0.020"
"GO:0051172","negative regulation of nitrogen compound...",6,6,6,4,"1","0.023","0.023"
"GO:0010605","negative regulation of macromolecule met...",10,10,10,5,"1","0.025","0.025"
"GO:0000122","negative regulation of transcription by ...",3,3,3,6,"1","0.029","0.029"
"GO:0007517","muscle organ development",5,5,5,7,"1","0.033","0.033"
"GO:0014706","striated muscle tissue development",5,5,5,8,"1","0.033","0.033"
"GO:0060537","muscle tissue development",5,5,5,9,"1","0.033","0.033"
"GO:0006508","proteolysis",10,10,10,10,"1","0.038","0.038"
