"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0007186","G protein-coupled receptor signaling pat...",6,6,6,1,"1","0.0083","0.0083"
"GO:0007399","nervous system development",7,7,7,2,"1","0.0083","0.0083"
"GO:0048519","negative regulation of biological proces...",20,20,20,3,"1","0.0208","0.0208"
"GO:0009653","anatomical structure morphogenesis",10,10,10,4,"1","0.0236","0.0236"
"GO:0030154","cell differentiation",12,12,12,5,"1","0.0293","0.0293"
"GO:0048869","cellular developmental process",12,12,12,6,"1","0.0293","0.0293"
"GO:0048523","negative regulation of cellular process",17,17,17,7,"1","0.0342","0.0342"
"GO:0009792","embryo development ending in birth or eg...",4,4,4,8,"1","0.0370","0.0370"
"GO:0048878","chemical homeostasis",4,4,4,9,"1","0.0423","0.0423"
"GO:0002252","immune effector process",3,3,3,10,"1","0.0433","0.0433"
