"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006260","DNA replication",62,49,28.78,1,"1.1e-07","4.8e-07","3.5e-05"
"GO:0055114","oxidation-reduction process",133,75,61.74,5,"0.0114","0.0010","0.0010"
"GO:0006261","DNA-dependent DNA replication",26,20,12.07,3,"0.0015","0.0051","0.0051"
"GO:0006281","DNA repair",93,56,43.17,4,"0.0045","0.0066","0.0066"
"GO:0006694","steroid biosynthetic process",13,9,6.04,15,"0.0845","0.0086","0.0086"
"GO:0051091","positive regulation of DNA-binding trans...",10,7,4.64,18,"0.1190","0.0097","0.0097"
"GO:0010817","regulation of hormone levels",14,10,6.5,11,"0.0529","0.0134","0.0134"
"GO:0005975","carbohydrate metabolic process",67,39,31.1,6,"0.0333","0.0207","0.0207"
"GO:0006720","isoprenoid metabolic process",19,12,8.82,17,"0.1081","0.0238","0.0238"
"GO:0006354","DNA-templated transcription, elongation",12,9,5.57,8,"0.0438","0.0269","0.0269"
"GO:0044057","regulation of system process",12,9,5.57,9,"0.0438","0.0304","0.0304"
"GO:1901071","glucosamine-containing compound metaboli...",11,8,5.11,14,"0.0731","0.0475","0.0475"
"GO:0044272","sulfur compound biosynthetic process",12,9,5.57,10,"0.0438","0.0492","0.0492"
"GO:0006368","transcription elongation from RNA polyme...",10,7,4.64,19,"0.1190","0.0598","0.0598"
"GO:0008299","isoprenoid biosynthetic process",12,7,5.57,58,"0.2942","0.0689","0.0689"
"GO:0006401","RNA catabolic process",35,15,16.25,295,"0.7235","0.0735","0.0735"
"GO:0034655","nucleobase-containing compound catabolic...",46,20,21.36,285,"0.7090","0.0778","0.0778"
"GO:0003013","circulatory system process",11,7,5.11,27,"0.1994","0.0835","0.0835"
"GO:0008015","blood circulation",11,7,5.11,28,"0.1994","0.0835","0.0835"
"GO:0032787","monocarboxylic acid metabolic process",33,18,15.32,38,"0.2216","0.0973","0.0973"
"GO:1901361","organic cyclic compound catabolic proces...",53,22,24.6,406,"0.8060","0.0974","0.0974"
"GO:0006040","amino sugar metabolic process",12,8,5.57,22,"0.1316","0.0975","0.0975"
"GO:0006631","fatty acid metabolic process",23,12,10.68,69,"0.3637","0.1078","0.1078"
"GO:0071897","DNA biosynthetic process",11,7,5.11,29,"0.1994","0.1084","0.1084"
"GO:0019439","aromatic compound catabolic process",52,22,24.14,365,"0.7703","0.1127","0.1127"
"GO:0072522","purine-containing compound biosynthetic ...",23,12,10.68,70,"0.3637","0.1136","0.1136"
"GO:0000910","cytokinesis",11,6,5.11,94,"0.4038","0.1178","0.1178"
"GO:0071103","DNA conformation change",15,9,6.96,33,"0.2124","0.1208","0.1208"
"GO:0005996","monosaccharide metabolic process",17,9,7.89,76,"0.3819","0.1216","0.1216"
"GO:0009116","nucleoside metabolic process",16,8,7.43,122,"0.4832","0.1285","0.1285"
"GO:1901657","glycosyl compound metabolic process",16,8,7.43,123,"0.4832","0.1285","0.1285"
"GO:0097164","ammonium ion metabolic process",15,10,6.96,16,"0.0939","0.1364","0.1364"
"GO:1901617","organic hydroxy compound biosynthetic pr...",18,9,8.36,119,"0.4707","0.1442","0.1442"
"GO:0006066","alcohol metabolic process",22,12,10.21,49,"0.2896","0.1443","0.1443"
"GO:0006164","purine nucleotide biosynthetic process",22,11,10.21,106,"0.4492","0.1451","0.1451"
"GO:0072507","divalent inorganic cation homeostasis",10,6,4.64,51,"0.2923","0.1465","0.1465"
"GO:0044270","cellular nitrogen compound catabolic pro...",50,20,23.21,480,"0.8563","0.1496","0.1496"
"GO:0046700","heterocycle catabolic process",50,20,23.21,481,"0.8563","0.1496","0.1496"
"GO:0031032","actomyosin structure organization",12,5,5.57,302,"0.7303","0.1511","0.1511"
"GO:0071824","protein-DNA complex subunit organization",14,10,6.5,12,"0.0529","0.1572","0.1572"
"GO:0008152","metabolic process",1762,836,818,13,"0.0646","0.0209","0.1610"
"GO:0007444","imaginal disc development",11,4,5.11,441,"0.8344","0.1632","0.1632"
"GO:0006338","chromatin remodeling",12,8,5.57,23,"0.1316","0.1639","0.1639"
"GO:0006310","DNA recombination",25,15,11.61,21,"0.1218","0.1656","0.1656"
"GO:0006790","sulfur compound metabolic process",28,15,13,46,"0.2830","0.1771","0.1771"
"GO:0044281","small molecule metabolic process",226,106,104.92,118,"0.4671","0.1793","0.1793"
