"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:1903047","mitotic cell cycle process",17,17,17,1,"1","0.0018","0.0018"
"GO:0007349","cellularization",5,5,5,2,"1","0.0042","0.0042"
"GO:0032507","maintenance of protein location in cell",8,8,8,3,"1","0.0042","0.0042"
"GO:1901016","regulation of potassium ion transmembran...",3,3,3,4,"1","0.0057","0.0057"
"GO:0002121","inter-male aggressive behavior",5,5,5,5,"1","0.0060","0.0060"
"GO:0007156","homophilic cell adhesion via plasma memb...",10,10,10,6,"1","0.0078","0.0078"
"GO:0032411","positive regulation of transporter activ...",3,3,3,7,"1","0.0119","0.0119"
"GO:0032414","positive regulation of ion transmembrane...",3,3,3,8,"1","0.0119","0.0119"
"GO:0034764","positive regulation of transmembrane tra...",3,3,3,9,"1","0.0119","0.0119"
"GO:0034767","positive regulation of ion transmembrane...",3,3,3,10,"1","0.0119","0.0119"
