"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006260","DNA replication",54,54,54,1,"1","0.00028","0.00028"
"GO:1901987","regulation of cell cycle phase transitio...",15,15,15,2,"1","0.00647","0.00647"
"GO:0007566","embryo implantation",3,3,3,3,"1","0.00846","0.00846"
"GO:0034472","snRNA 3'-end processing",4,4,4,4,"1","0.00850","0.00850"
"GO:0006950","response to stress",157,157,157,5,"1","0.00946","0.00946"
"GO:0000278","mitotic cell cycle",58,58,58,6,"1","0.01030","0.01030"
"GO:0045786","negative regulation of cell cycle",26,26,26,7,"1","0.01333","0.01333"
"GO:0044839","cell cycle G2/M phase transition",10,10,10,8,"1","0.01358","0.01358"
"GO:0031145","anaphase-promoting complex-dependent cat...",7,7,7,9,"1","0.01358","0.01358"
"GO:0051961","negative regulation of nervous system de...",7,7,7,10,"1","0.01541","0.01541"
