"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006469","negative regulation of protein kinase ac...",9,9,9,1,"1","0.0019","0.0019"
"GO:0008016","regulation of heart contraction",12,12,12,2,"1","0.0019","0.0019"
"GO:0006720","isoprenoid metabolic process",13,13,13,3,"1","0.0019","0.0019"
"GO:0006979","response to oxidative stress",20,20,20,4,"1","0.0022","0.0022"
"GO:0055114","oxidation-reduction process",122,122,122,5,"1","0.0025","0.0025"
"GO:0009408","response to heat",7,7,7,6,"1","0.0033","0.0033"
"GO:0001895","retina homeostasis",6,6,6,7,"1","0.0043","0.0043"
"GO:1901615","organic hydroxy compound metabolic proce...",16,16,16,8,"1","0.0056","0.0056"
"GO:0097435","supramolecular fiber organization",27,27,27,9,"1","0.0060","0.0060"
"GO:0035994","response to muscle stretch",8,8,8,10,"1","0.0077","0.0077"
