"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006281","DNA repair",105,68,51.92,25,"0.00090","1.0e-05","1.0e-05"
"GO:0006260","DNA replication",69,51,34.12,6,"2.4e-05","1.4e-07","2.5e-05"
"GO:0006325","chromatin organization",126,91,62.31,2,"8.7e-08","9.7e-08","0.00020"
"GO:0006511","ubiquitin-dependent protein catabolic pr...",79,57,39.06,7,"2.7e-05","5.5e-05","0.00032"
"GO:0006270","DNA replication initiation",10,10,4.94,23,"0.00086","0.00040","0.00040"
"GO:0006364","rRNA processing",44,32,21.76,26,"0.00134","0.00064","0.00064"
"GO:0000280","nuclear division",40,26,19.78,106,"0.03361","0.00075","0.00075"
"GO:0006310","DNA recombination",29,18,14.34,244,"0.11881","0.00109","0.00109"
"GO:0090068","positive regulation of cell cycle proces...",10,8,4.94,131,"0.05060","0.00147","0.00147"
"GO:0007346","regulation of mitotic cell cycle",33,21,16.32,170,"0.07098","0.00268","0.00268"
"GO:0070936","protein K48-linked ubiquitination",12,10,5.93,74,"0.01738","0.00302","0.00302"
"GO:0016570","histone modification",78,55,38.57,13,"0.00011","3.7e-05","0.00317"
"GO:0007059","chromosome segregation",38,24,18.79,156,"0.06144","0.00475","0.00475"
"GO:0070076","histone lysine demethylation",11,9,5.44,101,"0.02988","0.00506","0.00506"
"GO:0051052","regulation of DNA metabolic process",23,16,11.37,115,"0.04097","0.00524","0.00524"
"GO:0030433","ubiquitin-dependent ERAD pathway",12,11,5.93,32,"0.00279","0.00562","0.00562"
"GO:0006366","transcription by RNA polymerase II",152,89,75.16,66,"0.01280","0.00568","0.00568"
"GO:0071103","DNA conformation change",25,17,12.36,127,"0.04732","0.00603","0.00603"
"GO:0006513","protein monoubiquitination",18,15,8.9,34,"0.00320","0.00645","0.00645"
"GO:0016579","protein deubiquitination",35,24,17.31,73,"0.01688","0.00652","0.00652"
"GO:0070534","protein K63-linked ubiquitination",11,10,5.44,41,"0.00522","0.00751","0.00751"
"GO:0031396","regulation of protein ubiquitination",20,16,9.89,39,"0.00500","0.00932","0.00932"
"GO:0031401","positive regulation of protein modificat...",54,37,26.7,35,"0.00329","0.00966","0.00966"
"GO:0016571","histone methylation",19,14,9.4,97,"0.02807","0.00972","0.00972"
"GO:0051170","import into nucleus",17,14,8.41,43,"0.00548","0.00985","0.00985"
"GO:0006986","response to unfolded protein",14,12,6.92,44,"0.00567","0.01010","0.01010"
"GO:0006606","protein import into nucleus",16,13,7.91,53,"0.00930","0.01038","0.01038"
"GO:0006464","cellular protein modification process",503,287,248.73,10,"8.9e-05","4.9e-06","0.01075"
"GO:0036211","protein modification process",503,287,248.73,11,"8.9e-05","4.9e-06","0.01075"
"GO:0006468","protein phosphorylation",206,120,101.87,40,"0.00518","0.01096","0.01096"
"GO:0044706","multi-multicellular organism process",10,8,4.94,132,"0.05060","0.01189","0.01189"
"GO:0002165","instar larval or pupal development",19,15,9.4,50,"0.00826","0.01238","0.01238"
"GO:0031398","positive regulation of protein ubiquitin...",16,13,7.91,54,"0.00930","0.01270","0.01270"
"GO:1903322","positive regulation of protein modificat...",16,13,7.91,55,"0.00930","0.01270","0.01270"
"GO:1901987","regulation of cell cycle phase transitio...",21,14,10.38,194,"0.08549","0.01333","0.01333"
"GO:0032434","regulation of proteasomal ubiquitin-depe...",11,10,5.44,42,"0.00522","0.01504","0.01504"
"GO:0043412","macromolecule modification",557,314,275.43,14,"0.00014","1.4e-05","0.01616"
"GO:0006323","DNA packaging",20,13,9.89,250,"0.12039","0.01689","0.01689"
"GO:0006997","nucleus organization",15,12,7.42,71,"0.01559","0.01732","0.01732"
"GO:0007093","mitotic cell cycle checkpoint",14,10,6.92,185,"0.08267","0.01759","0.01759"
"GO:0010468","regulation of gene expression",487,262,240.82,80,"0.01891","0.01809","0.01809"
"GO:0090305","nucleic acid phosphodiester bond hydroly...",24,18,11.87,56,"0.00956","0.01826","0.01826"
"GO:0051276","chromosome organization",181,125,89.5,1,"2.5e-08","3.2e-09","0.01894"
"GO:0140014","mitotic nuclear division",25,16,12.36,214,"0.10330","0.01941","0.01941"
"GO:0051129","negative regulation of cellular componen...",51,33,25.22,81,"0.01931","0.01998","0.01998"
"GO:0098813","nuclear chromosome segregation",34,21,16.81,210,"0.10125","0.02002","0.02002"
"GO:0035120","post-embryonic appendage morphogenesis",14,11,6.92,93,"0.02579","0.02010","0.02010"
"GO:0051054","positive regulation of DNA metabolic pro...",14,10,6.92,186,"0.08267","0.02096","0.02096"
"GO:0048736","appendage development",21,16,10.38,63,"0.01141","0.02152","0.02152"
"GO:0031349","positive regulation of defense response",17,11,8.41,296,"0.15418","0.02265","0.02265"
"GO:0071824","protein-DNA complex subunit organization",24,15,11.87,274,"0.14010","0.02297","0.02297"
"GO:0022402","cell cycle process",127,76,62.8,61,"0.01031","0.00454","0.02370"
"GO:0019827","stem cell population maintenance",19,15,9.4,51,"0.00826","0.02383","0.02383"
