"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0055114","oxidation-reduction process",189,126,84.82,1,"2.9e-10","1.0e-11","2.5e-10"
"GO:0070527","platelet aggregation",8,7,3.59,31,"0.0177","0.00034","0.00034"
"GO:0003300","cardiac muscle hypertrophy",7,7,3.14,12,"0.0036","0.00047","0.00047"
"GO:0006081","cellular aldehyde metabolic process",14,12,6.28,7,"0.0020","0.00057","0.00057"
"GO:0017144","drug metabolic process",127,67,56.99,90,"0.0412","0.00059","0.00059"
"GO:0055085","transmembrane transport",303,161,135.98,3,"0.0013","0.00029","0.00103"
"GO:0045214","sarcomere organization",11,10,4.94,8,"0.0021","0.00103","0.00103"
"GO:0034220","ion transmembrane transport",117,63,52.51,51,"0.0288","0.00133","0.00112"
"GO:0035995","detection of muscle stretch",6,6,2.69,16,"0.0081","0.00140","0.00140"
"GO:0055003","cardiac myofibril assembly",6,6,2.69,17,"0.0081","0.00140","0.00140"
"GO:0090175","regulation of establishment of planar po...",6,6,2.69,18,"0.0081","0.00140","0.00140"
"GO:1903919","negative regulation of actin filament se...",6,6,2.69,19,"0.0081","0.00140","0.00140"
"GO:1903920","positive regulation of actin filament se...",6,6,2.69,20,"0.0081","0.00140","0.00140"
"GO:0006732","coenzyme metabolic process",56,36,25.13,9,"0.0024","0.00305","0.00305"
"GO:0044242","cellular lipid catabolic process",18,12,8.08,118,"0.0519","0.00323","0.00323"
"GO:0034754","cellular hormone metabolic process",8,8,3.59,4,"0.0016","0.00421","0.00421"
"GO:0019395","fatty acid oxidation",8,7,3.59,32,"0.0177","0.00438","0.00438"
"GO:0001895","retina homeostasis",9,7,4.04,104,"0.0487","0.00620","0.00620"
"GO:0010831","positive regulation of myotube different...",7,6,3.14,59,"0.0350","0.00678","0.00678"
"GO:0045662","negative regulation of myoblast differen...",7,6,3.14,60,"0.0350","0.00678","0.00678"
"GO:0045663","positive regulation of myoblast differen...",7,6,3.14,61,"0.0350","0.00678","0.00678"
"GO:0044272","sulfur compound biosynthetic process",14,11,6.28,25,"0.0110","0.00680","0.00680"
"GO:0035902","response to immobilization stress",3,3,1.35,156,"0.0902","0.00691","0.00691"
"GO:0043044","ATP-dependent chromatin remodeling",3,3,1.35,157,"0.0902","0.00691","0.00691"
"GO:0098974","postsynaptic actin cytoskeleton organiza...",3,3,1.35,158,"0.0902","0.00691","0.00691"
"GO:1904030","negative regulation of cyclin-dependent ...",3,3,1.35,159,"0.0902","0.00691","0.00691"
"GO:0098655","cation transmembrane transport",75,35,33.66,539,"0.4200","0.00693","0.00693"
"GO:0001974","blood vessel remodeling",9,7,4.04,105,"0.0487","0.00799","0.00799"
"GO:0002026","regulation of the force of heart contrac...",9,7,4.04,106,"0.0487","0.00799","0.00799"
"GO:0010998","regulation of translational initiation b...",3,3,1.35,160,"0.0902","0.00848","0.00848"
"GO:0045333","cellular respiration",30,18,13.46,143,"0.0684","0.00877","0.00877"
"GO:0015698","inorganic anion transport",12,7,5.39,365,"0.2574","0.00908","0.00908"
"GO:0044281","small molecule metabolic process",303,159,135.98,10,"0.0028","0.00539","0.00940"
"GO:0006720","isoprenoid metabolic process",21,14,9.42,69,"0.0364","0.00961","0.00961"
"GO:0055086","nucleobase-containing small molecule met...",121,64,54.3,98,"0.0427","0.01243","0.01243"
"GO:0015849","organic acid transport",23,15,10.32,75,"0.0394","0.01352","0.01352"
"GO:0046942","carboxylic acid transport",23,15,10.32,76,"0.0394","0.01352","0.01352"
"GO:0006753","nucleoside phosphate metabolic process",106,55,47.57,145,"0.0836","0.01396","0.01396"
"GO:0006767","water-soluble vitamin metabolic process",7,6,3.14,62,"0.0350","0.01448","0.01448"
"GO:0019637","organophosphate metabolic process",165,86,74.05,54,"0.0321","0.01509","0.01509"
"GO:0009117","nucleotide metabolic process",105,54,47.12,207,"0.1007","0.01546","0.01546"
"GO:1903825","organic acid transmembrane transport",16,11,7.18,99,"0.0471","0.01593","0.01593"
"GO:1905039","carboxylic acid transmembrane transport",16,11,7.18,100,"0.0471","0.01593","0.01593"
"GO:0051091","positive regulation of DNA-binding trans...",14,10,6.28,91,"0.0413","0.01639","0.01639"
"GO:0031032","actomyosin structure organization",21,16,9.42,11,"0.0035","2.8e-05","0.01668"
