"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0051240","positive regulation of multicellular org...",61,17,8.84,7,"0.0044","0.0050","0.0050"
"GO:0010468","regulation of gene expression",322,64,46.66,3,"0.0026","0.0055","0.0055"
"GO:0031323","regulation of cellular metabolic process",383,71,55.5,15,"0.0096","0.0076","0.0076"
"GO:0007154","cell communication",421,74,61.01,42,"0.0292","0.0081","0.0081"
"GO:0023052","signaling",417,73,60.43,52,"0.0331","0.0085","0.0085"
"GO:0070887","cellular response to chemical stimulus",115,24,16.66,58,"0.0358","0.0103","0.0103"
"GO:0016236","macroautophagy",14,7,2.03,2,"0.0017","0.0125","0.0125"
"GO:0007165","signal transduction",386,65,55.93,125,"0.0881","0.0127","0.0127"
"GO:0006914","autophagy",38,10,5.51,63,"0.0390","0.0138","0.0138"
"GO:0061919","process utilizing autophagic mechanism",38,10,5.51,64,"0.0390","0.0138","0.0138"
"GO:0006839","mitochondrial transport",20,2,2.9,839,"0.8096","0.0145","0.0145"
"GO:0050801","ion homeostasis",24,6,3.48,168,"0.1221","0.0177","0.0177"
"GO:0051171","regulation of nitrogen compound metaboli...",369,67,53.47,29,"0.0192","0.0184","0.0184"
"GO:0002520","immune system development",21,6,3.04,104,"0.0712","0.0197","0.0197"
"GO:0035556","intracellular signal transduction",174,35,25.21,36,"0.0217","0.0206","0.0206"
"GO:0023061","signal release",20,5,2.9,204,"0.1522","0.0206","0.0206"
"GO:0009889","regulation of biosynthetic process",302,58,43.76,14,"0.0093","0.0214","0.0214"
"GO:0050890","cognition",15,4,2.17,217,"0.1613","0.0214","0.0214"
"GO:0016197","endosomal transport",23,7,3.33,62,"0.0385","0.0217","0.0217"
"GO:0007264","small GTPase mediated signal transductio...",50,10,7.25,252,"0.1773","0.0221","0.0221"
"GO:0031326","regulation of cellular biosynthetic proc...",298,58,43.18,12,"0.0069","0.0234","0.0234"
"GO:0048878","chemical homeostasis",33,7,4.78,262,"0.1912","0.0244","0.0244"
"GO:2000112","regulation of cellular macromolecule bio...",291,57,42.17,11,"0.0065","0.0248","0.0248"
"GO:0050896","response to stimulus",625,98,90.57,248,"0.1763","0.0264","0.0264"
"GO:0030097","hemopoiesis",19,5,2.75,170,"0.1285","0.0270","0.0270"
"GO:0080090","regulation of primary metabolic process",374,66,54.2,59,"0.0364","0.0284","0.0284"
"GO:0001525","angiogenesis",13,5,1.88,44,"0.0294","0.0286","0.0286"
"GO:0051049","regulation of transport",70,11,10.14,493,"0.4361","0.0286","0.0286"
"GO:0007017","microtubule-based process",59,7,8.55,793,"0.7735","0.0294","0.0294"
"GO:0051259","protein complex oligomerization",17,3,2.46,534,"0.4564","0.0301","0.0301"
"GO:0007611","learning or memory",14,4,2.03,178,"0.1326","0.0304","0.0304"
"GO:0006997","nucleus organization",10,2,1.45,494,"0.4371","0.0321","0.0321"
"GO:0006470","protein dephosphorylation",31,8,4.49,99,"0.0684","0.0325","0.0325"
"GO:0031647","regulation of protein stability",13,5,1.88,45,"0.0294","0.0332","0.0332"
"GO:0046903","secretion",57,12,8.26,163,"0.1114","0.0346","0.0346"
"GO:0010556","regulation of macromolecule biosynthetic...",294,57,42.6,13,"0.0081","0.0358","0.0358"
"GO:0006351","transcription, DNA-templated",300,56,43.47,28,"0.0190","0.0367","0.0367"
"GO:0051050","positive regulation of transport",40,8,5.8,303,"0.2136","0.0400","0.0400"
"GO:0006810","transport",487,68,70.57,720,"0.6697","0.0412","0.0412"
"GO:0048534","hematopoietic or lymphoid organ developm...",20,5,2.9,205,"0.1522","0.0417","0.0417"
"GO:0007005","mitochondrion organization",29,6,4.2,321,"0.2352","0.0419","0.0419"
"GO:0055080","cation homeostasis",19,6,2.75,76,"0.0457","0.0434","0.0434"
"GO:0098771","inorganic ion homeostasis",19,6,2.75,77,"0.0457","0.0434","0.0434"
"GO:0006355","regulation of transcription, DNA-templat...",270,52,39.13,19,"0.0131","0.0442","0.0442"
"GO:0097659","nucleic acid-templated transcription",301,56,43.62,31,"0.0203","0.0455","0.0455"
"GO:0072507","divalent inorganic cation homeostasis",11,5,1.59,20,"0.0135","0.0467","0.0467"
"GO:0071310","cellular response to organic substance",92,17,13.33,240,"0.1679","0.0501","0.0501"
"GO:0042221","response to chemical",184,36,26.66,47,"0.0299","0.0504","0.0504"
"GO:0007018","microtubule-based movement",37,4,5.36,836,"0.8064","0.0508","0.0508"
"GO:0009893","positive regulation of metabolic process",132,25,19.13,126,"0.0885","0.0520","0.0520"
"GO:0043087","regulation of GTPase activity",29,5,4.2,471,"0.4135","0.0522","0.0522"
"GO:0051094","positive regulation of developmental pro...",57,15,8.26,18,"0.0128","0.0522","0.0522"
"GO:0019219","regulation of nucleobase-containing comp...",290,53,42.02,51,"0.0329","0.0524","0.0524"
"GO:0051716","cellular response to stimulus",525,82,76.08,306,"0.2199","0.0543","0.0543"
"GO:1903506","regulation of nucleic acid-templated tra...",271,52,39.27,23,"0.0141","0.0549","0.0549"
"GO:2001141","regulation of RNA biosynthetic process",271,52,39.27,24,"0.0141","0.0549","0.0549"
"GO:0016571","histone methylation",14,3,2.03,405,"0.3311","0.0556","0.0556"
"GO:0032774","RNA biosynthetic process",302,56,43.76,35,"0.0217","0.0558","0.0558"
"GO:0008219","cell death",95,15,13.77,463,"0.4016","0.0569","0.0569"
"GO:0009892","negative regulation of metabolic process",110,27,15.94,4,"0.0029","0.0595","0.0595"
"GO:0002790","peptide secretion",11,3,1.59,280,"0.2055","0.0619","0.0619"
"GO:0009306","protein secretion",11,3,1.59,281,"0.2055","0.0619","0.0619"
"GO:0048523","negative regulation of cellular process",193,39,27.97,25,"0.0146","0.0635","0.0635"
"GO:0044265","cellular macromolecule catabolic process",84,17,12.17,127,"0.0895","0.0638","0.0638"
"GO:0016570","histone modification",48,10,6.96,196,"0.1461","0.0640","0.0640"
"GO:0035220","wing disc development",10,2,1.45,495,"0.4371","0.0641","0.0641"
"GO:0001568","blood vessel development",17,6,2.46,38,"0.0268","0.0647","0.0647"
"GO:0048514","blood vessel morphogenesis",17,6,2.46,39,"0.0268","0.0647","0.0647"
"GO:1901700","response to oxygen-containing compound",62,10,8.98,470,"0.4098","0.0651","0.0651"
"GO:0051234","establishment of localization",501,71,72.6,675,"0.6156","0.0651","0.0651"
"GO:0045055","regulated exocytosis",12,1,1.74,878,"0.8480","0.0653","0.0653"
"GO:0051046","regulation of secretion",19,3,2.75,601,"0.5343","0.0659","0.0659"
"GO:0002694","regulation of leukocyte activation",10,2,1.45,496,"0.4371","0.0684","0.0684"
"GO:0050865","regulation of cell activation",10,2,1.45,497,"0.4371","0.0684","0.0684"
"GO:1902533","positive regulation of intracellular sig...",30,8,4.35,88,"0.0577","0.0688","0.0688"
"GO:0006869","lipid transport",20,3,2.9,626,"0.5708","0.0690","0.0690"
"GO:0051252","regulation of RNA metabolic process",281,52,40.72,41,"0.0278","0.0698","0.0698"
"GO:0055065","metal ion homeostasis",15,6,2.17,22,"0.0140","0.0701","0.0701"
"GO:0051260","protein homooligomerization",15,2,2.17,707,"0.6625","0.0707","0.0707"
"GO:0070647","protein modification by small protein co...",80,15,11.59,246,"0.1721","0.0718","0.0718"
"GO:0007265","Ras protein signal transduction",29,6,4.2,322,"0.2352","0.0720","0.0720"
"GO:0010876","lipid localization",25,4,3.62,577,"0.5005","0.0732","0.0732"
"GO:0051223","regulation of protein transport",20,4,2.9,400,"0.3274","0.0737","0.0737"
"GO:0090087","regulation of peptide transport",20,4,2.9,401,"0.3274","0.0737","0.0737"
"GO:0051247","positive regulation of protein metabolic...",66,15,9.56,75,"0.0457","0.0745","0.0745"
"GO:0006417","regulation of translation",18,5,2.61,153,"0.1067","0.0746","0.0746"
"GO:0040013","negative regulation of locomotion",12,5,1.74,32,"0.0205","0.0760","0.0760"
"GO:0010033","response to organic substance",125,24,18.11,115,"0.0828","0.0769","0.0769"
"GO:0018022","peptidyl-lysine methylation",11,3,1.59,282,"0.2055","0.0770","0.0770"
"GO:0034968","histone lysine methylation",11,3,1.59,283,"0.2055","0.0770","0.0770"
"GO:0014070","response to organic cyclic compound",45,7,6.52,548,"0.4838","0.0806","0.0806"
"GO:0006605","protein targeting",23,3,3.33,716,"0.6691","0.0818","0.0818"
"GO:0001505","regulation of neurotransmitter levels",22,6,3.19,118,"0.0865","0.0818","0.0818"
"GO:0044260","cellular macromolecule metabolic process",842,137,122.01,60,"0.0367","0.0834","0.0834"
"GO:0032270","positive regulation of cellular protein ...",64,15,9.27,57,"0.0356","0.0837","0.0837"
"GO:0031325","positive regulation of cellular metaboli...",122,24,17.68,98,"0.0658","0.0859","0.0859"
"GO:0032940","secretion by cell",49,9,7.1,355,"0.2725","0.0874","0.0874"
"GO:0042147","retrograde transport, endosome to Golgi",13,5,1.88,46,"0.0294","0.0894","0.0894"
"GO:0050793","regulation of developmental process",110,27,15.94,5,"0.0029","0.0905","0.0905"
"GO:0043900","regulation of multi-organism process",19,4,2.75,378,"0.2923","0.0912","0.0912"
"GO:0045137","development of primary sexual characteri...",13,3,1.88,366,"0.2885","0.0960","0.0960"
"GO:0001944","vasculature development",18,6,2.61,54,"0.0354","0.0975","0.0975"
"GO:0006402","mRNA catabolic process",21,6,3.04,105,"0.0712","0.0981","0.0981"
"GO:0030099","myeloid cell differentiation",11,3,1.59,284,"0.2055","0.0987","0.0987"
"GO:0006513","protein monoubiquitination",11,5,1.59,21,"0.0135","0.0995","0.0995"
"GO:1901605","alpha-amino acid metabolic process",16,2,2.32,728,"0.6978","0.1008","0.1008"
"GO:0009056","catabolic process",188,40,27.24,10,"0.0054","0.1014","0.1014"
"GO:0000956","nuclear-transcribed mRNA catabolic proce...",16,4,2.32,266,"0.1920","0.1032","0.1032"
"GO:0010604","positive regulation of macromolecule met...",119,23,17.24,116,"0.0832","0.1033","0.1033"
"GO:0007033","vacuole organization",16,4,2.32,267,"0.1920","0.1042","0.1042"
"GO:0006873","cellular ion homeostasis",14,4,2.03,179,"0.1326","0.1058","0.1058"
"GO:0030003","cellular cation homeostasis",14,4,2.03,180,"0.1326","0.1058","0.1058"
"GO:0045321","leukocyte activation",19,3,2.75,602,"0.5343","0.1063","0.1063"
"GO:0051173","positive regulation of nitrogen compound...",113,22,16.37,117,"0.0834","0.1063","0.1063"
"GO:0016054","organic acid catabolic process",14,5,2.03,65,"0.0405","0.1068","0.1068"
"GO:0046395","carboxylic acid catabolic process",14,5,2.03,66,"0.0405","0.1068","0.1068"
"GO:0010975","regulation of neuron projection developm...",22,7,3.19,48,"0.0304","0.1089","0.1089"
"GO:0065007","biological regulation",873,151,126.5,1,"0.0017","0.0023","0.1100"
"GO:0071702","organic substance transport",157,24,22.75,482,"0.4210","0.1106","0.1106"
"GO:0051222","positive regulation of protein transport",11,3,1.59,285,"0.2055","0.1113","0.1113"
"GO:1904951","positive regulation of establishment of ...",11,3,1.59,286,"0.2055","0.1113","0.1113"
"GO:0007548","sex differentiation",16,3,2.32,473,"0.4154","0.1115","0.1115"
"GO:0034645","cellular macromolecule biosynthetic proc...",432,75,62.6,61,"0.0368","0.1117","0.1117"
"GO:0016569","covalent chromatin modification",51,11,7.39,160,"0.1088","0.1118","0.1118"
"GO:0016482","cytosolic transport",19,6,2.75,78,"0.0457","0.1119","0.1119"
"GO:0048515","spermatid differentiation",15,3,2.17,440,"0.3735","0.1123","0.1123"
"GO:0055082","cellular chemical homeostasis",16,5,2.32,100,"0.0693","0.1125","0.1125"
"GO:0031344","regulation of cell projection organizati...",39,10,5.65,80,"0.0459","0.1146","0.1146"
"GO:0120035","regulation of plasma membrane bounded ce...",39,10,5.65,81,"0.0459","0.1146","0.1146"
"GO:0046578","regulation of Ras protein signal transdu...",26,6,3.77,227,"0.1636","0.1161","0.1161"
"GO:0055074","calcium ion homeostasis",10,4,1.45,68,"0.0443","0.1170","0.1170"
"GO:0071407","cellular response to organic cyclic comp...",30,3,4.35,875,"0.8323","0.1171","0.1171"
"GO:0071396","cellular response to lipid",34,3,4.93,958,"0.8902","0.1195","0.1195"
"GO:0034248","regulation of cellular amide metabolic p...",19,5,2.75,171,"0.1285","0.1198","0.1198"
"GO:0098657","import into cell",36,6,5.22,484,"0.4248","0.1203","0.1203"
"GO:0050794","regulation of cellular process",796,131,115.35,43,"0.0292","0.0188","0.1212"
"GO:0016567","protein ubiquitination",59,10,8.55,423,"0.3473","0.1225","0.1225"
"GO:0031346","positive regulation of cell projection o...",15,5,2.17,85,"0.0538","0.1228","0.1228"
"GO:0050773","regulation of dendrite development",12,4,1.74,110,"0.0826","0.1253","0.1253"
"GO:0008406","gonad development",11,2,1.59,550,"0.4886","0.1256","0.1256"
"GO:0009725","response to hormone",53,10,7.68,313,"0.2295","0.1256","0.1256"
"GO:0006366","transcription by RNA polymerase II",98,18,14.2,231,"0.1656","0.1290","0.1290"
"GO:0007283","spermatogenesis",26,5,3.77,395,"0.3213","0.1290","0.1290"
"GO:2000026","regulation of multicellular organismal d...",79,19,11.45,26,"0.0147","0.1291","0.1291"
"GO:0016358","dendrite development",16,5,2.32,101,"0.0693","0.1296","0.1296"
"GO:0010631","epithelial cell migration",13,4,1.88,149,"0.1063","0.1325","0.1325"
"GO:0032386","regulation of intracellular transport",22,4,3.19,456,"0.3978","0.1325","0.1325"
"GO:0048519","negative regulation of biological proces...",231,44,33.47,37,"0.0266","0.1330","0.1330"
"GO:0044248","cellular catabolic process",165,35,23.91,16,"0.0096","0.1360","0.1360"
"GO:0010976","positive regulation of neuron projection...",11,4,1.59,90,"0.0619","0.1369","0.1369"
"GO:0043401","steroid hormone mediated signaling pathw...",17,3,2.46,535,"0.4564","0.1382","0.1382"
"GO:0043414","macromolecule methylation",30,5,4.35,527,"0.4440","0.1383","0.1383"
"GO:0032502","developmental process",300,48,43.47,328,"0.2365","0.1384","0.1384"
"GO:0072358","cardiovascular system development",19,6,2.75,79,"0.0457","0.1389","0.1389"
"GO:0009719","response to endogenous stimulus",72,14,10.43,201,"0.1485","0.1413","0.1413"
"GO:0018205","peptidyl-lysine modification",29,4,4.2,678,"0.6239","0.1414","0.1414"
"GO:0012501","programmed cell death",82,14,11.88,382,"0.2937","0.1418","0.1418"
"GO:0001667","ameboidal-type cell migration",17,4,2.46,308,"0.2243","0.1419","0.1419"
"GO:0043903","regulation of symbiosis, encompassing mu...",11,1,1.59,858,"0.8220","0.1442","0.1442"
"GO:0009059","macromolecule biosynthetic process",436,75,63.18,74,"0.0448","0.1451","0.1451"
"GO:0045597","positive regulation of cell differentiat...",38,9,5.51,123,"0.0876","0.1452","0.1452"
"GO:0010605","negative regulation of macromolecule met...",105,24,15.22,17,"0.0124","0.1454","0.1454"
