"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006030","chitin metabolic process",30,7,2.5,147,"0.00990","9.7e-05","9.7e-05"
"GO:0006412","translation",192,16,16.02,1485,"0.54346","3.0e-05","0.00023"
"GO:0015986","ATP synthesis coupled proton transport",13,3,1.08,437,"0.08786","0.00047","0.00047"
"GO:0042255","ribosome assembly",13,5,1.08,66,"0.00286","0.00050","0.00050"
"GO:0043462","regulation of ATPase activity",9,4,0.75,74,"0.00426","0.00058","0.00058"
"GO:0033108","mitochondrial respiratory chain complex ...",16,0,1.34,1891,"1.00000","0.00271","0.00271"
"GO:0001892","embryonic placenta development",8,2,0.67,540,"0.13903","0.00344","0.00344"
"GO:0016485","protein processing",12,5,1,19,"0.00188","0.00422","0.00422"
"GO:0032355","response to estradiol",10,6,0.83,1,"5e-05","0.00432","0.00432"
"GO:0090307","mitotic spindle assembly",5,4,0.42,2,"0.00022","0.00540","0.00540"
"GO:0022904","respiratory electron transport chain",15,1,1.25,1753,"0.73033","0.00634","0.00634"
"GO:0006415","translational termination",10,0,0.83,1892,"1.00000","0.00831","0.00831"
"GO:0055076","transition metal ion homeostasis",9,3,0.75,271,"0.03303","0.00891","0.00891"
"GO:0035215","genital disc development",3,2,0.25,187,"0.01966","0.00916","0.00916"
"GO:0010970","transport along microtubule",13,6,1.08,3,"0.00033","0.01054","0.01054"
"GO:0099111","microtubule-based transport",13,6,1.08,4,"0.00033","0.01054","0.01054"
"GO:0048863","stem cell differentiation",15,4,1.25,262,"0.03094","0.01101","0.01101"
"GO:1903900","regulation of viral life cycle",9,5,0.75,5,"0.00037","0.01108","0.01108"
"GO:0010257","NADH dehydrogenase complex assembly",13,0,1.08,1893,"1.00000","0.01134","0.01134"
"GO:0032981","mitochondrial respiratory chain complex ...",13,0,1.08,1894,"1.00000","0.01134","0.01134"
"GO:1903332","regulation of protein folding",7,3,0.58,160,"0.01560","0.01160","0.01160"
"GO:0000027","ribosomal large subunit assembly",7,3,0.58,161,"0.01560","0.01200","0.01200"
"GO:1902626","assembly of large subunit precursor of p...",3,2,0.25,188,"0.01966","0.01208","0.01208"
"GO:0042773","ATP synthesis coupled electron transport",14,0,1.17,1895,"1.00000","0.01231","0.01231"
"GO:0072321","chaperone-mediated protein transport",6,4,0.5,8,"0.00062","0.01379","0.01379"
"GO:0030308","negative regulation of cell growth",12,3,1,398,"0.07185","0.01396","0.01396"
"GO:0032781","positive regulation of ATPase activity",5,2,0.42,363,"0.05858","0.01466","0.01466"
"GO:1900407","regulation of cellular response to oxida...",9,5,0.75,6,"0.00037","0.01512","0.01512"
"GO:0030705","cytoskeleton-dependent intracellular tra...",14,6,1.17,7,"0.00054","0.01560","0.01560"
"GO:0016246","RNA interference",4,3,0.33,22,"0.00216","0.01599","0.01599"
"GO:0009150","purine ribonucleotide metabolic process",73,10,6.09,412,"0.07854","0.00018","0.01712"
"GO:0045926","negative regulation of growth",17,4,1.42,340,"0.04731","0.01807","0.01807"
"GO:0001913","T cell mediated cytotoxicity",4,3,0.33,23,"0.00216","0.01845","0.01845"
"GO:0001914","regulation of T cell mediated cytotoxici...",4,3,0.33,24,"0.00216","0.01845","0.01845"
"GO:0001916","positive regulation of T cell mediated c...",4,3,0.33,25,"0.00216","0.01845","0.01845"
"GO:0002250","adaptive immune response",4,3,0.33,26,"0.00216","0.01845","0.01845"
"GO:0002456","T cell mediated immunity",4,3,0.33,27,"0.00216","0.01845","0.01845"
"GO:0002460","adaptive immune response based on somati...",4,3,0.33,28,"0.00216","0.01845","0.01845"
"GO:0002709","regulation of T cell mediated immunity",4,3,0.33,29,"0.00216","0.01845","0.01845"
"GO:0002711","positive regulation of T cell mediated i...",4,3,0.33,30,"0.00216","0.01845","0.01845"
"GO:0002819","regulation of adaptive immune response",4,3,0.33,31,"0.00216","0.01845","0.01845"
"GO:0002821","positive regulation of adaptive immune r...",4,3,0.33,32,"0.00216","0.01845","0.01845"
"GO:0002822","regulation of adaptive immune response b...",4,3,0.33,33,"0.00216","0.01845","0.01845"
"GO:0002824","positive regulation of adaptive immune r...",4,3,0.33,34,"0.00216","0.01845","0.01845"
"GO:0006622","protein targeting to lysosome",4,3,0.33,35,"0.00216","0.01845","0.01845"
"GO:0010045","response to nickel cation",4,3,0.33,36,"0.00216","0.01845","0.01845"
"GO:0016191","synaptic vesicle uncoating",4,3,0.33,37,"0.00216","0.01845","0.01845"
"GO:0033120","positive regulation of RNA splicing",4,3,0.33,38,"0.00216","0.01845","0.01845"
"GO:0044849","estrous cycle",4,3,0.33,39,"0.00216","0.01845","0.01845"
"GO:0048026","positive regulation of mRNA splicing, vi...",4,3,0.33,40,"0.00216","0.01845","0.01845"
"GO:0048488","synaptic vesicle endocytosis",4,3,0.33,41,"0.00216","0.01845","0.01845"
"GO:0050685","positive regulation of mRNA processing",4,3,0.33,42,"0.00216","0.01845","0.01845"
"GO:0061462","protein localization to lysosome",4,3,0.33,43,"0.00216","0.01845","0.01845"
"GO:0061684","chaperone-mediated autophagy",4,3,0.33,44,"0.00216","0.01845","0.01845"
"GO:0061738","late endosomal microautophagy",4,3,0.33,45,"0.00216","0.01845","0.01845"
"GO:0061740","protein targeting to lysosome involved i...",4,3,0.33,46,"0.00216","0.01845","0.01845"
"GO:0061741","chaperone-mediated protein transport inv...",4,3,0.33,47,"0.00216","0.01845","0.01845"
"GO:0071211","protein targeting to vacuole involved in...",4,3,0.33,48,"0.00216","0.01845","0.01845"
"GO:0071276","cellular response to cadmium ion",4,3,0.33,49,"0.00216","0.01845","0.01845"
"GO:0072318","clathrin coat disassembly",4,3,0.33,50,"0.00216","0.01845","0.01845"
"GO:0072319","vesicle uncoating",4,3,0.33,51,"0.00216","0.01845","0.01845"
"GO:0097212","lysosomal membrane organization",4,3,0.33,52,"0.00216","0.01845","0.01845"
"GO:0097213","regulation of lysosomal membrane permeab...",4,3,0.33,53,"0.00216","0.01845","0.01845"
"GO:0097214","positive regulation of lysosomal membran...",4,3,0.33,54,"0.00216","0.01845","0.01845"
"GO:0140238","presynaptic endocytosis",4,3,0.33,55,"0.00216","0.01845","0.01845"
"GO:1903334","positive regulation of protein folding",4,3,0.33,56,"0.00216","0.01845","0.01845"
"GO:1904592","positive regulation of protein refolding",4,3,0.33,57,"0.00216","0.01845","0.01845"
"GO:1904764","chaperone-mediated autophagy translocati...",4,3,0.33,58,"0.00216","0.01845","0.01845"
"GO:1990832","slow axonal transport",4,3,0.33,59,"0.00216","0.01845","0.01845"
"GO:1990834","response to odorant",4,3,0.33,60,"0.00216","0.01845","0.01845"
"GO:0008285","negative regulation of cell proliferatio...",16,3,1.34,562,"0.14343","0.01974","0.01974"
"GO:0009409","response to cold",3,2,0.25,189,"0.01966","0.02002","0.02002"
"GO:0045069","regulation of viral genome replication",7,4,0.58,13,"0.00135","0.02017","0.02017"
"GO:1900408","negative regulation of cellular response...",7,4,0.58,14,"0.00135","0.02017","0.02017"
"GO:1902883","negative regulation of response to oxida...",7,4,0.58,15,"0.00135","0.02017","0.02017"
"GO:1903202","negative regulation of oxidative stress-...",7,4,0.58,16,"0.00135","0.02017","0.02017"
"GO:0009199","ribonucleoside triphosphate metabolic pr...",50,9,4.17,217,"0.02031","8.6e-05","0.02080"
"GO:0009205","purine ribonucleoside triphosphate metab...",50,9,4.17,218,"0.02031","8.6e-05","0.02080"
"GO:0009141","nucleoside triphosphate metabolic proces...",52,9,4.34,251,"0.02578","9.6e-05","0.02099"
"GO:0032543","mitochondrial translation",15,1,1.25,1754,"0.73033","0.02225","0.02225"
"GO:0140053","mitochondrial gene expression",15,1,1.25,1755,"0.73033","0.02225","0.02225"
"GO:0046916","cellular transition metal ion homeostasi...",8,2,0.67,541,"0.13903","0.02348","0.02348"
"GO:1903902","positive regulation of viral life cycle",7,4,0.58,17,"0.00135","0.02411","0.02411"
"GO:0009259","ribonucleotide metabolic process",74,10,6.18,434,"0.08448","0.00029","0.02439"
"GO:0032091","negative regulation of protein binding",6,0,0.5,1896,"1.00000","0.02556","0.02556"
"GO:0006623","protein targeting to vacuole",5,3,0.42,80,"0.00506","0.02562","0.02562"
"GO:1902882","regulation of response to oxidative stre...",10,5,0.83,11,"0.00069","0.02609","0.02609"
"GO:0034605","cellular response to heat",11,4,0.92,143,"0.00975","0.02620","0.02620"
"GO:0048639","positive regulation of developmental gro...",4,2,0.33,285,"0.03717","0.02625","0.02625"
"GO:0009880","embryonic pattern specification",8,1,0.67,1381,"0.50244","0.02695","0.02695"
"GO:0090083","regulation of inclusion body assembly",8,3,0.67,227,"0.02344","0.02710","0.02710"
"GO:0090084","negative regulation of inclusion body as...",8,3,0.67,228,"0.02344","0.02710","0.02710"
"GO:0010498","proteasomal protein catabolic process",34,5,2.84,575,"0.14871","0.02713","0.02713"
"GO:0051602","response to electrical stimulus",8,1,0.67,1382,"0.50244","0.02939","0.02939"
"GO:0051100","negative regulation of binding",8,0,0.67,1897,"1.00000","0.02939","0.02939"
"GO:0001558","regulation of cell growth",18,4,1.5,349,"0.05699","0.03085","0.03085"
"GO:0007413","axonal fasciculation",3,2,0.25,190,"0.01966","0.03154","0.03154"
"GO:0106030","neuron projection fasciculation",3,2,0.25,191,"0.01966","0.03154","0.03154"
"GO:0042026","protein refolding",11,4,0.92,144,"0.00975","0.03205","0.03205"
"GO:1900034","regulation of cellular response to heat",9,3,0.75,272,"0.03303","0.03211","0.03211"
"GO:0009144","purine nucleoside triphosphate metabolic...",51,9,4.26,225,"0.02293","0.00017","0.03250"
"GO:0019693","ribose phosphate metabolic process",77,10,6.43,471,"0.10388","0.00048","0.03311"
"GO:0042775","mitochondrial ATP synthesis coupled elec...",12,0,1,1898,"1.00000","0.03387","0.03387"
"GO:0006163","purine nucleotide metabolic process",75,10,6.26,448,"0.09068","0.00047","0.03398"
"GO:0014823","response to activity",10,4,0.83,105,"0.00663","0.03427","0.03427"
"GO:0008277","regulation of G protein-coupled receptor...",4,2,0.33,286,"0.03717","0.03449","0.03449"
"GO:0031112","positive regulation of microtubule polym...",4,2,0.33,287,"0.03717","0.03449","0.03449"
"GO:0031116","positive regulation of microtubule polym...",4,2,0.33,288,"0.03717","0.03449","0.03449"
"GO:0007389","pattern specification process",29,4,2.42,674,"0.21916","0.03467","0.03467"
"GO:0008088","axo-dendritic transport",8,4,0.67,61,"0.00253","0.03559","0.03559"
