"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0009408","response to heat",32,6,1.92,17,"0.01033","4.5e-05","4.5e-05"
"GO:0006457","protein folding",60,8,3.59,49,"0.02461","0.00012","0.00012"
"GO:0006030","chitin metabolic process",32,8,1.92,1,"0.00042","0.00051","0.00051"
"GO:0006979","response to oxidative stress",45,6,2.69,100,"0.04903","0.00202","0.00202"
"GO:0006412","translation",180,11,10.78,607,"0.51933","0.00253","0.00253"
"GO:0045089","positive regulation of innate immune res...",13,3,0.78,74,"0.03862","0.00351","0.00351"
"GO:0002684","positive regulation of immune system pro...",34,7,2.04,8,"0.00328","0.00042","0.00449"
"GO:0007568","aging",23,6,1.38,6,"0.00180","0.00619","0.00619"
"GO:0007088","regulation of mitotic nuclear division",11,2,0.66,221,"0.13743","0.00741","0.00741"
"GO:0030163","protein catabolic process",106,11,6.35,106,"0.04917","0.00783","0.00783"
"GO:0042254","ribosome biogenesis",59,2,3.53,904,"0.87833","0.00852","0.00852"
"GO:0048524","positive regulation of viral process",12,2,0.72,263,"0.15870","0.00942","0.00942"
"GO:0010035","response to inorganic substance",29,6,1.74,11,"0.00628","0.00955","0.00955"
"GO:0035966","response to topologically incorrect prot...",23,4,1.38,90,"0.04487","0.01185","0.01185"
"GO:0035821","modification of morphology or physiology...",10,2,0.6,176,"0.11686","0.01280","0.01280"
"GO:0051817","modification of morphology or physiology...",10,2,0.6,177,"0.11686","0.01280","0.01280"
"GO:0034605","cellular response to heat",14,3,0.84,93,"0.04705","0.01483","0.01483"
"GO:0097305","response to alcohol",20,4,1.2,54,"0.02820","0.01611","0.01611"
"GO:0046686","response to cadmium ion",12,3,0.72,58,"0.03104","0.01717","0.01717"
"GO:0042026","protein refolding",14,4,0.84,14,"0.00771","0.01755","0.01755"
"GO:0051052","regulation of DNA metabolic process",18,3,1.08,146,"0.08867","0.01895","0.01895"
"GO:0019079","viral genome replication",10,2,0.6,178,"0.11686","0.01913","0.01913"
"GO:0045069","regulation of viral genome replication",10,2,0.6,179,"0.11686","0.01913","0.01913"
"GO:1903332","regulation of protein folding",10,3,0.6,25,"0.01849","0.01913","0.01913"
"GO:1903902","positive regulation of viral life cycle",10,2,0.6,180,"0.11686","0.01913","0.01913"
"GO:0044257","cellular protein catabolic process",84,9,5.03,119,"0.06077","0.02102","0.02102"
"GO:0051603","proteolysis involved in cellular protein...",84,9,5.03,120,"0.06077","0.02102","0.02102"
"GO:0097237","cellular response to toxic substance",14,3,0.84,94,"0.04705","0.02343","0.02343"
"GO:0010038","response to metal ion",24,5,1.44,20,"0.01211","0.02411","0.02411"
"GO:0031349","positive regulation of defense response",18,3,1.08,147,"0.08867","0.00259","0.02431"
"GO:0031396","regulation of protein ubiquitination",22,2,1.32,486,"0.38304","0.02433","0.02433"
"GO:1903320","regulation of protein modification by sm...",22,2,1.32,487,"0.38304","0.02433","0.02433"
"GO:0032101","regulation of response to external stimu...",14,0,0.84,955,"1.00000","0.02444","0.02444"
"GO:0046677","response to antibiotic",20,4,1.2,55,"0.02820","0.02633","0.02633"
"GO:0009791","post-embryonic development",23,1,1.38,836,"0.75978","0.02648","0.02648"
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",35,5,2.1,110,"0.05460","0.03073","0.03073"
"GO:0046488","phosphatidylinositol metabolic process",20,4,1.2,56,"0.02820","0.03172","0.03172"
"GO:0014823","response to activity",11,3,0.66,40,"0.02433","0.03172","0.03172"
"GO:0071241","cellular response to inorganic substance",11,3,0.66,41,"0.02433","0.03172","0.03172"
"GO:1902904","negative regulation of supramolecular fi...",11,3,0.66,42,"0.02433","0.03172","0.03172"
"GO:0006508","proteolysis",196,15,11.73,301,"0.19024","0.03199","0.03199"
"GO:0019058","viral life cycle",15,2,0.9,327,"0.22532","0.03246","0.03246"
"GO:0006644","phospholipid metabolic process",49,8,2.93,13,"0.00758","0.03381","0.03381"
"GO:0006364","rRNA processing",33,2,1.98,697,"0.59728","0.03418","0.03418"
"GO:0031347","regulation of defense response",23,3,1.38,256,"0.15546","0.01387","0.03473"
"GO:1901654","response to ketone",17,3,1.02,139,"0.07715","0.03688","0.03688"
"GO:0048285","organelle fission",35,4,2.1,251,"0.15382","0.00141","0.03724"
"GO:0010941","regulation of cell death",72,6,4.31,369,"0.25961","0.04005","0.04005"
"GO:0043462","regulation of ATPase activity",11,4,0.66,7,"0.00293","0.04096","0.04096"
"GO:0016072","rRNA metabolic process",34,2,2.04,720,"0.61379","0.04605","0.04605"
"GO:0051085","chaperone cofactor-dependent protein ref...",10,3,0.6,26,"0.01849","0.04730","0.04730"
"GO:0071236","cellular response to antibiotic",13,3,0.78,75,"0.03862","0.05082","0.05082"
"GO:0044770","cell cycle phase transition",34,3,2.04,446,"0.33311","0.05188","0.05188"
"GO:0099003","vesicle-mediated transport in synapse",12,3,0.72,59,"0.03104","0.05237","0.05237"
"GO:0062012","regulation of small molecule metabolic p...",14,3,0.84,95,"0.04705","0.05375","0.05375"
"GO:0061077","chaperone-mediated protein folding",18,4,1.08,33,"0.01955","0.05405","0.05405"
"GO:0045862","positive regulation of proteolysis",19,3,1.14,156,"0.10087","0.05475","0.05475"
"GO:0016051","carbohydrate biosynthetic process",12,1,0.72,609,"0.52406","0.05578","0.05578"
"GO:0042273","ribosomal large subunit biogenesis",12,1,0.72,610,"0.52406","0.05714","0.05714"
"GO:0008219","cell death",89,6,5.33,529,"0.44402","0.05716","0.05716"
"GO:0090068","positive regulation of cell cycle proces...",10,2,0.6,181,"0.11686","0.05749","0.05749"
"GO:0070301","cellular response to hydrogen peroxide",11,3,0.66,43,"0.02433","0.05831","0.05831"
"GO:0048469","cell maturation",16,2,0.96,355,"0.24803","0.05939","0.05939"
"GO:0050778","positive regulation of immune response",28,6,1.68,9,"0.00524","0.00376","0.05956"
"GO:0007034","vacuolar transport",24,3,1.44,282,"0.17032","0.06158","0.06158"
