"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0007186","G protein-coupled receptor signaling pat...",71,10,5.09,31,"0.02776","5.7e-05","5.7e-05"
"GO:0006720","isoprenoid metabolic process",17,3,1.22,96,"0.11744","0.0013","0.0013"
"GO:0055085","transmembrane transport",220,34,15.78,1,"6.4e-06","0.0022","0.0014"
"GO:0015696","ammonium transport",5,3,0.36,7,"0.00326","0.0053","0.0053"
"GO:0034308","primary alcohol metabolic process",4,2,0.29,32,"0.02787","0.0079","0.0079"
"GO:0034754","cellular hormone metabolic process",4,1,0.29,249,"0.25762","0.0079","0.0079"
"GO:0019637","organophosphate metabolic process",112,7,8.03,1057,"0.70561","0.0080","0.0080"
"GO:0032501","multicellular organismal process",365,28,26.18,578,"0.37800","0.0084","0.0084"
"GO:0032412","regulation of ion transmembrane transpor...",17,2,1.22,503,"0.34738","0.0100","0.0100"
"GO:0006576","cellular biogenic amine metabolic proces...",5,2,0.36,48,"0.04428","0.0103","0.0103"
"GO:0009584","detection of visible light",4,1,0.29,250,"0.25762","0.0104","0.0104"
"GO:0001523","retinoid metabolic process",5,1,0.36,412,"0.31095","0.0104","0.0104"
"GO:0006721","terpenoid metabolic process",5,1,0.36,413,"0.31095","0.0104","0.0104"
"GO:0016101","diterpenoid metabolic process",5,1,0.36,414,"0.31095","0.0104","0.0104"
"GO:0015893","drug transport",9,3,0.65,28,"0.02207","0.0107","0.0107"
"GO:0006650","glycerophospholipid metabolic process",33,1,2.37,1306,"0.91567","0.0108","0.0108"
"GO:0019627","urea metabolic process",3,2,0.22,21,"0.01462","0.0119","0.0119"
"GO:0010883","regulation of lipid storage",4,1,0.29,251,"0.25762","0.0128","0.0128"
"GO:0010889","regulation of sequestering of triglyceri...",4,1,0.29,252,"0.25762","0.0128","0.0128"
"GO:0030730","sequestering of triglyceride",4,1,0.29,253,"0.25762","0.0128","0.0128"
"GO:0006654","phosphatidic acid biosynthetic process",3,1,0.22,154,"0.20018","0.0135","0.0135"
"GO:0046473","phosphatidic acid metabolic process",3,1,0.22,155,"0.20018","0.0135","0.0135"
"GO:0006338","chromatin remodeling",18,1,1.29,1096,"0.73934","0.0136","0.0136"
"GO:0005975","carbohydrate metabolic process",85,13,6.1,13,"0.00645","0.0142","0.0142"
"GO:1904062","regulation of cation transmembrane trans...",19,2,1.36,585,"0.40032","0.0144","0.0144"
"GO:0006816","calcium ion transport",25,1,1.79,1247,"0.84591","0.0152","0.0152"
"GO:0006644","phospholipid metabolic process",45,2,3.23,1245,"0.84538","0.0166","0.0166"
"GO:0042391","regulation of membrane potential",16,1,1.15,1024,"0.69719","0.0170","0.0170"
"GO:2001257","regulation of cation channel activity",16,2,1.15,481,"0.32033","0.0170","0.0170"
"GO:0010959","regulation of metal ion transport",13,1,0.93,922,"0.62092","0.0190","0.0190"
"GO:0051924","regulation of calcium ion transport",10,1,0.72,786,"0.52559","0.0193","0.0193"
"GO:0006040","amino sugar metabolic process",12,3,0.86,53,"0.04931","0.0196","0.0196"
"GO:1901071","glucosamine-containing compound metaboli...",12,3,0.86,54,"0.04931","0.0196","0.0196"
"GO:0051091","positive regulation of DNA-binding trans...",13,3,0.93,59,"0.06082","0.0200","0.0200"
"GO:0009581","detection of external stimulus",15,2,1.08,402,"0.29302","0.0204","0.0204"
"GO:0009582","detection of abiotic stimulus",15,2,1.08,403,"0.29302","0.0204","0.0204"
"GO:0002115","store-operated calcium entry",4,1,0.29,254,"0.25762","0.0204","0.0204"
"GO:2001256","regulation of store-operated calcium ent...",4,1,0.29,255,"0.25762","0.0204","0.0204"
"GO:0015807","L-amino acid transport",4,3,0.29,3,"0.00138","0.0234","0.0234"
"GO:1902475","L-alpha-amino acid transmembrane transpo...",4,3,0.29,4,"0.00138","0.0234","0.0234"
"GO:0007275","multicellular organism development",302,23,21.66,649,"0.41115","0.0238","0.0238"
"GO:0015695","organic cation transport",4,2,0.29,33,"0.02787","0.0267","0.0267"
"GO:0046148","pigment biosynthetic process",5,2,0.36,49,"0.04428","0.0268","0.0268"
"GO:0006629","lipid metabolic process",136,10,9.75,776,"0.51720","0.0027","0.0270"
"GO:0019318","hexose metabolic process",19,5,1.36,14,"0.00911","0.0281","0.0281"
"GO:0009308","amine metabolic process",6,2,0.43,62,"0.06334","0.0290","0.0290"
"GO:0044106","cellular amine metabolic process",6,2,0.43,63,"0.06334","0.0290","0.0290"
"GO:0006638","neutral lipid metabolic process",6,2,0.43,64,"0.06334","0.0292","0.0292"
"GO:0006639","acylglycerol metabolic process",6,2,0.43,65,"0.06334","0.0292","0.0292"
"GO:0046461","neutral lipid catabolic process",6,2,0.43,66,"0.06334","0.0292","0.0292"
"GO:0046464","acylglycerol catabolic process",6,2,0.43,67,"0.06334","0.0292","0.0292"
"GO:0005996","monosaccharide metabolic process",22,6,1.58,9,"0.00354","0.0315","0.0315"
"GO:0060998","regulation of dendritic spine developmen...",9,1,0.65,726,"0.48879","0.0323","0.0323"
"GO:0046486","glycerolipid metabolic process",39,2,2.8,1158,"0.78217","0.0329","0.0329"
"GO:0044242","cellular lipid catabolic process",21,5,1.51,18,"0.01419","0.0332","0.0332"
"GO:0006820","anion transport",40,6,2.87,61,"0.06238","0.0335","0.0335"
"GO:0046503","glycerolipid catabolic process",9,2,0.65,104,"0.13204","0.0349","0.0349"
"GO:0050982","detection of mechanical stimulus",6,1,0.43,512,"0.36047","0.0359","0.0359"
"GO:0016042","lipid catabolic process",27,5,1.94,44,"0.03973","0.0374","0.0374"
"GO:0030258","lipid modification",20,2,1.43,657,"0.42604","0.0375","0.0375"
"GO:0048856","anatomical structure development",325,25,23.31,579,"0.38320","0.0376","0.0376"
"GO:0051606","detection of stimulus",19,2,1.36,586,"0.40032","0.0387","0.0387"
"GO:0006874","cellular calcium ion homeostasis",16,1,1.15,1025,"0.69719","0.0389","0.0389"
