"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006633","fatty acid biosynthetic process",3,3,3,1,"1","0.0092","0.0092"
"GO:0060041","retina development in camera-type eye",5,5,5,2,"1","0.0110","0.0110"
"GO:0071804","cellular potassium ion transport",3,3,3,3,"1","0.0112","0.0112"
"GO:0071805","potassium ion transmembrane transport",3,3,3,4,"1","0.0112","0.0112"
"GO:0001654","eye development",9,9,9,5,"1","0.0261","0.0261"
"GO:0048880","sensory system development",9,9,9,6,"1","0.0261","0.0261"
"GO:0150063","visual system development",9,9,9,7,"1","0.0261","0.0261"
"GO:0001895","retina homeostasis",4,4,4,8,"1","0.0275","0.0275"
"GO:0000278","mitotic cell cycle",8,8,8,9,"1","0.0327","0.0327"
"GO:0042060","wound healing",8,8,8,10,"1","0.0327","0.0327"
