"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006281","DNA repair",96,50,25.31,4,"4.2e-08","1.4e-08","2.3e-06"
"GO:0006260","DNA replication",69,44,18.19,2,"4.4e-11","2.0e-10","2.8e-05"
"GO:0006270","DNA replication initiation",10,9,2.64,14,"4.5e-05","8.2e-05","8.2e-05"
"GO:0006261","DNA-dependent DNA replication",32,22,8.44,6,"5.5e-07","2.9e-06","0.0011"
"GO:0000398","mRNA splicing, via spliceosome",59,22,15.56,72,"0.04123","0.00118","0.0012"
"GO:0016070","RNA metabolic process",678,186,178.76,393,"0.24867","2.0e-05","0.0014"
"GO:0016567","protein ubiquitination",80,26,21.09,199,"0.12910","0.00203","0.0020"
"GO:0006310","DNA recombination",23,13,6.06,19,"0.00202","0.00238","0.0024"
"GO:0022402","cell cycle process",125,50,32.96,17,"0.00046","0.00308","0.0031"
"GO:0048511","rhythmic process",32,13,8.44,88,"0.05477","0.00392","0.0039"
"GO:0036297","interstrand cross-link repair",4,4,1.05,25,"0.00480","0.00419","0.0042"
"GO:0097237","cellular response to toxic substance",18,5,4.75,964,"0.53531","0.00425","0.0042"
"GO:0000077","DNA damage checkpoint",10,6,2.64,54,"0.02537","0.00464","0.0046"
"GO:0051726","regulation of cell cycle",91,41,23.99,15,"7.1e-05","0.00080","0.0048"
"GO:0007017","microtubule-based process",85,31,22.41,53,"0.02408","0.00427","0.0051"
"GO:0051276","chromosome organization",171,59,45.08,31,"0.00929","0.00516","0.0052"
"GO:0006302","double-strand break repair",16,9,4.22,32,"0.01060","0.00545","0.0054"
"GO:0034605","cellular response to heat",21,5,5.54,1540,"0.68574","0.00679","0.0068"
"GO:0050778","positive regulation of immune response",33,11,8.7,376,"0.23275","0.00712","0.0071"
"GO:0051052","regulation of DNA metabolic process",19,10,5.01,35,"0.01288","0.00758","0.0076"
"GO:0031109","microtubule polymerization or depolymeri...",14,4,3.69,944,"0.52650","0.00826","0.0083"
"GO:0006749","glutathione metabolic process",8,5,2.11,61,"0.03392","0.00834","0.0083"
"GO:0080134","regulation of response to stress",80,26,21.09,200,"0.12910","0.00851","0.0085"
"GO:0042542","response to hydrogen peroxide",17,5,4.48,818,"0.47840","0.00865","0.0086"
"GO:0017145","stem cell division",7,5,1.85,40,"0.01621","0.00970","0.0097"
"GO:0006400","tRNA modification",28,9,7.38,540,"0.30620","0.00984","0.0098"
"GO:0070301","cellular response to hydrogen peroxide",15,4,3.95,1077,"0.58736","0.01015","0.0101"
"GO:1900407","regulation of cellular response to oxida...",15,6,3.95,312,"0.17946","0.01015","0.0101"
"GO:0033044","regulation of chromosome organization",29,13,7.65,51,"0.02378","0.01043","0.0104"
"GO:1903311","regulation of mRNA metabolic process",22,6,5.8,975,"0.54270","0.01053","0.0105"
"GO:0042026","protein refolding",20,6,5.27,774,"0.43841","0.01195","0.0120"
"GO:0051338","regulation of transferase activity",37,14,9.76,118,"0.08303","0.01199","0.0120"
"GO:0000819","sister chromatid segregation",24,13,6.33,21,"0.00336","0.01212","0.0121"
"GO:0046785","microtubule polymerization",13,4,3.43,792,"0.46157","0.01311","0.0131"
"GO:2001234","negative regulation of apoptotic signali...",13,5,3.43,380,"0.24118","0.01311","0.0131"
"GO:0000075","cell cycle checkpoint",24,15,6.33,16,"0.00020","0.00015","0.0131"
"GO:0006954","inflammatory response",8,4,2.11,201,"0.13325","0.01319","0.0132"
"GO:0007059","chromosome segregation",30,15,7.91,24,"0.00456","0.01326","0.0133"
"GO:0007093","mitotic cell cycle checkpoint",14,8,3.69,37,"0.01417","0.01366","0.0137"
"GO:0080135","regulation of cellular response to stres...",55,19,14.5,151,"0.11002","0.01510","0.0151"
"GO:0002697","regulation of immune effector process",14,3,3.69,1827,"0.75711","0.01531","0.0153"
"GO:1900408","negative regulation of cellular response...",14,6,3.69,219,"0.13668","0.01531","0.0153"
"GO:1902883","negative regulation of response to oxida...",14,6,3.69,220,"0.13668","0.01531","0.0153"
"GO:1903201","regulation of oxidative stress-induced c...",14,5,3.69,531,"0.29924","0.01531","0.0153"
"GO:2001023","regulation of response to drug",14,4,3.69,945,"0.52650","0.01531","0.0153"
"GO:0006396","RNA processing",221,62,58.27,535,"0.30078","3.2e-05","0.0155"
"GO:0007178","transmembrane receptor protein serine/th...",19,6,5.01,631,"0.38441","0.01705","0.0171"
"GO:0006352","DNA-templated transcription, initiation",30,11,7.91,242,"0.14088","0.01712","0.0171"
"GO:0071806","protein transmembrane transport",20,6,5.27,775,"0.43841","0.01712","0.0171"
"GO:2001252","positive regulation of chromosome organi...",11,6,2.9,76,"0.04359","0.01764","0.0176"
"GO:0043101","purine-containing compound salvage",4,3,1.05,92,"0.05868","0.01770","0.0177"
"GO:0000070","mitotic sister chromatid segregation",18,10,4.75,29,"0.00794","0.01771","0.0177"
"GO:2001020","regulation of response to DNA damage sti...",13,7,3.43,57,"0.03190","0.01809","0.0181"
