"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0030336","negative regulation of cell migration",11,4,0.66,1,"0.0029","0.00027","0.00027"
"GO:0006468","protein phosphorylation",188,11,11.29,442,"0.5855","0.00355","0.00355"
"GO:0046903","secretion",59,7,3.54,26,"0.0600","0.00579","0.00579"
"GO:0050767","regulation of neurogenesis",37,5,2.22,30,"0.0671","0.00737","0.00737"
"GO:0035556","intracellular signal transduction",191,19,11.47,9,"0.0169","0.00916","0.00916"
"GO:0045597","positive regulation of cell differentiat...",47,2,2.82,643,"0.7853","0.01085","0.01085"
"GO:0030182","neuron differentiation",87,7,5.22,174,"0.2648","0.01172","0.01172"
"GO:0080134","regulation of response to stress",53,4,3.18,248,"0.3951","0.01378","0.01378"
"GO:0001738","morphogenesis of a polarized epithelium",13,0,0.78,830,"1.0000","0.01614","0.01614"
"GO:0007164","establishment of tissue polarity",13,0,0.78,831,"1.0000","0.01614","0.01614"
"GO:0007165","signal transduction",450,32,27.02,86,"0.1588","0.00068","0.01847"
"GO:0045664","regulation of neuron differentiation",33,5,1.98,21,"0.0442","0.01955","0.01955"
"GO:0051046","regulation of secretion",21,4,1.26,16,"0.0335","0.02235","0.02235"
"GO:0090130","tissue migration",16,1,0.96,483,"0.6300","0.02305","0.02305"
"GO:0008610","lipid biosynthetic process",56,2,3.36,703,"0.8607","0.02378","0.02378"
"GO:1902904","negative regulation of supramolecular fi...",13,2,0.78,102,"0.1813","0.02390","0.02390"
"GO:0051128","regulation of cellular component organiz...",130,8,7.81,375,"0.5266","0.02423","0.02423"
"GO:0007264","small GTPase mediated signal transductio...",61,5,3.66,196,"0.3024","0.02449","0.02449"
"GO:0051716","cellular response to stimulus",539,35,32.36,209,"0.3232","0.00081","0.02650"
"GO:0006644","phospholipid metabolic process",50,5,3,97,"0.1777","0.02777","0.02777"
"GO:0001736","establishment of planar polarity",12,0,0.72,832,"1.0000","0.02828","0.02828"
"GO:0023052","signaling",482,32,28.94,188,"0.2849","0.00161","0.02841"
"GO:0032940","secretion by cell",46,4,2.76,195,"0.2972","0.02879","0.02879"
"GO:0033043","regulation of organelle organization",81,4,4.86,596,"0.7291","0.03162","0.03162"
"GO:0090132","epithelium migration",15,1,0.9,450,"0.6062","0.03464","0.03464"
"GO:0006497","protein lipidation",12,0,0.72,833,"1.0000","0.03610","0.03610"
"GO:0042157","lipoprotein metabolic process",12,0,0.72,834,"1.0000","0.03610","0.03610"
"GO:0042158","lipoprotein biosynthetic process",12,0,0.72,835,"1.0000","0.03610","0.03610"
"GO:0046486","glycerolipid metabolic process",40,3,2.4,283,"0.4349","0.03640","0.03640"
"GO:0031344","regulation of cell projection organizati...",34,5,2.04,22,"0.0494","0.03929","0.03929"
"GO:0120035","regulation of plasma membrane bounded ce...",34,5,2.04,23,"0.0494","0.03929","0.03929"
"GO:0008202","steroid metabolic process",17,1,1.02,516,"0.6524","0.03932","0.03932"
"GO:0006836","neurotransmitter transport",23,0,1.38,836,"1.0000","0.03959","0.03959"
"GO:0007154","cell communication",488,33,29.3,159,"0.2416","0.00264","0.03972"
"GO:0007167","enzyme linked receptor protein signaling...",42,2,2.52,601,"0.7296","0.04146","0.04146"
"GO:0001667","ameboidal-type cell migration",17,1,1.02,517,"0.6524","0.04153","0.04153"
"GO:0006650","glycerophospholipid metabolic process",34,3,2.04,211,"0.3348","0.04304","0.04304"
"GO:0044087","regulation of cellular component biogene...",60,6,3.6,80,"0.1473","0.04334","0.04334"
"GO:0048666","neuron development",72,7,4.32,69,"0.1371","0.04355","0.04355"
"GO:0031175","neuron projection development",53,7,3.18,18,"0.0364","0.04378","0.04378"
"GO:0001817","regulation of cytokine production",24,2,1.44,269,"0.4277","0.04482","0.04482"
"GO:0010720","positive regulation of cell development",21,2,1.26,230,"0.3625","0.04573","0.04573"
"GO:2001234","negative regulation of apoptotic signali...",11,1,0.66,330,"0.4948","0.04606","0.04606"
"GO:0010506","regulation of autophagy",17,1,1.02,518,"0.6524","0.04686","0.04686"
"GO:0051240","positive regulation of multicellular org...",70,8,4.2,25,"0.0552","0.04788","0.04788"
"GO:0043254","regulation of protein complex assembly",27,3,1.62,138,"0.2182","0.04832","0.04832"
"GO:0090066","regulation of anatomical structure size",25,2,1.5,289,"0.4486","0.04981","0.04981"
"GO:0065008","regulation of biological quality",183,11,10.99,396,"0.5475","0.05083","0.05083"
"GO:0010631","epithelial cell migration",14,1,0.84,427,"0.5809","0.05179","0.05179"
"GO:0060341","regulation of cellular localization",38,4,2.28,115,"0.1909","0.05326","0.05326"
"GO:0032990","cell part morphogenesis",40,3,2.4,284,"0.4349","0.05358","0.05358"
"GO:0043087","regulation of GTPase activity",24,2,1.44,270,"0.4277","0.05577","0.05577"
"GO:0006629","lipid metabolic process",139,8,8.35,449,"0.6057","0.05735","0.05735"
"GO:0001505","regulation of neurotransmitter levels",24,3,1.44,94,"0.1712","0.05913","0.05913"
"GO:0007169","transmembrane receptor protein tyrosine ...",21,2,1.26,231,"0.3625","0.06011","0.06011"
"GO:0007269","neurotransmitter secretion",10,0,0.6,837,"1.0000","0.06047","0.06047"
"GO:0099643","signal release from synapse",10,0,0.6,838,"1.0000","0.06047","0.06047"
"GO:1990778","protein localization to cell periphery",12,1,0.72,360,"0.5253","0.06194","0.06194"
"GO:0007611","learning or memory",18,5,1.08,3,"0.0033","0.06240","0.06240"
"GO:0009607","response to biotic stimulus",24,2,1.44,271,"0.4277","0.06322","0.06322"
"GO:0043207","response to external biotic stimulus",24,2,1.44,272,"0.4277","0.06322","0.06322"
"GO:0051707","response to other organism",24,2,1.44,273,"0.4277","0.06322","0.06322"
"GO:0098742","cell-cell adhesion via plasma-membrane a...",17,3,1.02,31,"0.0776","0.06380","0.06380"
"GO:0048812","neuron projection morphogenesis",39,3,2.34,257,"0.4185","0.06473","0.06473"
"GO:0048858","cell projection morphogenesis",39,3,2.34,258,"0.4185","0.06473","0.06473"
"GO:0120039","plasma membrane bounded cell projection ...",39,3,2.34,259,"0.4185","0.06473","0.06473"
"GO:0048514","blood vessel morphogenesis",26,2,1.56,314,"0.4692","0.06597","0.06597"
"GO:0050890","cognition",21,5,1.26,7,"0.0067","0.06675","0.06675"
"GO:0046578","regulation of Ras protein signal transdu...",31,2,1.86,418,"0.5646","0.06677","0.06677"
"GO:0050769","positive regulation of neurogenesis",19,2,1.14,203,"0.3176","0.06816","0.06816"
"GO:0072001","renal system development",14,1,0.84,428,"0.5809","0.07095","0.07095"
"GO:1902275","regulation of chromatin organization",12,0,0.72,839,"1.0000","0.07161","0.07161"
"GO:0022603","regulation of anatomical structure morph...",44,3,2.64,350,"0.4985","0.07236","0.07236"
"GO:0010033","response to organic substance",116,7,6.97,398,"0.5535","0.07237","0.07237"
"GO:0008544","epidermis development",12,0,0.72,840,"1.0000","0.07552","0.07552"
"GO:0048738","cardiac muscle tissue development",16,1,0.96,484,"0.6300","0.07559","0.07559"
"GO:0044272","sulfur compound biosynthetic process",10,2,0.6,49,"0.1174","0.07719","0.07719"
"GO:0007010","cytoskeleton organization",105,4,6.3,744,"0.8877","0.07776","0.07776"
"GO:0072659","protein localization to plasma membrane",11,1,0.66,331,"0.4948","0.07819","0.07819"
"GO:0050821","protein stabilization",11,0,0.66,841,"1.0000","0.07819","0.07819"
"GO:0006470","protein dephosphorylation",34,4,2.04,78,"0.1434","0.07953","0.07953"
"GO:0070887","cellular response to chemical stimulus",112,8,6.73,229,"0.3577","0.08143","0.08143"
"GO:0031349","positive regulation of defense response",11,1,0.66,332,"0.4948","0.08207","0.08207"
"GO:0045089","positive regulation of innate immune res...",11,1,0.66,333,"0.4948","0.08207","0.08207"
"GO:0050768","negative regulation of neurogenesis",10,2,0.6,50,"0.1174","0.08490","0.08490"
"GO:0046488","phosphatidylinositol metabolic process",21,2,1.26,232,"0.3625","0.08811","0.08811"
"GO:0051668","localization within membrane",11,4,0.66,2,"0.0029","0.09010","0.09010"
"GO:0032101","regulation of response to external stimu...",14,0,0.84,842,"1.0000","0.09033","0.09033"
"GO:0051093","negative regulation of developmental pro...",48,4,2.88,210,"0.3250","0.09101","0.09101"
"GO:0060537","muscle tissue development",29,1,1.74,684,"0.8360","0.09178","0.09178"
"GO:0051047","positive regulation of secretion",13,3,0.78,19,"0.0388","0.09280","0.09280"
"GO:0080135","regulation of cellular response to stres...",30,2,1.8,389,"0.5465","0.09466","0.09466"
"GO:0032271","regulation of protein polymerization",21,2,1.26,233,"0.3625","0.09617","0.09617"
"GO:0044255","cellular lipid metabolic process",98,6,5.88,387,"0.5433","0.09809","0.09809"
"GO:0031056","regulation of histone modification",11,0,0.66,843,"1.0000","0.09964","0.09964"
"GO:0010975","regulation of neuron projection developm...",22,5,1.32,8,"0.0083","0.10091","0.10091"
"GO:0016049","cell growth",22,1,1.32,608,"0.7457","0.10091","0.10091"
"GO:0006887","exocytosis",24,1,1.44,634,"0.7756","0.10099","0.10099"
"GO:0051129","negative regulation of cellular componen...",42,4,2.52,160,"0.2426","0.10115","0.10115"
"GO:0044089","positive regulation of cellular componen...",37,4,2.22,99,"0.1786","0.10146","0.10146"
"GO:1903829","positive regulation of cellular protein ...",14,0,0.84,844,"1.0000","0.10154","0.10154"
"GO:0043062","extracellular structure organization",14,2,0.84,120,"0.2037","0.10404","0.10404"
"GO:0031329","regulation of cellular catabolic process",34,2,2.04,474,"0.6158","0.10591","0.10591"
"GO:0051494","negative regulation of cytoskeleton orga...",14,2,0.84,121,"0.2037","0.10591","0.10591"
"GO:0006694","steroid biosynthetic process",14,0,0.84,845,"1.0000","0.10619","0.10619"
"GO:0016197","endosomal transport",24,2,1.44,274,"0.4277","0.10703","0.10703"
"GO:1903530","regulation of secretion by cell",16,3,0.96,27,"0.0667","0.10745","0.10745"
"GO:0006793","phosphorus metabolic process",352,22,21.14,296,"0.4549","0.00869","0.11112"
"GO:0044770","cell cycle phase transition",17,1,1.02,519,"0.6524","0.11161","0.11161"
"GO:0051258","protein polymerization",24,2,1.44,275,"0.4277","0.11483","0.11483"
"GO:0010769","regulation of cell morphogenesis involve...",13,1,0.78,399,"0.5540","0.11668","0.11668"
"GO:0050896","response to stimulus",641,41,38.49,222,"0.3416","0.00700","0.11783"
"GO:0008284","positive regulation of cell proliferatio...",25,3,1.5,114,"0.1866","0.11845","0.11845"
