"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006412","translation",205,5,6.63,1244,"0.8050","1.1e-16","3.3e-15"
"GO:0006807","nitrogen compound metabolic process",1724,54,55.76,1173,"0.6843","1.9e-07","0.00013"
"GO:0000387","spliceosomal snRNP assembly",9,0,0.29,1336,"1.0000","0.00412","0.00412"
"GO:0006418","tRNA aminoacylation for protein translat...",30,1,0.97,1128,"0.6289","0.00482","0.00482"
"GO:0007622","rhythmic behavior",4,0,0.13,1337,"1.0000","0.00517","0.00517"
"GO:0009147","pyrimidine nucleoside triphosphate metab...",4,0,0.13,1338,"1.0000","0.00562","0.00562"
"GO:0046131","pyrimidine ribonucleoside metabolic proc...",4,0,0.13,1339,"1.0000","0.00562","0.00562"
"GO:0044238","primary metabolic process",1794,57,58.03,1135,"0.6293","5.8e-05","0.00583"
"GO:0046129","purine ribonucleoside biosynthetic proce...",4,0,0.13,1340,"1.0000","0.00668","0.00668"
"GO:0043170","macromolecule metabolic process",1556,44,50.33,1294,"0.9219","3.3e-05","0.00816"
"GO:0050663","cytokine secretion",3,1,0.1,226,"0.0940","0.00908","0.00908"
"GO:0050729","positive regulation of inflammatory resp...",3,0,0.1,1341,"1.0000","0.00908","0.00908"
"GO:0043101","purine-containing compound salvage",4,1,0.13,333,"0.1233","0.00911","0.00911"
"GO:0070646","protein modification by small protein re...",19,1,0.61,974,"0.4656","0.01000","0.01000"
"GO:0034641","cellular nitrogen compound metabolic pro...",1118,28,36.16,1319,"0.9699","4.6e-06","0.01024"
"GO:0006220","pyrimidine nucleotide metabolic process",8,0,0.26,1342,"1.0000","0.01223","0.01223"
"GO:0040029","regulation of gene expression, epigeneti...",27,1,0.87,1100,"0.5901","0.01380","0.01380"
"GO:0006221","pyrimidine nucleotide biosynthetic proce...",5,0,0.16,1343,"1.0000","0.01473","0.01473"
"GO:0006476","protein deacetylation",7,0,0.23,1344,"1.0000","0.01537","0.01537"
"GO:0016575","histone deacetylation",7,0,0.23,1345,"1.0000","0.01537","0.01537"
"GO:0030098","lymphocyte differentiation",4,2,0.13,7,"0.0060","0.01778","0.01778"
