"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006355","regulation of transcription, DNA-templat...",451,151,116.78,6,"4.9e-05","2.7e-05","2.7e-05"
"GO:0006260","DNA replication",71,36,18.38,2,"5.0e-06","5.2e-10","0.00011"
"GO:0006325","chromatin organization",135,39,34.96,211,"0.23526","0.00040","0.00040"
"GO:0006261","DNA-dependent DNA replication",35,17,9.06,36,"0.00308","3.1e-06","0.00111"
"GO:0006270","DNA replication initiation",10,7,2.59,39,"0.00428","0.00117","0.00117"
"GO:0006281","DNA repair",106,40,27.45,38,"0.00413","0.00149","0.00149"
"GO:0051276","chromosome organization",197,56,51.01,198,"0.22254","3.6e-06","0.00167"
"GO:0000075","cell cycle checkpoint",24,10,6.21,89,"0.06663","0.00433","0.00433"
"GO:0030838","positive regulation of actin filament po...",13,8,3.37,44,"0.00698","0.00486","0.00486"
"GO:0000278","mitotic cell cycle",92,29,23.82,137,"0.12945","0.00603","0.00603"
"GO:0016071","mRNA metabolic process",115,36,29.78,112,"0.10790","0.00615","0.00615"
"GO:0044770","cell cycle phase transition",34,11,8.8,231,"0.24666","0.00781","0.00781"
"GO:0044772","mitotic cell cycle phase transition",30,10,7.77,209,"0.22926","0.01032","0.01032"
"GO:0002066","columnar/cuboidal epithelial cell develo...",15,6,3.88,159,"0.16812","0.01150","0.01150"
"GO:0000077","DNA damage checkpoint",10,2,2.59,722,"0.77602","0.01534","0.01534"
"GO:0033044","regulation of chromosome organization",34,13,8.8,92,"0.07635","0.01670","0.01670"
"GO:0008380","RNA splicing",73,24,18.9,113,"0.10816","0.01728","0.01728"
"GO:0006030","chitin metabolic process",29,14,7.51,47,"0.00757","0.01888","0.01888"
"GO:2001252","positive regulation of chromosome organi...",13,3,3.37,628,"0.69431","0.01987","0.01987"
"GO:1901987","regulation of cell cycle phase transitio...",20,7,5.18,214,"0.24246","0.01990","0.01990"
"GO:0033047","regulation of mitotic sister chromatid s...",10,5,2.59,99,"0.08860","0.02008","0.02008"
"GO:1903047","mitotic cell cycle process",78,22,20.2,315,"0.35972","0.02150","0.02150"
"GO:0031570","DNA integrity checkpoint",15,5,3.88,306,"0.34309","0.02177","0.02177"
"GO:0000375","RNA splicing, via transesterification re...",59,21,15.28,81,"0.06150","0.02228","0.02228"
"GO:0000377","RNA splicing, via transesterification re...",59,21,15.28,82,"0.06150","0.02228","0.02228"
"GO:0000398","mRNA splicing, via spliceosome",59,21,15.28,83,"0.06150","0.02228","0.02228"
"GO:0045010","actin nucleation",11,6,2.85,69,"0.04009","0.02459","0.02459"
