"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0055114","oxidation-reduction process",193,92,59.16,1,"1.7e-07","7.9e-07","7.9e-07"
"GO:0055085","transmembrane transport",289,125,88.59,2,"9.4e-07","3.3e-08","1.2e-06"
"GO:0015991","ATP hydrolysis coupled proton transport",16,13,4.9,5,"4.1e-05","8.9e-06","8.9e-06"
"GO:0005975","carbohydrate metabolic process",86,45,26.36,4,"1.6e-05","1.9e-05","1.9e-05"
"GO:0009108","coenzyme biosynthetic process",39,23,11.96,13,"0.00021","0.00013","0.0016"
"GO:0032787","monocarboxylic acid metabolic process",47,23,14.41,38,"0.00610","0.00261","0.0026"
"GO:0055082","cellular chemical homeostasis",29,15,8.89,63,"0.01384","0.00447","0.0045"
"GO:0006739","NADP metabolic process",5,5,1.53,24,"0.00268","0.00448","0.0045"
"GO:0009064","glutamine family amino acid metabolic pr...",10,6,3.07,117,"0.05196","0.00506","0.0051"
"GO:0061077","chaperone-mediated protein folding",12,8,3.68,49,"0.01075","0.00546","0.0055"
"GO:0046394","carboxylic acid biosynthetic process",41,21,12.57,29,"0.00442","0.00604","0.0060"
"GO:1901135","carbohydrate derivative metabolic proces...",187,79,57.32,14,"0.00032","0.00144","0.0067"
"GO:0009069","serine family amino acid metabolic proce...",8,6,2.45,60,"0.01253","0.00705","0.0071"
"GO:1901606","alpha-amino acid catabolic process",17,10,5.21,65,"0.01459","0.00754","0.0075"
"GO:0006081","cellular aldehyde metabolic process",13,9,3.99,31,"0.00464","0.00851","0.0085"
"GO:0006189","'de novo' IMP biosynthetic process",3,3,0.92,81,"0.02872","0.00854","0.0085"
"GO:0071616","acyl-CoA biosynthetic process",5,4,1.53,103,"0.03317","0.00857","0.0086"
"GO:1903202","negative regulation of oxidative stress-...",6,5,1.84,52,"0.01200","0.00950","0.0095"
"GO:0051187","cofactor catabolic process",6,4,1.84,142,"0.07553","0.00955","0.0095"
"GO:0017144","drug metabolic process",107,45,32.8,40,"0.00701","0.01019","0.0102"
"GO:0006098","pentose-phosphate shunt",4,4,1.23,42,"0.00878","0.01323","0.0132"
"GO:0019682","glyceraldehyde-3-phosphate metabolic pro...",4,4,1.23,43,"0.00878","0.01323","0.0132"
"GO:0051156","glucose 6-phosphate metabolic process",4,4,1.23,44,"0.00878","0.01323","0.0132"
"GO:0006873","cellular ion homeostasis",26,13,7.97,92,"0.02966","0.01343","0.0134"
"GO:0030003","cellular cation homeostasis",26,13,7.97,93,"0.02966","0.01343","0.0134"
"GO:0006458","'de novo' protein folding",7,4,2.15,252,"0.13435","0.01473","0.0147"
"GO:0021549","cerebellum development",7,5,2.15,96,"0.03141","0.01473","0.0147"
"GO:0022037","metencephalon development",7,5,2.15,97,"0.03141","0.01473","0.0147"
"GO:0051084","'de novo' posttranslational protein fold...",7,4,2.15,253,"0.13435","0.01473","0.0147"
"GO:0051085","chaperone cofactor-dependent protein ref...",7,4,2.15,254,"0.13435","0.01473","0.0147"
"GO:0010035","response to inorganic substance",27,15,8.28,36,"0.00595","0.01723","0.0172"
"GO:0071277","cellular response to calcium ion",3,3,0.92,82,"0.02872","0.01781","0.0178"
"GO:0006875","cellular metal ion homeostasis",24,12,7.36,110,"0.03620","0.01877","0.0188"
"GO:0006541","glutamine metabolic process",4,4,1.23,45,"0.00878","0.01932","0.0193"
"GO:0006720","isoprenoid metabolic process",22,12,6.74,68,"0.01634","0.02044","0.0204"
"GO:0072525","pyridine-containing compound biosyntheti...",17,10,5.21,66,"0.01459","0.02163","0.0216"
"GO:0002931","response to ischemia",3,3,0.92,83,"0.02872","0.02198","0.0220"
"GO:0006084","acetyl-CoA metabolic process",6,5,1.84,53,"0.01200","0.02245","0.0224"
"GO:0042542","response to hydrogen peroxide",8,6,2.45,61,"0.01253","0.02332","0.0233"
"GO:0006811","ion transport",209,85,64.07,18,"0.00083","0.00209","0.0238"
"GO:0006777","Mo-molybdopterin cofactor biosynthetic p...",3,3,0.92,84,"0.02872","0.02574","0.0257"
"GO:0019720","Mo-molybdopterin cofactor metabolic proc...",3,3,0.92,85,"0.02872","0.02574","0.0257"
"GO:0043545","molybdopterin cofactor metabolic process",3,3,0.92,86,"0.02872","0.02574","0.0257"
"GO:0051189","prosthetic group metabolic process",3,3,0.92,87,"0.02872","0.02574","0.0257"
"GO:0001819","positive regulation of cytokine producti...",5,4,1.53,104,"0.03317","0.02616","0.0262"
"GO:0021680","cerebellar Purkinje cell layer developme...",4,3,1.23,161,"0.08855","0.02761","0.0276"
"GO:0021695","cerebellar cortex development",4,3,1.23,162,"0.08855","0.02761","0.0276"
"GO:0009072","aromatic amino acid family metabolic pro...",14,7,4.29,220,"0.10238","0.02788","0.0279"
"GO:0006546","glycine catabolic process",3,3,0.92,88,"0.02872","0.02858","0.0286"
"GO:0009071","serine family amino acid catabolic proce...",3,3,0.92,89,"0.02872","0.02858","0.0286"
"GO:0044282","small molecule catabolic process",36,17,11.04,78,"0.02612","0.00237","0.0309"
"GO:0045765","regulation of angiogenesis",9,4,2.76,535,"0.28517","0.03157","0.0316"
"GO:1901342","regulation of vasculature development",9,4,2.76,536,"0.28517","0.03157","0.0316"
"GO:0008299","isoprenoid biosynthetic process",12,6,3.68,248,"0.12792","0.03261","0.0326"
"GO:0008652","cellular amino acid biosynthetic process",13,7,3.99,138,"0.06883","0.03329","0.0333"
"GO:1901607","alpha-amino acid biosynthetic process",13,7,3.99,139,"0.06883","0.03329","0.0333"
"GO:0032011","ARF protein signal transduction",4,2,1.23,597,"0.35982","0.03500","0.0350"
"GO:0032012","regulation of ARF protein signal transdu...",4,2,1.23,598,"0.35982","0.03500","0.0350"
"GO:0055086","nucleobase-containing small molecule met...",106,50,32.49,12,"0.00019","0.00039","0.0355"
"GO:0006568","tryptophan metabolic process",4,3,1.23,163,"0.08855","0.03576","0.0358"
"GO:0006569","tryptophan catabolic process",4,3,1.23,164,"0.08855","0.03576","0.0358"
"GO:0006586","indolalkylamine metabolic process",4,3,1.23,165,"0.08855","0.03576","0.0358"
"GO:0009310","amine catabolic process",4,3,1.23,166,"0.08855","0.03576","0.0358"
"GO:0042402","cellular biogenic amine catabolic proces...",4,3,1.23,167,"0.08855","0.03576","0.0358"
"GO:0042430","indole-containing compound metabolic pro...",4,3,1.23,168,"0.08855","0.03576","0.0358"
"GO:0042436","indole-containing compound catabolic pro...",4,3,1.23,169,"0.08855","0.03576","0.0358"
"GO:0046218","indolalkylamine catabolic process",4,3,1.23,170,"0.08855","0.03576","0.0358"
"GO:0006959","humoral immune response",4,3,1.23,171,"0.08855","0.03638","0.0364"
"GO:0009620","response to fungus",4,2,1.23,599,"0.35982","0.03638","0.0364"
"GO:0051054","positive regulation of DNA metabolic pro...",4,3,1.23,172,"0.08855","0.03638","0.0364"
"GO:0006085","acetyl-CoA biosynthetic process",4,3,1.23,173,"0.08855","0.03785","0.0378"
"GO:0009607","response to biotic stimulus",26,13,7.97,94,"0.02966","0.03814","0.0381"
"GO:0006544","glycine metabolic process",5,4,1.53,105,"0.03317","0.03888","0.0389"
"GO:0071236","cellular response to antibiotic",9,6,2.76,80,"0.02791","0.04255","0.0425"
"GO:0043207","response to external biotic stimulus",24,12,7.36,111,"0.03620","0.04391","0.0439"
"GO:0051707","response to other organism",24,12,7.36,112,"0.03620","0.04391","0.0439"
"GO:0045766","positive regulation of angiogenesis",7,4,2.15,255,"0.13435","0.04484","0.0448"
"GO:1904018","positive regulation of vasculature devel...",7,4,2.15,256,"0.13435","0.04484","0.0448"
"GO:0006760","folic acid-containing compound metabolic...",4,3,1.23,174,"0.08855","0.04512","0.0451"
"GO:0042026","protein refolding",8,5,2.45,120,"0.06289","0.04514","0.0451"
"GO:0010332","response to gamma radiation",3,3,0.92,90,"0.02872","0.04517","0.0452"
"GO:0071480","cellular response to gamma radiation",3,3,0.92,91,"0.02872","0.04517","0.0452"
"GO:0006879","cellular iron ion homeostasis",4,3,1.23,175,"0.08855","0.04707","0.0471"
"GO:0018958","phenol-containing compound metabolic pro...",5,3,1.53,293,"0.17162","0.04727","0.0473"
"GO:0050801","ion homeostasis",36,15,11.04,223,"0.10536","0.04917","0.0492"
"GO:0072321","chaperone-mediated protein transport",5,2,1.53,801,"0.48529","0.04927","0.0493"
"GO:2001024","negative regulation of response to drug",5,3,1.53,294,"0.17162","0.04927","0.0493"
"GO:0016054","organic acid catabolic process",29,16,8.89,34,"0.00496","0.00126","0.0509"
"GO:0046395","carboxylic acid catabolic process",29,16,8.89,35,"0.00496","0.00126","0.0509"
"GO:0006874","cellular calcium ion homeostasis",18,9,5.52,135,"0.06677","0.05110","0.0511"
"GO:0055080","cation homeostasis",33,14,10.12,218,"0.10119","0.05143","0.0514"
"GO:0098771","inorganic ion homeostasis",33,14,10.12,219,"0.10119","0.05143","0.0514"
"GO:0070507","regulation of microtubule cytoskeleton o...",8,5,2.45,121,"0.06289","0.05366","0.0537"
"GO:0055065","metal ion homeostasis",27,12,8.28,212,"0.09063","0.05454","0.0545"
"GO:0048511","rhythmic process",15,6,4.6,566,"0.29742","0.05469","0.0547"
"GO:0006629","lipid metabolic process",182,68,55.79,79,"0.02645","0.05489","0.0549"
"GO:0005996","monosaccharide metabolic process",21,9,6.44,290,"0.16285","0.05510","0.0551"
"GO:0033108","mitochondrial respiratory chain complex ...",12,4,3.68,871,"0.52777","0.05526","0.0553"
"GO:0006576","cellular biogenic amine metabolic proces...",8,5,2.45,122,"0.06289","0.05561","0.0556"
"GO:0002697","regulation of immune effector process",8,5,2.45,123,"0.06289","0.05648","0.0565"
"GO:0008037","cell recognition",8,5,2.45,124,"0.06289","0.05648","0.0565"
"GO:0071241","cellular response to inorganic substance",8,5,2.45,125,"0.06289","0.05648","0.0565"
"GO:0071248","cellular response to metal ion",8,5,2.45,126,"0.06289","0.05648","0.0565"
"GO:0051402","neuron apoptotic process",8,5,2.45,127,"0.06289","0.05720","0.0572"
"GO:0007623","circadian rhythm",10,3,3.07,1003,"0.63488","0.05765","0.0577"
"GO:1901568","fatty acid derivative metabolic process",6,4,1.84,143,"0.07553","0.05921","0.0592"
"GO:0042558","pteridine-containing compound metabolic ...",7,4,2.15,257,"0.13435","0.06024","0.0602"
"GO:0000096","sulfur amino acid metabolic process",3,2,0.92,351,"0.22419","0.06189","0.0619"
"GO:0000097","sulfur amino acid biosynthetic process",3,2,0.92,352,"0.22419","0.06189","0.0619"
"GO:0006563","L-serine metabolic process",3,2,0.92,353,"0.22419","0.06189","0.0619"
"GO:0010038","response to metal ion",20,11,6.13,72,"0.01979","0.06414","0.0641"
"GO:0009311","oligosaccharide metabolic process",8,5,2.45,128,"0.06289","0.06562","0.0656"
"GO:0097237","cellular response to toxic substance",8,5,2.45,129,"0.06289","0.06612","0.0661"
"GO:0021575","hindbrain morphogenesis",3,2,0.92,354,"0.22419","0.06780","0.0678"
"GO:0021587","cerebellum morphogenesis",3,2,0.92,355,"0.22419","0.06780","0.0678"
"GO:0009084","glutamine family amino acid biosynthetic...",3,2,0.92,356,"0.22419","0.06826","0.0683"
"GO:0040019","positive regulation of embryonic develop...",4,3,1.23,176,"0.08855","0.07146","0.0715"
"GO:0072524","pyridine-containing compound metabolic p...",22,14,6.74,23,"0.00136","0.00221","0.0724"
