"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0050766","positive regulation of phagocytosis",11,10,7.13,102,"0.0587","5.0e-07","5.0e-07"
"GO:0010667","negative regulation of cardiac muscle ce...",10,9,6.48,151,"0.0837","1.4e-06","1.4e-06"
"GO:0021549","cerebellum development",16,14,10.37,76,"0.0432","1.6e-06","1.6e-06"
"GO:0061077","chaperone-mediated protein folding",17,15,11.02,50,"0.0312","4.0e-06","4.0e-06"
"GO:0048026","positive regulation of mRNA splicing, vi...",10,9,6.48,152,"0.0837","5.2e-06","5.2e-06"
"GO:0048488","synaptic vesicle endocytosis",11,10,7.13,103,"0.0587","5.8e-06","5.8e-06"
"GO:0006458","'de novo' protein folding",11,10,7.13,104,"0.0587","6.4e-06","6.4e-06"
"GO:0006468","protein phosphorylation",203,150,131.57,1,"0.0025","4.4e-07","1.0e-05"
"GO:0034605","cellular response to heat",15,14,9.72,22,"0.0135","1.6e-05","1.6e-05"
"GO:0032355","response to estradiol",12,10,7.78,257,"0.1475","2.0e-05","2.0e-05"
"GO:0001912","positive regulation of leukocyte mediate...",10,8,6.48,408,"0.2571","3.0e-05","3.0e-05"
"GO:0002708","positive regulation of lymphocyte mediat...",10,8,6.48,409,"0.2571","3.0e-05","3.0e-05"
"GO:0014823","response to activity",10,9,6.48,153,"0.0837","3.0e-05","3.0e-05"
"GO:0019079","viral genome replication",10,9,6.48,154,"0.0837","3.0e-05","3.0e-05"
"GO:0042698","ovulation cycle",10,9,6.48,155,"0.0837","3.0e-05","3.0e-05"
"GO:0044843","cell cycle G1/S phase transition",10,8,6.48,410,"0.2571","3.0e-05","3.0e-05"
"GO:0051851","modification by host of symbiont morphol...",10,9,6.48,156,"0.0837","3.0e-05","3.0e-05"
"GO:0061635","regulation of protein complex stability",10,8,6.48,411,"0.2571","3.0e-05","3.0e-05"
"GO:0071276","cellular response to cadmium ion",10,9,6.48,157,"0.0837","3.0e-05","3.0e-05"
"GO:0072666","establishment of protein localization to...",10,8,6.48,412,"0.2571","3.0e-05","3.0e-05"
"GO:1903206","negative regulation of hydrogen peroxide...",10,9,6.48,158,"0.0837","3.0e-05","3.0e-05"
"GO:1903902","positive regulation of viral life cycle",10,8,6.48,413,"0.2571","3.0e-05","3.0e-05"
"GO:1905710","positive regulation of membrane permeabi...",10,8,6.48,414,"0.2571","3.0e-05","3.0e-05"
"GO:1903332","regulation of protein folding",12,10,7.78,258,"0.1475","3.2e-05","3.2e-05"
"GO:0042026","protein refolding",17,15,11.02,51,"0.0312","3.6e-05","3.6e-05"
"GO:0008088","axo-dendritic transport",13,9,8.43,718,"0.4946","5.5e-05","5.5e-05"
"GO:0031396","regulation of protein ubiquitination",20,18,12.96,19,"0.0114","7.6e-05","7.6e-05"
"GO:0044743","protein transmembrane import into intrac...",11,8,7.13,630,"0.4201","9.4e-05","9.4e-05"
"GO:0045471","response to ethanol",11,10,7.13,105,"0.0587","9.4e-05","9.4e-05"
"GO:0032570","response to progesterone",12,10,7.78,259,"0.1475","0.00012","0.00012"
"GO:0007088","regulation of mitotic nuclear division",11,10,7.13,106,"0.0587","0.00013","0.00013"
"GO:0044772","mitotic cell cycle phase transition",17,14,11.02,193,"0.0992","0.00021","0.00021"
"GO:0045862","positive regulation of proteolysis",20,17,12.96,73,"0.0422","0.00023","0.00023"
"GO:0007040","lysosome organization",12,9,7.78,523,"0.3411","0.00025","0.00025"
"GO:0007606","sensory perception of chemical stimulus",12,9,7.78,524,"0.3411","0.00025","0.00025"
"GO:0046777","protein autophosphorylation",12,9,7.78,525,"0.3411","0.00025","0.00025"
"GO:0030900","forebrain development",16,14,10.37,77,"0.0432","0.00037","0.00037"
"GO:0090084","negative regulation of inclusion body as...",10,9,6.48,159,"0.0837","0.00041","0.00041"
"GO:0008037","cell recognition",12,9,7.78,526,"0.3411","0.00042","0.00042"
"GO:0009566","fertilization",11,9,7.13,321,"0.1959","0.00044","0.00044"
"GO:1902115","regulation of organelle assembly",18,13,11.67,558,"0.3481","0.00044","0.00044"
"GO:0006606","protein import into nucleus",16,14,10.37,78,"0.0432","0.00045","0.00045"
"GO:0051261","protein depolymerization",16,14,10.37,79,"0.0432","0.00055","0.00055"
"GO:1902850","microtubule cytoskeleton organization in...",13,11,8.43,210,"0.1099","0.00089","0.00089"
"GO:0007041","lysosomal transport",16,13,10.37,238,"0.1297","0.00106","0.00106"
"GO:1902904","negative regulation of supramolecular fi...",18,16,11.67,33,"0.0224","0.00165","0.00165"
"GO:0007051","spindle organization",12,10,7.78,260,"0.1475","0.00202","0.00202"
"GO:0046034","ATP metabolic process",19,12,12.31,873,"0.6597","0.00289","0.00289"
"GO:0060249","anatomical structure homeostasis",22,18,14.26,126,"0.0683","0.00290","0.00290"
"GO:1903321","negative regulation of protein modificat...",10,8,6.48,415,"0.2571","0.00409","0.00409"
"GO:0007519","skeletal muscle tissue development",17,13,11.02,362,"0.2291","0.00534","0.00534"
"GO:0042594","response to starvation",21,13,13.61,922,"0.7002","0.00575","0.00575"
"GO:1901565","organonitrogen compound catabolic proces...",122,88,79.07,91,"0.0488","0.00608","0.00608"
"GO:0070507","regulation of microtubule cytoskeleton o...",13,11,8.43,211,"0.1099","0.00614","0.00614"
"GO:0051924","regulation of calcium ion transport",11,9,7.13,322,"0.1959","0.00713","0.00713"
"GO:0031647","regulation of protein stability",26,21,16.85,120,"0.0615","0.00753","0.00753"
"GO:0006508","proteolysis",205,147,132.87,31,"0.0175","0.00049","0.00783"
"GO:0001822","kidney development",22,18,14.26,127,"0.0683","0.00808","0.00808"
"GO:0046785","microtubule polymerization",11,10,7.13,107,"0.0587","0.00827","0.00827"
"GO:0051345","positive regulation of hydrolase activit...",29,23,18.8,131,"0.0698","0.00858","0.00858"
"GO:0006874","cellular calcium ion homeostasis",11,8,7.13,631,"0.4201","0.00946","0.00946"
"GO:1903573","negative regulation of response to endop...",11,10,7.13,108,"0.0587","0.00946","0.00946"
"GO:0048285","organelle fission",39,33,25.28,8,"0.0051","0.00065","0.00956"
"GO:2001243","negative regulation of intrinsic apoptot...",10,8,6.48,416,"0.2571","0.00969","0.00969"
"GO:0050778","positive regulation of immune response",27,20,17.5,347,"0.2110","0.00990","0.00990"
"GO:1903828","negative regulation of cellular protein ...",10,9,6.48,160,"0.0837","0.01000","0.01000"
"GO:0000070","mitotic sister chromatid segregation",13,11,8.43,212,"0.1099","0.01088","0.01088"
