"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006412","translation",129,129,129,1,"1","5.6e-05","5.6e-05"
"GO:0006030","chitin metabolic process",26,26,26,2,"1","6.4e-05","6.4e-05"
"GO:0030036","actin cytoskeleton organization",35,35,35,3,"1","0.00012","0.00012"
"GO:0050982","detection of mechanical stimulus",6,6,6,4,"1","0.00521","0.00521"
"GO:0051091","positive regulation of DNA-binding trans...",6,6,6,5,"1","0.00521","0.00521"
"GO:0006364","rRNA processing",19,19,19,6,"1","0.01700","0.01700"
"GO:0006936","muscle contraction",12,12,12,7,"1","0.01762","0.01762"
"GO:0003300","cardiac muscle hypertrophy",5,5,5,8,"1","0.01930","0.01930"
"GO:0014897","striated muscle hypertrophy",5,5,5,9,"1","0.01930","0.01930"
"GO:0035994","response to muscle stretch",5,5,5,10,"1","0.01930","0.01930"
