"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0055114","oxidation-reduction process",143,100,77.4,1,"5.3e-05","2.5e-08","2.5e-08"
"GO:0000070","mitotic sister chromatid segregation",15,14,8.12,4,"0.00134","0.00250","0.0025"
"GO:0044281","small molecule metabolic process",238,149,128.82,6,"0.00344","0.00035","0.0033"
"GO:0042445","hormone metabolic process",10,9,5.41,19,"0.02026","0.00419","0.0042"
"GO:0006260","DNA replication",65,48,35.18,2,"0.00076","0.00423","0.0042"
"GO:1901607","alpha-amino acid biosynthetic process",14,11,7.58,41,"0.05504","0.00482","0.0048"
"GO:0006720","isoprenoid metabolic process",19,10,10.28,413,"0.64291","0.00763","0.0076"
"GO:0007088","regulation of mitotic nuclear division",11,10,5.95,14,"0.01191","0.00779","0.0078"
"GO:0044272","sulfur compound biosynthetic process",14,9,7.58,185,"0.31282","0.01029","0.0103"
"GO:0006081","cellular aldehyde metabolic process",12,10,6.49,28,"0.03670","0.01184","0.0118"
"GO:1901987","regulation of cell cycle phase transitio...",17,14,9.2,18,"0.01521","0.01292","0.0129"
"GO:0007093","mitotic cell cycle checkpoint",11,9,5.95,46,"0.05781","0.01597","0.0160"
"GO:0005975","carbohydrate metabolic process",75,49,40.59,26,"0.03059","0.02115","0.0212"
"GO:0032787","monocarboxylic acid metabolic process",34,23,18.4,59,"0.07663","0.02468","0.0247"
"GO:1901990","regulation of mitotic cell cycle phase t...",16,13,8.66,23,"0.02363","0.02521","0.0252"
"GO:0000075","cell cycle checkpoint",18,13,9.74,64,"0.09377","0.02644","0.0264"
"GO:0006082","organic acid metabolic process",108,71,58.45,11,"0.00827","0.00410","0.0285"
"GO:0043436","oxoacid metabolic process",108,71,58.45,12,"0.00827","0.00410","0.0285"
"GO:0051090","regulation of DNA-binding transcription ...",14,8,7.58,304,"0.51950","0.02964","0.0296"
"GO:0006694","steroid biosynthetic process",12,8,6.49,160,"0.28267","0.02998","0.0300"
"GO:0071383","cellular response to steroid hormone sti...",17,11,9.2,148,"0.26499","0.03211","0.0321"
"GO:0006631","fatty acid metabolic process",24,15,12.99,158,"0.26876","0.03237","0.0324"
"GO:0044772","mitotic cell cycle phase transition",25,18,13.53,39,"0.05280","0.03601","0.0360"
"GO:0044057","regulation of system process",12,7,6.49,289,"0.50210","0.03627","0.0363"
"GO:0009116","nucleoside metabolic process",17,11,9.2,149,"0.26499","0.03660","0.0366"
"GO:1901657","glycosyl compound metabolic process",17,11,9.2,150,"0.26499","0.03660","0.0366"
"GO:0019752","carboxylic acid metabolic process",107,70,57.91,13,"0.01032","0.00580","0.0366"
"GO:0000278","mitotic cell cycle",64,46,34.64,5,"0.00250","0.00172","0.0384"
"GO:0008202","steroid metabolic process",16,9,8.66,317,"0.53467","0.04300","0.0430"
"GO:0043401","steroid hormone mediated signaling pathw...",15,10,8.12,125,"0.23826","0.04473","0.0447"
"GO:0006066","alcohol metabolic process",22,15,11.91,79,"0.13215","0.04803","0.0480"
"GO:0044770","cell cycle phase transition",28,20,15.15,34,"0.04694","0.05078","0.0508"
"GO:1903047","mitotic cell cycle process",50,38,27.06,3,"0.00108","0.00124","0.0537"
"GO:0072522","purine-containing compound biosynthetic ...",27,20,14.61,24,"0.02694","0.05596","0.0560"
"GO:0046486","glycerolipid metabolic process",35,24,18.94,47,"0.05841","0.06114","0.0611"
"GO:0051606","detection of stimulus",11,7,5.95,206,"0.37410","0.06374","0.0637"
"GO:0034660","ncRNA metabolic process",132,68,71.44,534,"0.76062","0.06383","0.0638"
"GO:0006664","glycolipid metabolic process",10,9,5.41,20,"0.02026","0.06776","0.0678"
"GO:1903509","liposaccharide metabolic process",10,9,5.41,21,"0.02026","0.06776","0.0678"
"GO:0045930","negative regulation of mitotic cell cycl...",13,10,7.04,61,"0.08232","0.06789","0.0679"
"GO:0006790","sulfur compound metabolic process",31,17,16.78,326,"0.54207","0.07027","0.0703"
"GO:0071407","cellular response to organic cyclic comp...",22,12,11.91,341,"0.57147","0.07419","0.0742"
"GO:0006397","mRNA processing",68,41,36.8,103,"0.18123","0.07420","0.0742"
"GO:1901565","organonitrogen compound catabolic proces...",120,74,64.95,40,"0.05373","0.07755","0.0775"
"GO:0044282","small molecule catabolic process",23,17,12.45,32,"0.04211","0.07765","0.0776"
"GO:0006164","purine nucleotide biosynthetic process",26,19,14.07,29,"0.03793","0.07890","0.0789"
"GO:0046474","glycerophospholipid biosynthetic process",19,15,10.28,22,"0.02309","0.08196","0.0820"
"GO:0005996","monosaccharide metabolic process",21,13,11.37,183,"0.31123","0.08251","0.0825"
"GO:1903827","regulation of cellular protein localizat...",26,19,14.07,30,"0.03793","0.08324","0.0832"
"GO:0006650","glycerophospholipid metabolic process",32,23,17.32,25,"0.03049","0.08561","0.0856"
"GO:0030522","intracellular receptor signaling pathway",11,7,5.95,207,"0.37410","0.08629","0.0863"
"GO:0014070","response to organic cyclic compound",42,21,22.73,530,"0.75754","0.08851","0.0885"
"GO:0007346","regulation of mitotic cell cycle",29,22,15.7,16,"0.01319","0.00415","0.0932"
"GO:0006497","protein lipidation",15,10,8.12,126,"0.23826","0.09528","0.0953"
"GO:0042158","lipoprotein biosynthetic process",15,10,8.12,127,"0.23826","0.09528","0.0953"
"GO:0030163","protein catabolic process",100,61,54.12,66,"0.09549","0.09555","0.0955"
"GO:0032870","cellular response to hormone stimulus",26,16,14.07,176,"0.28784","0.09725","0.0973"
"GO:0000910","cytokinesis",11,8,5.95,93,"0.17498","0.09936","0.0994"
"GO:0044839","cell cycle G2/M phase transition",12,8,6.49,161,"0.28267","0.09962","0.0996"
