"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"GO:0006030","chitin metabolic process",32,27,17.29,10,"0.00029","3.4e-07","3.4e-07"
"GO:0007156","homophilic cell adhesion via plasma memb...",14,11,7.56,217,"0.05426","0.00030","0.00030"
"GO:0001736","establishment of planar polarity",14,12,7.56,99,"0.01403","0.00086","0.00086"
"GO:0008284","positive regulation of cell proliferatio...",29,22,15.67,85,"0.01284","0.00100","0.00100"
"GO:0051127","positive regulation of actin nucleation",7,7,3.78,86,"0.01335","0.00128","0.00128"
"GO:0007163","establishment or maintenance of cell pol...",17,16,9.19,14,"0.00043","0.00173","0.00173"
"GO:0007476","imaginal disc-derived wing morphogenesis",7,7,3.78,87,"0.01335","0.00180","0.00180"
"GO:0001654","eye development",57,42,30.8,27,"0.00166","0.00181","0.00181"
"GO:0010769","regulation of cell morphogenesis involve...",19,16,10.27,52,"0.00599","0.00225","0.00225"
"GO:0048646","anatomical structure formation involved ...",80,55,43.23,46,"0.00462","0.00232","0.00232"
"GO:0042752","regulation of circadian rhythm",9,9,4.86,39,"0.00388","0.00241","0.00241"
"GO:0034446","substrate adhesion-dependent cell spread...",5,5,2.7,186,"0.04590","0.00293","0.00293"
"GO:0030036","actin cytoskeleton organization",76,53,41.06,37,"0.00336","0.00024","0.00324"
"GO:0045785","positive regulation of cell adhesion",8,8,4.32,62,"0.00720","0.00350","0.00350"
"GO:0007186","G protein-coupled receptor signaling pat...",88,58,47.55,103,"0.01444","0.00354","0.00354"
"GO:0007417","central nervous system development",76,56,41.06,9,"0.00028","0.00057","0.00375"
"GO:0033627","cell adhesion mediated by integrin",5,5,2.7,187,"0.04590","0.00397","0.00397"
"GO:1901016","regulation of potassium ion transmembran...",3,3,1.62,464,"0.15758","0.00487","0.00487"
"GO:0007411","axon guidance",23,19,12.43,40,"0.00407","0.00494","0.00494"
"GO:0061138","morphogenesis of a branching epithelium",9,8,4.86,151,"0.03374","0.00501","0.00501"
"GO:1903530","regulation of secretion by cell",22,19,11.89,26,"0.00143","0.00506","0.00506"
"GO:0042063","gliogenesis",12,10,6.48,169,"0.03618","0.00525","0.00525"
"GO:0009887","animal organ morphogenesis",85,60,45.93,24,"0.00113","0.00059","0.00530"
"GO:0070527","platelet aggregation",8,7,4.32,226,"0.05642","0.00632","0.00632"
"GO:0008544","epidermis development",14,12,7.56,100,"0.01403","0.00716","0.00716"
"GO:0005975","carbohydrate metabolic process",61,43,32.96,51,"0.00591","0.00724","0.00724"
"GO:0055085","transmembrane transport",261,163,141.02,34,"0.00229","0.00571","0.00858"
"GO:0007155","cell adhesion",104,77,56.19,1,"1.5e-05","9.6e-07","0.00862"
"GO:0032507","maintenance of protein location in cell",10,9,5.4,112,"0.01998","0.00887","0.00887"
"GO:0043062","extracellular structure organization",19,16,10.27,53,"0.00599","0.00070","0.00912"
"GO:0035152","regulation of tube architecture, open tr...",4,4,2.16,290,"0.08506","0.00943","0.00943"
"GO:0071711","basement membrane organization",4,4,2.16,291,"0.08506","0.00943","0.00943"
"GO:0050905","neuromuscular process",5,5,2.7,188,"0.04590","0.00948","0.00948"
"GO:0016319","mushroom body development",6,6,3.24,127,"0.02476","0.00969","0.00969"
"GO:0009060","aerobic respiration",17,15,9.19,36,"0.00316","0.00982","0.00982"
"GO:0072525","pyridine-containing compound biosyntheti...",12,10,6.48,170,"0.03618","0.01026","0.01026"
"GO:0003206","cardiac chamber morphogenesis",5,5,2.7,189,"0.04590","0.01117","0.01117"
"GO:0098742","cell-cell adhesion via plasma-membrane a...",27,23,14.59,17,"0.00064","0.00102","0.01120"
"GO:0097435","supramolecular fiber organization",68,45,36.74,139,"0.02687","0.00157","0.01132"
"GO:0010927","cellular component assembly involved in ...",19,14,10.27,257,"0.06545","0.01139","0.01139"
"GO:0007271","synaptic transmission, cholinergic",3,3,1.62,465,"0.15758","0.01185","0.01185"
"GO:0032222","regulation of synaptic transmission, cho...",3,3,1.62,466,"0.15758","0.01185","0.01185"
"GO:0060401","cytosolic calcium ion transport",7,7,3.78,88,"0.01335","0.01192","0.01192"
"GO:0048871","multicellular organismal homeostasis",20,16,10.81,106,"0.01495","0.01271","0.01271"
"GO:0046847","filopodium assembly",4,4,2.16,292,"0.08506","0.01305","0.01305"
"GO:0048749","compound eye development",13,11,7.02,120,"0.02265","0.01344","0.01344"
"GO:0045580","regulation of T cell differentiation",3,3,1.62,467,"0.15758","0.01392","0.01392"
"GO:0060322","head development",62,45,33.5,31,"0.00192","0.00183","0.01406"
