ens_gene,target_id
LOC111248800,XM_022801782.1
LOC111248800,XM_022801763.1
LOC111248800,XM_022801774.1
LOC111248800,XM_022801754.1
LOC111255390,XM_022817320.1
LOC111255390,XM_022817318.1
LOC111255390,XM_022817319.1
LOC111249091,XM_022802455.1
LOC111255382,XM_022817303.1
LOC111255382,XM_022817300.1
LOC111255382,XM_022817302.1
LOC111255382,XM_022817301.1
LOC111255384,XM_022817308.1
LOC111255383,XM_022817306.1
LOC111255383,XM_022817305.1
LOC111255383,XM_022817304.1
LOC111255386,XM_022817311.1
LOC111255386,XM_022817310.1
LOC111255386,XM_022817312.1
LOC111255385,XM_022817309.1
LOC111242957,XM_022787921.1
LOC111242896,XM_022787827.1
LOC111242896,XM_022787828.1
LOC111251517,XM_022808163.1
LOC111254900,XM_022816257.1
LOC111242987,XM_022787982.1
LOC111252109,XM_022809560.1
LOC111251221,XM_022807610.1
LOC111245931,XM_022794947.1
LOC111245920,XM_022794938.1
LOC111245920,XM_022794929.1
LOC111242935,XM_022787887.1
LOC111242977,XM_022787960.1
LOC111243097,XM_022788178.1
LOC111243097,XM_022788174.1
LOC111243097,XM_022788177.1
LOC111243097,XM_022788175.1
LOC111255523,XM_022817570.1
LOC111243273,XM_022788561.1
LOC111243278,XM_022788575.1
LOC111253160,XM_022812182.1
LOC111253160,XM_022812200.1
LOC111253160,XM_022812192.1
LOC111253160,XM_022812211.1
LOC111243482,XM_022789122.1
LOC111243482,XM_022789123.1
LOC111243482,XM_022789124.1
LOC111243483,XM_022789137.1
LOC111243483,XM_022789134.1
LOC111243483,XM_022789130.1
LOC111243483,XM_022789126.1
LOC111243483,XM_022789128.1
LOC111243483,XM_022789127.1
LOC111243483,XM_022789132.1
LOC111243483,XM_022789135.1
LOC111243483,XM_022789133.1
LOC111243483,XM_022789131.1
LOC111243483,XM_022789129.1
LOC111243483,XM_022789138.1
LOC111250526,XM_022805941.1
LOC111255257,XM_022817020.1
LOC111246874,XM_022797221.1
LOC111246874,XM_022797213.1
LOC111246861,XM_022797186.1
LOC111246861,XM_022797177.1
LOC111246861,XM_022797200.1
LOC111243377,XM_022788831.1
LOC111243377,XM_022788832.1
LOC111243145,XM_022788273.1
LOC111243145,XM_022788268.1
LOC111243145,XM_022788269.1
LOC111243145,XM_022788272.1
LOC111243145,XM_022788270.1
LOC111243145,XM_022788271.1
LOC111243236,XM_022788452.1
LOC111243236,XM_022788454.1
LOC111249860,XM_022804301.1
LOC111249860,XM_022804309.1
LOC111249860,XM_022804317.1
LOC111249860,XM_022804291.1
LOC111249878,XM_022804338.1
LOC111249878,XM_022804331.1
LOC111249878,XM_022804345.1
LOC111249849,XM_022804255.1
LOC111249849,XM_022804264.1
LOC111249849,XM_022804273.1
LOC111252312,XM_022809954.1
LOC111252312,XM_022809944.1
LOC111252316,XM_022809987.1
LOC111252316,XM_022809968.1
LOC111252316,XM_022809976.1
LOC111252316,XM_022809996.1
LOC111252299,XM_022809917.1
LOC111252299,XM_022809908.1
LOC111252308,XM_022809930.1
LOC111242852,XM_022787746.1
LOC111250058,XM_022804740.1
LOC111250058,XM_022804729.1
LOC111250058,XM_022804720.1
LOC111250058,XM_022804711.1
LOC111250058,XM_022804749.1
LOC111250058,XM_022804685.1
LOC111250058,XM_022804701.1
LOC111250058,XM_022804694.1
LOC111252241,XM_022809758.1
LOC111252241,XM_022809775.1
LOC111252241,XM_022809769.1
LOC111252241,XM_022809785.1
LOC111252254,XM_022809799.1
LOC111253892,XM_022814089.1
LOC111253892,XM_022814082.1
LOC111253892,XM_022814149.1
LOC111253892,XM_022814128.1
LOC111253892,XM_022814119.1
LOC111253892,XM_022814140.1
LOC111253892,XM_022814108.1
LOC111253892,XM_022814099.1
LOC111253916,XM_022814161.1
LOC111253916,XM_022814169.1
LOC111253916,XM_022814177.1
LOC111254906,XM_022816299.1
LOC111254906,XM_022816357.1
LOC111254906,XM_022816340.1
LOC111254906,XM_022816329.1
LOC111254906,XM_022816318.1
LOC111254906,XM_022816309.1
LOC111254906,XM_022816279.1
LOC111254906,XM_022816290.1
LOC111254906,XM_022816349.1
LOC111254906,XM_022816376.1
LOC111254906,XM_022816366.1
LOC111246405,XM_022795959.1
LOC111246405,XM_022795952.1
LOC111246405,XM_022795968.1
LOC111246405,XM_022795979.1
LOC111246212,XM_022795450.1
LOC111246212,XM_022795459.1
LOC111243071,XM_022788119.1
LOC111243071,XM_022788120.1
LOC111243222,XM_022788438.1
LOC111253848,XM_022813957.1
LOC111253848,XM_022813965.1
LOC111253848,XM_022813976.1
LOC111253748,XM_022813655.1
LOC111247970,XM_022799623.1
LOC111247970,XM_022799632.1
LOC111247970,XM_022799614.1
LOC111247970,XM_022799606.1
LOC111247987,XM_022799641.1
LOC111243283,XM_022788594.1
LOC111243283,XM_022788589.1
LOC111243332,XM_022788743.1
LOC111243332,XM_022788718.1
LOC111243332,XM_022788736.1
LOC111243332,XM_022788708.1
LOC111243332,XM_022788728.1
LOC111243435,XM_022788999.1
LOC111243436,XM_022789000.1
LOC111243436,XM_022789001.1
LOC111243437,XM_022789002.1
LOC111251027,XM_022807193.1
LOC111255431,XM_022817399.1
LOC111255430,XM_022817397.1
LOC111255430,XM_022817398.1
LOC111243523,XM_022789231.1
LOC111243523,XM_022789229.1
LOC111243523,XM_022789228.1
LOC111243523,XM_022789227.1
LOC111243523,XM_022789230.1
LOC111243523,XM_022789232.1
LOC111243526,XM_022789237.1
LOC111243526,XM_022789236.1
LOC111243525,XM_022789234.1
LOC111243525,XM_022789235.1
LOC111243293,XM_022788620.1
LOC111243293,XM_022788662.1
LOC111243293,XM_022788693.1
LOC111243293,XM_022788669.1
LOC111243293,XM_022788678.1
LOC111243293,XM_022788609.1
LOC111243293,XM_022788653.1
LOC111243293,XM_022788629.1
LOC111243293,XM_022788639.1
LOC111243293,XM_022788687.1
LOC111243293,XM_022788646.1
LOC111255473,XM_022817474.1
LOC111255473,XM_022817472.1
LOC111255473,XM_022817473.1
LOC111255473,XM_022817471.1
LOC111255473,XM_022817469.1
LOC111255474,XM_022817475.1
LOC111251870,XM_022808952.1
LOC111242813,XM_022787637.1
LOC111249894,XM_022804365.1
LOC111249894,XM_022804359.1
LOC111249894,XM_022804371.1
LOC111255343,XM_022817220.1
LOC111255343,XM_022817219.1
LOC111254617,XM_022815659.1
LOC111242943,XM_022787903.1
LOC111245298,XM_022793475.1
LOC111245298,XM_022793501.1
LOC111245298,XM_022793536.1
LOC111245298,XM_022793510.1
LOC111245298,XM_022793494.1
LOC111245298,XM_022793521.1
LOC111245298,XM_022793529.1
LOC111245298,XM_022793546.1
LOC111245298,XM_022793555.1
LOC111245298,XM_022793562.1
LOC111245298,XM_022793638.1
LOC111245298,XM_022793578.1
LOC111245298,XM_022793569.1
LOC111245298,XM_022793594.1
LOC111245298,XM_022793586.1
LOC111245298,XM_022793603.1
LOC111245298,XM_022793484.1
LOC111245298,XM_022793613.1
LOC111245298,XM_022793631.1
LOC111245298,XM_022793621.1
LOC111253837,XM_022813930.1
LOC111253837,XM_022813939.1
LOC111253784,XM_022813777.1
LOC111253784,XM_022813750.1
LOC111253784,XM_022813770.1
LOC111253784,XM_022813759.1
LOC111253831,XM_022813916.1
LOC111253831,XM_022813906.1
LOC111253796,XM_022813804.1
LOC111253796,XM_022813790.1
LOC111253796,XM_022813814.1
LOC111253796,XM_022813825.1
LOC111253796,XM_022813834.1
LOC111253796,XM_022813843.1
LOC111253796,XM_022813853.1
LOC111253818,XM_022813889.1
LOC111253818,XM_022813878.1
LOC111253818,XM_022813867.1
LOC111253818,XM_022813896.1
LOC111255531,XM_022817594.1
LOC111255531,XM_022817592.1
LOC111255531,XM_022817591.1
LOC111255531,XM_022817593.1
LOC111252132,XM_022809616.1
LOC111252132,XM_022809625.1
LOC111252126,XM_022809602.1
LOC111244130,XM_022790856.1
LOC111244130,XM_022790848.1
LOC111244130,XM_022790863.1
LOC111244130,XM_022790872.1
LOC111244109,XM_022790776.1
LOC111244109,XM_022790804.1
LOC111244109,XM_022790786.1
LOC111244109,XM_022790795.1
LOC111244123,XM_022790834.1
LOC111244123,XM_022790813.1
LOC111244123,XM_022790823.1
LOC111255376,XM_022817284.1
LOC111255302,XM_022817113.1
LOC111255302,XM_022817112.1
LOC111255302,XM_022817109.1
LOC111255302,XM_022817116.1
LOC111255302,XM_022817115.1
LOC111255302,XM_022817111.1
LOC111255302,XM_022817114.1
LOC111255302,XM_022817117.1
LOC111243441,XM_022789006.1
LOC111243439,XM_022789004.1
LOC111243439,XM_022789005.1
LOC111243442,XM_022789007.1
LOC111251924,XM_022809069.1
LOC111255586,XM_022817704.1
LOC111255596,XM_022817718.1
LOC111243018,XM_022788015.1
LOC111248817,XM_022801821.1
LOC111248817,XM_022801803.1
LOC111248817,XM_022801813.1
LOC111248817,XM_022801828.1
LOC111244036,XM_022790584.1
LOC111244042,XM_022790631.1
LOC111244042,XM_022790612.1
LOC111244042,XM_022790594.1
LOC111244042,XM_022790603.1
LOC111244042,XM_022790622.1
LOC111243419,XM_022788955.1
LOC111243419,XM_022788954.1
LOC111243418,XM_022788953.1
LOC111243417,XM_022788950.1
LOC111243417,XM_022788951.1
LOC111243417,XM_022788947.1
LOC111243417,XM_022788949.1
LOC111243417,XM_022788952.1
LOC111250731,XM_022806373.1
LOC111250727,XM_022806358.1
LOC111242951,XM_022787912.1
LOC111242951,XM_022787913.1
LOC111242951,XM_022787914.1
LOC111242951,XM_022787911.1
LOC111245710,XM_022794416.1
LOC111245710,XM_022794439.1
LOC111245710,XM_022794428.1
LOC111245710,XM_022794448.1
LOC111245710,XM_022794399.1
LOC111245710,XM_022794406.1
LOC111249796,XM_022804129.1
LOC111249796,XM_022804138.1
LOC111249796,XM_022804119.1
LOC111249796,XM_022804171.1
LOC111249796,XM_022804147.1
LOC111249796,XM_022804163.1
LOC111249796,XM_022804156.1
LOC111249796,XM_022804177.1
LOC111249823,XM_022804200.1
LOC111249823,XM_022804190.1
LOC111249823,XM_022804211.1
LOC111249823,XM_022804220.1
LOC111244697,XM_022792040.1
LOC111244697,XM_022792065.1
LOC111244697,XM_022792073.1
LOC111244697,XM_022792082.1
LOC111244697,XM_022792048.1
LOC111244697,XM_022792033.1
LOC111244697,XM_022792057.1
LOC111244697,XM_022792087.1
LOC111244697,XM_022792094.1
LOC111255541,XM_022817614.1
LOC111255370,XM_022817273.1
LOC111255370,XM_022817274.1
LOC111242944,XM_022787904.1
LOC111242996,XM_022787991.1
LOC111242963,XM_022787935.1
LOC111254379,XM_022815150.1
LOC111254379,XM_022815144.1
LOC111254388,XM_022815203.1
LOC111254388,XM_022815194.1
LOC111254388,XM_022815214.1
LOC111254388,XM_022815173.1
LOC111254388,XM_022815184.1
LOC111254388,XM_022815163.1
LOC111254388,XM_022815223.1
LOC111254410,XM_022815234.1
LOC111248153,XM_022799997.1
LOC111248153,XM_022800005.1
LOC111248153,XM_022800013.1
LOC111248153,XM_022800022.1
LOC111248153,XM_022800027.1
LOC111248175,XM_022800038.1
LOC111255313,XM_022817154.1
LOC111255313,XM_022817147.1
LOC111255313,XM_022817153.1
LOC111255313,XM_022817146.1
LOC111255313,XM_022817149.1
LOC111255313,XM_022817148.1
LOC111255313,XM_022817150.1
LOC111255313,XM_022817151.1
LOC111242950,XM_022787915.1
LOC111242950,XM_022787920.1
LOC111242950,XM_022787930.1
LOC111249253,XM_022802868.1
LOC111247683,XM_022798935.1
LOC111247683,XM_022798958.1
LOC111247683,XM_022798945.1
LOC111247683,XM_022798954.1
LOC111249502,XM_022803439.1
LOC111243489,XM_022789154.1
LOC111243489,XM_022789155.1
LOC111243488,XM_022789151.1
LOC111243488,XM_022789150.1
LOC111243488,XM_022789152.1
LOC111243487,XM_022789144.1
LOC111243487,XM_022789145.1
LOC111243487,XM_022789141.1
LOC111243487,XM_022789143.1
LOC111243487,XM_022789139.1
LOC111243487,XM_022789149.1
LOC111243487,XM_022789140.1
LOC111243487,XM_022789148.1
LOC111243487,XM_022789146.1
LOC111243487,XM_022789147.1
LOC111251794,XM_022808842.1
LOC111251794,XM_022808824.1
LOC111251794,XM_022808816.1
LOC111251794,XM_022808833.1
LOC111247817,XM_022799245.1
LOC111247817,XM_022799285.1
LOC111247817,XM_022799253.1
LOC111247817,XM_022799274.1
LOC111247817,XM_022799267.1
LOC111247817,XM_022799260.1
LOC111247841,XM_022799305.1
LOC111247841,XM_022799296.1
LOC111255522,XM_022817566.1
LOC111255522,XM_022817567.1
LOC111255522,XM_022817568.1
LOC111243121,XM_022788214.1
LOC111247202,XM_022797865.1
LOC111247208,XM_022797875.1
LOC111247208,XM_022797881.1
LOC111247208,XM_022797891.1
LOC111255278,XM_022817070.1
LOC111243706,XM_022789684.1
LOC111243706,XM_022789675.1
LOC111243706,XM_022789697.1
LOC111255604,XM_022817731.1
LOC111255324,XM_022817188.1
LOC111255325,XM_022817189.1
LOC111242887,XM_022787811.1
LOC111242887,XM_022787810.1
LOC111251970,XM_022809179.1
LOC111251970,XM_022809189.1
LOC111242936,XM_022787888.1
LOC111242937,XM_022787890.1
LOC111253991,XM_022814492.1
LOC111253991,XM_022814573.1
LOC111253991,XM_022814409.1
LOC111253991,XM_022814655.1
LOC111253991,XM_022814737.1
LOC111242800,XM_022787626.1
LOC111246092,XM_022795273.1
LOC111246092,XM_022795272.1
LOC111246092,XM_022795271.1
LOC111246092,XM_022795274.1
LOC111246092,XM_022795270.1
LOC111246092,XM_022795286.1
LOC111246092,XM_022795278.1
LOC111246092,XM_022795275.1
LOC111246164,XM_022795301.1
LOC111246164,XM_022795320.1
LOC111246164,XM_022795310.1
LOC111243589,XM_022789420.1
LOC111243589,XM_022789413.1
LOC111243589,XM_022789440.1
LOC111243589,XM_022789430.1
LOC111243589,XM_022789410.1
LOC111243589,XM_022789412.1
LOC111242808,XM_022787632.1
LOC111243159,XM_022788288.1
LOC111255482,XM_022817496.1
LOC111255482,XM_022817497.1
LOC111255483,XM_022817498.1
LOC111243812,XM_022789945.1
LOC111243812,XM_022789955.1
LOC111243812,XM_022789984.1
LOC111243812,XM_022789966.1
LOC111243812,XM_022789977.1
LOC111243812,XM_022789992.1
LOC111255618,XM_022817766.1
LOC111255618,XM_022817767.1
LOC111255618,XM_022817768.1
LOC111255553,XM_022817628.1
LOC111255553,XM_022817629.1
LOC111255552,XM_022817627.1
LOC111254246,XM_022814891.1
LOC111254246,XM_022814882.1
LOC111254246,XM_022814899.1
LOC111253247,XM_022812388.1
LOC111243169,XM_022788324.1
LOC111243169,XM_022788326.1
LOC111243169,XM_022788325.1
LOC111243169,XM_022788327.1
LOC111243169,XM_022788328.1
LOC111252075,XM_022809466.1
LOC111247511,XM_022798514.1
LOC111247511,XM_022798505.1
LOC111247490,XM_022798482.1
LOC111247490,XM_022798455.1
LOC111247490,XM_022798492.1
LOC111247490,XM_022798473.1
LOC111247490,XM_022798463.1
LOC111250117,XM_022805070.1
LOC111250117,XM_022805155.1
LOC111250117,XM_022805321.1
LOC111250117,XM_022804895.1
LOC111250117,XM_022805406.1
LOC111250117,XM_022805490.1
LOC111250117,XM_022804985.1
LOC111250117,XM_022805666.1
LOC111250117,XM_022805581.1
LOC111250117,XM_022805231.1
LOC111242868,XM_022787780.1
LOC111242868,XM_022787782.1
LOC111242868,XM_022787779.1
LOC111242868,XM_022787781.1
LOC111246813,XM_022797037.1
LOC111252065,XM_022809452.1
LOC111252065,XM_022809435.1
LOC111252065,XM_022809444.1
LOC111253992,XM_022814387.1
LOC111253992,XM_022814378.1
LOC111253992,XM_022814368.1
LOC111242915,XM_022787859.1
LOC111242916,XM_022787860.1
LOC111242914,XM_022787858.1
LOC111254853,XM_022816145.1
LOC111253658,XM_022813379.1
LOC111253665,XM_022813392.1
LOC111246840,XM_022797111.1
LOC111246840,XM_022797120.1
LOC111246824,XM_022797071.1
LOC111246824,XM_022797061.1
LOC111246824,XM_022797097.1
LOC111246824,XM_022797088.1
LOC111246824,XM_022797079.1
LOC111245055,XM_022792904.1
LOC111245055,XM_022792879.1
LOC111245055,XM_022792886.1
LOC111245055,XM_022792894.1
LOC111245055,XM_022792913.1
LOC111245055,XM_022792871.1
LOC111245055,XM_022792843.1
LOC111245055,XM_022792841.1
LOC111245055,XM_022792862.1
LOC111245055,XM_022792853.1
LOC111245094,XM_022792935.1
LOC111245094,XM_022792953.1
LOC111245094,XM_022792974.1
LOC111245094,XM_022792945.1
LOC111245094,XM_022792964.1
LOC111245094,XM_022792927.1
LOC111245094,XM_022792983.1
LOC111243338,XM_022788726.1
LOC111243337,XM_022788721.1
LOC111243337,XM_022788720.1
LOC111243337,XM_022788724.1
LOC111243337,XM_022788725.1
LOC111243337,XM_022788722.1
LOC111243337,XM_022788723.1
LOC111243339,XM_022788729.1
LOC111243339,XM_022788730.1
LOC111253101,XM_022812036.1
LOC111253085,XM_022812007.1
LOC111253085,XM_022812021.1
LOC111253085,XM_022811994.1
LOC111243102,XM_022788182.1
LOC111243102,XM_022788185.1
LOC111243102,XM_022788186.1
LOC111243102,XM_022788184.1
LOC111243102,XM_022788181.1
LOC111243102,XM_022788180.1
LOC111242861,XM_022787764.1
LOC111243513,XM_022789203.1
LOC111243513,XM_022789199.1
LOC111243513,XM_022789202.1
LOC111243513,XM_022789201.1
LOC111243513,XM_022789205.1
LOC111243513,XM_022789207.1
LOC111243513,XM_022789206.1
LOC111243513,XM_022789200.1
LOC111255619,XM_022817770.1
LOC111242991,XM_022787988.1
LOC111244243,XM_022791104.1
LOC111243294,XM_022788621.1
LOC111243294,XM_022788619.1
LOC111243292,XM_022788605.1
LOC111243292,XM_022788607.1
LOC111243292,XM_022788604.1
LOC111243292,XM_022788603.1
LOC111243292,XM_022788602.1
LOC111243292,XM_022788608.1
LOC111243292,XM_022788617.1
LOC111243292,XM_022788606.1
LOC111243292,XM_022788601.1
LOC111243292,XM_022788615.1
LOC111243292,XM_022788613.1
LOC111243292,XM_022788614.1
LOC111243292,XM_022788616.1
LOC111243292,XM_022788618.1
LOC111243292,XM_022788611.1
LOC111243292,XM_022788612.1
LOC111243292,XM_022788610.1
LOC111255567,XM_022817654.1
LOC111255567,XM_022817652.1
LOC111255567,XM_022817651.1
LOC111255567,XM_022817653.1
LOC111255567,XM_022817655.1
LOC111248235,XM_022812947.1
LOC111248235,XM_022804499.1
LOC111255442,XM_022788395.1
LOC111255442,XM_022787598.1
LOC111242787,XM_022791800.1
LOC111243528,XM_022790542.1
LOC111243528,XM_022789667.1
