target_id	length	eff_length	est_counts	tpm
XM_022787598.1	3853	3486.52	2084.52	66.853
XM_022787599.1	2814	2447.52	2.61222e-05	1.19341e-06
XM_022787600.1	390	153.861	4	2.90695
XM_022787601.1	3816	3449.52	0	0
XM_022787602.1	3813	3446.52	48.121	1.5612
XM_022787603.1	3952	3585.52	5.59928	0.174617
XM_022787604.1	3534	3167.52	0	0
XM_022787605.1	3531	3164.52	43.2797	1.52926
XM_022787606.1	3960	3593.52	508	15.807
XM_022787607.1	2860	2493.52	77.5199	3.47621
XM_022787608.1	3286	2919.52	145.522	5.57344
XM_022787609.1	3440	3073.52	19.9579	0.726082
XM_022787610.1	1207	840.523	214	28.4689
XM_022787611.1	3964	3597.52	0	0
XM_022787612.1	1022	655.523	5.27225	0.89932
XM_022787613.1	3828	3461.52	0	0
XM_022787614.1	596	270.673	0	0
XM_022787615.1	5645	5278.52	1915.04	40.567
XM_022787616.1	5776	5409.52	330.232	6.82601
XM_022787617.1	5636	5269.52	8.7237	0.185112
XM_022787618.1	1695	1328.52	0	0
XM_022787619.1	1845	1478.52	1.70082	0.128629
XM_022787620.1	1842	1475.52	17.2989	1.31093
XM_022787621.1	1403	1036.52	0	0
XM_022787622.1	1686	1319.52	44.7183	3.78944
XM_022787623.1	2819	2452.52	2895	131.99
XM_022787624.1	1563	1196.52	6.28189	0.587051
XM_022787625.1	1232	865.523	0	0
XM_022787626.1	2680	2313.52	37	1.78827
XM_022787627.1	633	297.647	3531	1326.49
XM_022787628.1	1360	993.523	27.2482	3.06667
XM_022787629.1	1303	936.523	1.54812e-08	1.84839e-09
XM_022787630.1	1141	774.523	42.7518	6.17201
XM_022787631.1	3649	3282.52	1075	36.619
XM_022787632.1	634	298.401	1.09501	0.41032
XM_022787633.1	2624	2257.52	161.853	8.01668
XM_022787634.1	991	624.58	2606.87	466.701
XM_022787635.1	1440	1073.52	203.885	21.2363
XM_022787636.1	2387	2020.52	1533	84.8369
XM_022787637.1	6400	6033.52	81	1.50114
XM_022787638.1	9072	8705.52	0	0
XM_022787639.1	2590	2223.52	383.147	19.2677
XM_022787640.1	9068	8701.52	32.1918	0.413672
XM_022787641.1	9069	8702.52	50.492	0.648759
XM_022787642.1	12067	11700.5	0.0339378	0.000324328
XM_022787643.1	9345	8978.52	141.73	1.76508
XM_022787644.1	10499	10132.5	14.519	0.160223
XM_022787645.1	8951	8584.52	0	0
XM_022787646.1	11946	11579.5	141.281	1.36426
XM_022787647.1	9799	9432.52	0.00179677	2.12995e-05
XM_022787648.1	9679	9312.52	49.4294	0.593505
XM_022787649.1	7784	7417.52	573.458	8.64469
XM_022787650.1	11257	10890.5	16.0531	0.164822
XM_022787651.1	8536	8169.52	0	0
XM_022787652.1	8265	7898.52	0	0
XM_022787653.1	12679	12312.5	0	0
XM_022787654.1	11117	10750.5	159.786	1.66194
XM_022787655.1	3422	3055.52	1005.17	36.7842
XM_022787656.1	11312	10945.5	64.1825	0.655672
XM_022787657.1	10282	9915.52	1.73438e-06	1.95585e-08
XM_022787658.1	9950	9583.52	0	0
XM_022787659.1	12761	12394.5	0	0
XM_022787660.1	10370	10003.5	0.0276524	0.000309091
XM_022787661.1	10299	9932.52	94.2737	1.0613
XM_022787662.1	9002	8635.52	1017.17	13.1707
XM_022787663.1	11873	11506.5	50.5629	0.491354
XM_022787664.1	7818	7451.52	754.843	11.3271
XM_022787665.1	1709	1342.52	2319.78	193.21
XM_022787666.1	7698	7331.52	24.1574	0.368436
XM_022787667.1	3890	3523.52	463.55	14.7105
XM_022787668.1	3836	3469.52	114.859	3.70172
XM_022787669.1	3999	3632.52	36.5901	1.12632
XM_022787670.1	3666	3299.52	0	0
XM_022787671.1	4169	3802.52	644	18.9374
XM_022787672.1	5286	4919.52	396.886	9.02089
XM_022787673.1	4057	3690.52	352.201	10.6711
XM_022787674.1	3465	3098.52	464.612	16.7665
XM_022787675.1	2744	2377.52	373.051	17.5449
XM_022787676.1	4366	3999.52	318.22	8.89662
XM_022787677.1	4600	4233.52	0.423011	0.0111726
XM_022787678.1	4490	4123.52	81.4437	2.20849
XM_022787679.1	4476	4109.52	310.914	8.4597
XM_022787680.1	3331	2964.52	613	23.1213
XM_022787681.1	3109	2742.52	0	0
XM_022787682.1	10349	9982.52	9.9082e-08	1.10984e-09
XM_022787683.1	10457	10090.5	0	0
XM_022787684.1	3166	2799.52	0	0
XM_022787685.1	10215	9848.52	202.512	2.29924
XM_022787686.1	10215	9848.52	0.49962	0.00567251
XM_022787687.1	2259	1892.52	1.98873	0.117501
XM_022787688.1	4924	4557.52	0.00978339	0.000240031
XM_022787689.1	1404	1037.52	32	3.44873
XM_022787690.1	4878	4511.52	1011.99	25.0818
XM_022787691.1	2674	2307.52	2087	101.131
XM_022787692.1	4053	3686.52	23	0.697617
XM_022787693.1	3916	3549.52	0	0
XM_022787694.1	2357	1990.52	132	7.41503
XM_022787695.1	4715	4348.52	137.977	3.54789
XM_022787696.1	3763	3396.52	0	0
XM_022787697.1	3760	3393.52	0	0
XM_022787698.1	3240	2873.52	176.807	6.88002
XM_022787699.1	9478	9111.52	32.5348	0.399267
XM_022787700.1	3683	3316.52	26.6819	0.899581
XM_022787701.1	3704	3337.52	0	0
XM_022787702.1	2919	2552.52	524	22.9545
XM_022787703.1	890	525.206	397	84.5214
XM_022787704.1	743	387.947	0	0
XM_022787705.1	2176	1809.52	119981	7414.04
XM_022787706.1	839	476.161	225.434	52.9386
XM_022787707.1	777	418.406	188.566	50.3931
XM_022787708.1	980	613.67	4610	839.987
XM_022787709.1	1244	877.523	14	1.78392
XM_022787710.1	590	266.475	148.904	62.4821
XM_022787711.1	556	243.629	4.09632	1.88005
XM_022787712.1	2797	2430.52	0	0
XM_022787713.1	2465	2098.52	1	0.0532835
XM_022787714.1	2355	1988.52	285.888	16.0758
XM_022787715.1	2430	2063.52	2253.11	122.09
XM_022787716.1	4492	4125.52	128.71	3.48852
XM_022787717.1	4471	4104.52	733.024	19.9692
XM_022787718.1	4479	4112.52	3.26586	0.0887963
XM_022787719.1	6112	5745.52	0	0
XM_022787720.1	5835	5468.52	0.000261913	5.35542e-06
XM_022787721.1	5778	5411.52	387.185	8.00027
XM_022787722.1	6299	5932.52	0	0
XM_022787723.1	6022	5655.52	54.0132	1.06791
XM_022787724.1	3057	2690.52	136.242	5.66215
XM_022787725.1	4108	3741.52	0.000510884	1.52679e-05
XM_022787726.1	5870	5503.52	0	0
XM_022787727.1	2890	2523.52	122.56	5.43059
XM_022787728.1	1652	1285.52	313.353	27.2559
XM_022787729.1	1645	1278.52	351.647	30.7542
XM_022787730.1	4080	3713.52	26	0.782877
XM_022787731.1	3128	2761.52	0	0
XM_022787732.1	3756	3389.52	393.003	12.9647
XM_022787733.1	3299	2932.52	14.16	0.539918
XM_022787734.1	3201	2834.52	0	0
XM_022787735.1	3984	3617.52	375.407	11.6037
XM_022787736.1	3457	3090.52	6.31625	0.228525
XM_022787737.1	2833	2466.52	0.00206338	9.35407e-05
XM_022787738.1	6268	5901.52	0	0
XM_022787739.1	4782	4415.52	22.236	0.563094
XM_022787740.1	6195	5828.52	3.58302e-06	6.87381e-08
XM_022787741.1	4533	4166.52	76.534	2.05393
XM_022787742.1	6117	5750.52	17.23	0.335031
XM_022787743.1	3513	3146.52	21.5924	0.767319
XM_022787744.1	1646	1279.52	241.46	21.101
XM_022787745.1	1663	1296.52	3310.54	285.512
XM_022787746.1	1524	1157.52	1280	123.648
XM_022787747.1	2412	2045.52	1636	89.4304
XM_022787748.1	2052	1685.52	1734	115.033
XM_022787749.1	8692	8325.52	0	0
XM_022787750.1	8654	8287.52	0	0
XM_022787751.1	10872	10505.5	231.11	2.45984
XM_022787752.1	3187	2820.52	0	0
XM_022787753.1	11001	10634.5	145.073	1.52537
XM_022787754.1	8721	8354.52	0	0
XM_022787755.1	939	573.158	21785.8	4250.17
XM_022787756.1	802	441.391	3669.16	929.5
XM_022787757.1	1356	989.523	0	0
XM_022787758.1	1665	1298.52	89.7253	7.7263
XM_022787759.1	1375	1008.52	0	0
XM_022787760.1	1015	648.523	365.963	63.0983
XM_022787761.1	993	626.565	34.3121	6.12332
XM_022787762.1	859	495.262	0	0
XM_022787763.1	1767	1400.52	4.3473	0.347085
XM_022787764.1	735	380.932	0	0
XM_022787765.1	6680	6313.52	18.773	0.332481
XM_022787766.1	2726	2359.52	1176.68	55.7625
XM_022787767.1	2972	2605.52	1686.32	72.3686
XM_022787768.1	3349	2982.52	82.5601	3.09523
XM_022787769.1	2378	2011.52	2380	132.3
XM_022787770.1	3545	3178.52	92.044	3.238
XM_022787771.1	3527	3160.52	1.94039	0.0686493
XM_022787772.1	3516	3149.52	558.878	19.8417
XM_022787773.1	6450	6083.52	310.062	5.699
XM_022787774.1	3782	3415.52	27.1379	0.888435
XM_022787775.1	4492	4125.52	0.0962042	0.00260748
XM_022787776.1	4473	4106.52	166.893	4.54433
XM_022787777.1	4469	4102.52	57.0108	1.55386
XM_022787778.1	4371	4004.52	7.91671e-05	2.21055e-06
XM_022787779.1	3557	3190.52	448.752	15.7272
XM_022787780.1	3522	3155.52	91.2498	3.23345
XM_022787781.1	3617	3250.52	266.38	9.16337
XM_022787782.1	3561	3194.52	147.617	5.16699
XM_022787783.1	6515	6148.52	1797.04	32.6809
XM_022787784.1	2347	1980.52	0.0150024	0.000847007
XM_022787785.1	2344	1977.52	343.88	19.4443
XM_022787786.1	2341	1974.52	0.479697	0.0271651
XM_022787787.1	2297	1930.52	196.625	11.3886
XM_022787788.1	5127	4760.52	737	17.3109
XM_022787789.1	3664	3297.52	22	0.746004
XM_022787790.1	4784	4417.52	125.107	3.16672
XM_022787791.1	4386	4019.52	91.0549	2.533
XM_022787792.1	1345	978.523	37.2856	4.26066
XM_022787793.1	1527	1160.52	994.549	95.825
XM_022787794.1	1542	1175.52	207.38	19.7262
XM_022787795.1	1525	1158.52	63.7851	6.15631
XM_022787796.1	3429	3062.52	997	36.4017
XM_022787797.1	874	509.705	6784	1488.24
XM_022787798.1	3816	3449.52	56	1.81525
XM_022787799.1	3181	2814.52	667.147	26.5047
XM_022787800.1	6304	5937.52	54	1.01694
XM_022787801.1	6574	6207.52	1.88792e-05	3.40073e-07
XM_022787802.1	6570	6203.52	223.029	4.02003
XM_022787803.1	6571	6204.52	3.27894e-05	5.90924e-07
XM_022787804.1	6562	6195.52	0.00017206	3.10533e-06
XM_022787805.1	6496	6129.52	35.2743	0.643484
XM_022787806.1	6493	6126.52	61.6964	1.12603
XM_022787807.1	4774	4407.52	78	1.97882
XM_022787808.1	3074	2707.52	11.3271	0.467791
XM_022787809.1	928	562.341	212	42.1543
XM_022787810.1	4790	4423.52	393.067	9.93584
XM_022787811.1	4781	4414.52	444.789	11.2662
XM_022787812.1	1969	1602.52	0	0
XM_022787813.1	1990	1623.52	0	0
XM_022787814.1	1976	1609.52	395.131	27.4505
XM_022787815.1	1997	1630.52	172.869	11.8549
XM_022787816.1	1960	1593.52	200.526	14.0708
XM_022787817.1	1806	1439.52	0	0
XM_022787818.1	1440	1073.52	220.64	22.9815
XM_022787819.1	2024	1657.52	430.381	29.0335
XM_022787820.1	1426	1059.52	41.0721	4.33454
XM_022787821.1	1428	1061.52	0.300788	0.0316838
XM_022787822.1	1439	1072.52	137.156	14.2993
XM_022787823.1	2024	1657.52	430.381	29.0335
XM_022787824.1	1425	1058.52	0.00203223	0.000214674
XM_022787825.1	1427	1060.52	0.0668281	0.00704605
XM_022787826.1	2441	2074.52	40	2.156
XM_022787827.1	567	250.845	5078.64	2263.86
XM_022787828.1	574	255.524	2429.36	1063.08
XM_022787829.1	2450	2083.52	392.334	21.0554
XM_022787830.1	3281	2914.52	1606	61.6147
XM_022787831.1	942	576.113	100.389	19.4842
XM_022787832.1	2653	2286.52	1400.61	68.4933
XM_022787833.1	6568	6201.52	1869.98	33.7167
XM_022787834.1	1391	1024.52	6631	723.709
XM_022787835.1	794	433.987	680.5	175.33
XM_022787836.1	802	441.391	4083.5	1034.46
XM_022787837.1	2930	2563.52	723.666	31.5651
XM_022787838.1	2959	2592.52	286.553	12.3592
XM_022787839.1	2799	2432.52	204.447	9.39788
XM_022787840.1	2709	2342.52	0	0
XM_022787841.1	2740	2373.52	0	0
XM_022787842.1	2787	2420.52	0	0
XM_022787843.1	1067	700.523	494.443	78.9223
XM_022787844.1	1093	726.523	536.709	82.6031
XM_022787845.1	972	605.745	0	0
XM_022787846.1	954	587.947	0	0
XM_022787847.1	2195	1828.52	0	0
XM_022787848.1	1018	651.523	231.848	39.7906
XM_022787849.1	1792	1425.52	502	39.3764
XM_022787850.1	3518	3151.52	40.0994	1.42274
XM_022787851.1	3098	2731.52	22	0.900584
XM_022787852.1	2530	2163.52	30.7226	1.58782
XM_022787853.1	2464	2097.52	0	0
XM_022787854.1	2547	2180.52	328.623	16.8517
XM_022787855.1	2468	2101.52	26.6547	1.41823
XM_022787856.1	2631	2264.52	0	0
XM_022787857.1	3298	2931.52	0	0
XM_022787858.1	1254	887.523	1258	158.492
XM_022787859.1	793	433.065	0	0
XM_022787860.1	826	463.853	28	6.74968
XM_022787861.1	387	152.529	0	0
XM_022787862.1	2541	2174.52	277.581	14.2736
XM_022787863.1	2340	1973.52	57.8037	3.27507
XM_022787864.1	2835	2468.52	4.77994e-06	2.16517e-07
XM_022787865.1	2154	1787.52	118.615	7.41984
XM_022787866.1	1073	706.523	14	2.21569
XM_022787867.1	1026	659.523	0	0
XM_022787868.1	2698	2331.52	530	25.4181
XM_022787869.1	2857	2490.52	45.4476	2.04045
XM_022787870.1	2258	1891.52	0	0
XM_022787871.1	2223	1856.52	7.55708	0.455156
XM_022787872.1	1486	1119.52	0.442921	0.0442384
XM_022787873.1	1681	1314.52	78	6.63488
XM_022787874.1	2052	1685.52	339	22.4891
XM_022787875.1	2876	2509.52	1816	80.9154
XM_022787876.1	1877	1510.52	18.7923	1.3911
XM_022787877.1	1410	1043.52	208.915	22.3858
XM_022787878.1	1667	1300.52	119.413	10.2669
XM_022787879.1	1494	1127.52	1.36772e-06	1.35637e-07
XM_022787880.1	11957	11590.5	2.99266e-08	2.88709e-10
XM_022787881.1	11918	11551.5	0	0
XM_022787882.1	2340	1973.52	4.76009	0.269699
XM_022787883.1	11864	11497.5	99.0168	0.962965
XM_022787884.1	10894	10527.5	58.8186	0.624733
XM_022787885.1	5593	5226.52	311	6.65356
XM_022787886.1	729	375.711	2	0.595227
XM_022787887.1	1239	872.523	206.986	26.5259
XM_022787888.1	1450	1083.52	2	0.206395
XM_022787889.1	2509	2142.52	0	0
XM_022787890.1	766	408.444	4.6644	1.27694
XM_022787891.1	2213	1846.52	419	25.3726
XM_022787892.1	3771	3404.52	136.832	4.49406
XM_022787893.1	3766	3399.52	513.747	16.8981
XM_022787894.1	3531	3164.52	0	0
XM_022787895.1	3079	2712.52	93.3841	3.84951
XM_022787896.1	2194	1827.52	0	0
XM_022787897.1	3060	2693.52	117.126	4.86225
XM_022787898.1	2349	1982.52	408.91	23.063
XM_022787899.1	2203	1836.52	474	28.8595
XM_022787900.1	2072	1705.52	0	0
XM_022787901.1	4044	3677.52	55	1.6723
XM_022787902.1	3395	3028.52	0	0
XM_022787903.1	4657	4290.52	743	19.3635
XM_022787904.1	1154	787.523	5260	746.842
XM_022787905.1	1684	1317.52	446.022	37.8534
XM_022787906.1	1496	1129.52	13.9778	1.38372
XM_022787907.1	1492	1125.52	0	0
XM_022787908.1	1987	1620.52	938	64.7223
XM_022787909.1	1264	897.523	22.4199	2.79315
XM_022787910.1	3837	3470.52	84	2.70639
XM_022787911.1	2591	2224.52	0	0
XM_022787912.1	2932	2565.52	77.7408	3.38828
XM_022787913.1	2922	2555.52	0.00257746	0.000112777
XM_022787914.1	2800	2433.52	869.306	39.9433
XM_022787915.1	5910	5543.52	0	0
XM_022787916.1	1408	1041.52	159	17.07
XM_022787917.1	1400	1033.52	24	2.59655
XM_022787918.1	2914	2547.52	39.7742	1.74578
XM_022787919.1	1377	1010.52	0	0
XM_022787920.1	6164	5797.52	0	0
XM_022787921.1	1012	645.523	449	77.7752
XM_022787922.1	1565	1198.52	892.841	83.2979
XM_022787923.1	1308	941.523	42.1587	5.00683
XM_022787924.1	3090	2723.52	0	0
XM_022787925.1	3089	2722.52	0	0
XM_022787926.1	3060	2693.52	0	0
XM_022787927.1	3395	3028.52	0	0
XM_022787928.1	3349	2982.52	0	0
XM_022787929.1	2816	2449.52	24	1.09556
XM_022787930.1	6778	6411.52	5.62448	0.0980906
XM_022787931.1	3128	2761.52	0	0
XM_022787932.1	2230	1863.52	1.00534e-07	6.03229e-09
XM_022787933.1	3441	3074.52	652.173	23.7187
XM_022787934.1	3309	2942.52	68.8265	2.61543
XM_022787935.1	1739	1372.52	1033.9	84.2298
XM_022787936.1	2007	1640.52	775	52.8233
XM_022787937.1	2113	1746.52	0	0
XM_022787938.1	996	629.543	10	1.77615
XM_022787939.1	1900	1533.52	3.18496	0.232231
XM_022787940.1	1949	1582.52	5	0.353286
XM_022787941.1	1120	753.523	5.67012	0.841399
XM_022787942.1	760	403.052	0	0
XM_022787943.1	1070	703.523	1.14493	0.181973
XM_022787944.1	893	528.123	19	4.02277
XM_022787945.1	3115	2748.52	8.62958	0.351072
XM_022787946.1	2478	2111.52	29.3704	1.55532
XM_022787947.1	4300	3933.52	1.21939e-07	3.46631e-09
XM_022787948.1	4231	3864.52	73.0002	2.1122
XM_022787949.1	3213	2846.52	1909.19	74.9965
XM_022787950.1	3390	3023.52	117.316	4.33861
XM_022787951.1	2490	2123.52	7.49293	0.394549
XM_022787952.1	3501	3134.52	57.4762	2.05033
XM_022787953.1	3405	3038.52	13.5238	0.49767
XM_022787954.1	4737	4370.52	113.151	2.89489
XM_022787955.1	4762	4395.52	66.7868	1.69897
XM_022787956.1	4710	4343.52	1510.06	38.874
XM_022787957.1	2643	2276.52	115.961	5.69569
XM_022787958.1	3461	3094.52	11.0125	0.397924
XM_022787959.1	3597	3230.52	15.4941	0.536291
XM_022787960.1	7585	7218.52	261	4.04295
XM_022787961.1	3180	2813.52	210.532	8.36709
XM_022787962.1	1527	1160.52	41	3.95036
XM_022787963.1	11235	10868.5	0	0
XM_022787964.1	11128	10761.5	0	0
XM_022787965.1	8043	7676.52	25.6829	0.374098
XM_022787966.1	11087	10720.5	27.8935	0.290933
XM_022787967.1	11058	10691.5	0	0
XM_022787968.1	11036	10669.5	14.3258	0.150134
XM_022787969.1	9577	9210.52	84.0594	1.02049
XM_022787970.1	11583	11216.5	6.64989	0.0662922
XM_022787971.1	11580	11213.5	287.122	2.86306
XM_022787972.1	11403	11036.5	1583.24	16.0406
